date,cellvalue,n_cells
2003-01-15,7,7
2003-01-15,NA,29
2003-02-15,7,7
2003-02-15,NA,29
2003-03-15,7,1
2003-03-15,NA,35
2003-04-15,7,3
2003-04-15,NA,33
2003-05-15,21,6
2003-05-15,NA,30
2003-06-15,3,5
2003-06-15,NA,31
2003-07-15,13,1
2003-07-15,NA,35
2003-08-15,3,2
2003-08-15,13,4
2003-08-15,NA,30
2003-09-15,3,3
2003-09-15,13,3
2003-09-15,NA,30
2003-10-15,3,5
2003-10-15,13,2
2003-10-15,NA,29
2003-11-15,7,5
2003-11-15,15,2
2003-11-15,NA,29
2003-12-15,7,6
2003-12-15,NA,30
2004-01-15,7,5
2004-01-15,NA,31
2004-02-15,3,1
2004-02-15,7,3
2004-02-15,NA,32
2004-03-15,3,6
2004-03-15,NA,30
2004-04-15,3,1
2004-04-15,NA,35
2004-05-15,13,1
2004-05-15,NA,35
2004-06-15,3,2
2004-06-15,13,1
2004-06-15,NA,33
2004-07-15,13,2
2004-07-15,NA,34
2004-08-15,13,2
2004-08-15,NA,34
2004-09-15,3,2
2004-09-15,5,1
2004-09-15,13,2
2004-09-15,NA,31
2004-10-15,NA,36
2004-11-15,3,7
2004-11-15,NA,29
2004-12-15,7,5
2004-12-15,NA,31
2005-01-15,7,3
2005-01-15,15,1
2005-01-15,NA,32
2005-02-15,7,4
2005-02-15,NA,32
2005-03-15,NA,36
2005-04-15,7,1
2005-04-15,14,2
2005-04-15,21,3
2005-04-15,NA,30
2005-05-15,7,1
2005-05-15,17,1
2005-05-15,NA,34
2005-06-15,13,1
2005-06-15,NA,35
2005-07-15,3,5
2005-07-15,15,1
2005-07-15,NA,30
2005-08-15,3,2
2005-08-15,13,4
2005-08-15,NA,30
2005-09-15,3,2
2005-09-15,13,4
2005-09-15,NA,30
2005-10-15,3,3
2005-10-15,15,2
2005-10-15,NA,31
2005-11-15,3,2
2005-11-15,15,2
2005-11-15,NA,32
2005-12-15,15,7
2005-12-15,NA,29
2006-01-15,3,2
2006-01-15,7,4
2006-01-15,NA,30
2006-02-15,7,6
2006-02-15,NA,30
2006-03-15,7,4
2006-03-15,NA,32
2006-04-15,3,1
2006-04-15,NA,35
2006-05-15,3,3
2006-05-15,13,3
2006-05-15,NA,30
2006-06-15,3,1
2006-06-15,13,3
2006-06-15,17,1
2006-06-15,NA,31
2006-07-15,3,4
2006-07-15,13,2
2006-07-15,NA,30
2006-08-15,13,3
2006-08-15,NA,33
2006-09-15,3,4
2006-09-15,13,1
2006-09-15,NA,31
2006-10-15,3,5
2006-10-15,NA,31
2006-11-15,15,6
2006-11-15,NA,30
2006-12-15,7,6
2006-12-15,15,1
2006-12-15,NA,29
2007-01-15,3,1
2007-01-15,7,1
2007-01-15,NA,34
2007-02-15,7,2
2007-02-15,15,3
2007-02-15,NA,31
2007-03-15,3,1
2007-03-15,7,1
2007-03-15,NA,34
2007-04-15,7,5
2007-04-15,NA,31
2007-05-15,3,2
2007-05-15,13,1
2007-05-15,NA,33
2007-06-15,13,1
2007-06-15,NA,35
2007-07-15,13,2
2007-07-15,NA,34
2007-08-15,3,4
2007-08-15,13,2
2007-08-15,NA,30
2007-09-15,3,3
2007-09-15,13,2
2007-09-15,NA,31
2007-10-15,NA,36
2007-11-15,3,6
2007-11-15,NA,30
2007-12-15,3,6
2007-12-15,NA,30
2008-01-15,3,2
2008-01-15,7,2
2008-01-15,15,3
2008-01-15,NA,29
2008-02-15,7,5
2008-02-15,NA,31
2008-03-15,15,6
2008-03-15,NA,30
2008-04-15,NA,36
2008-05-15,17,1
2008-05-15,NA,35
2008-06-15,3,6
2008-06-15,NA,30
2008-07-15,NA,36
2008-08-15,3,1
2008-08-15,13,4
2008-08-15,NA,31
2008-09-15,13,1
2008-09-15,NA,35
2008-10-15,3,3
2008-10-15,5,1
2008-10-15,13,3
2008-10-15,NA,29
2008-11-15,3,5
2008-11-15,13,1
2008-11-15,NA,30
2008-12-15,3,6
2008-12-15,NA,30
2009-01-15,3,4
2009-01-15,7,1
2009-01-15,13,1
2009-01-15,NA,30
2009-02-15,7,6
2009-02-15,15,1
2009-02-15,NA,29
2009-03-15,7,2
2009-03-15,15,1
2009-03-15,NA,33
2009-04-15,7,5
2009-04-15,NA,31
2009-05-15,NA,36
2009-06-15,NA,36
2009-07-15,3,2
2009-07-15,NA,34
2009-08-15,13,2
2009-08-15,NA,34
2009-09-15,13,5
2009-09-15,NA,31
2009-10-15,3,6
2009-10-15,NA,30
2009-11-15,7,4
2009-11-15,15,1
2009-11-15,NA,31
2009-12-15,7,4
2009-12-15,15,3
2009-12-15,NA,29
2010-01-15,3,1
2010-01-15,7,1
2010-01-15,NA,34
2010-02-15,NA,36
2010-03-15,7,3
2010-03-15,NA,33
2010-04-15,21,6
2010-04-15,NA,30
2010-05-15,NA,36
2010-06-15,3,6
2010-06-15,NA,30
2010-07-15,3,4
2010-07-15,13,2
2010-07-15,NA,30
2010-08-15,3,2
2010-08-15,13,4
2010-08-15,NA,30
2010-09-15,13,4
2010-09-15,NA,32
2010-10-15,3,7
2010-10-15,NA,29
2010-11-15,3,6
2010-11-15,7,1
2010-11-15,NA,29
2010-12-15,3,1
2010-12-15,7,4
2010-12-15,15,1
2010-12-15,NA,30
2011-01-15,7,5
2011-01-15,14,1
2011-01-15,NA,30
2011-02-15,3,3
2011-02-15,7,2
2011-02-15,NA,31
2011-03-15,NA,36
2011-04-15,NA,36
2011-05-15,3,1
2011-05-15,NA,35
2011-06-15,3,2
2011-06-15,13,1
2011-06-15,NA,33
