date,cellvalue,n_cells
2003-01-15,3,1041
2003-01-15,7,2889
2003-01-15,14,22
2003-01-15,15,31
2003-01-15,16,18
2003-01-15,17,4
2003-01-15,NA,525
2003-02-15,3,550
2003-02-15,7,3081
2003-02-15,14,3
2003-02-15,17,31
2003-02-15,NA,865
2003-03-15,3,252
2003-03-15,7,3286
2003-03-15,13,1
2003-03-15,14,46
2003-03-15,15,1
2003-03-15,16,71
2003-03-15,17,23
2003-03-15,23,1
2003-03-15,27,3
2003-03-15,NA,846
2003-04-15,3,10
2003-04-15,7,2406
2003-04-15,14,560
2003-04-15,15,1
2003-04-15,16,3
2003-04-15,17,9
2003-04-15,27,2
2003-04-15,NA,1539
2003-05-15,3,143
2003-05-15,7,1439
2003-05-15,14,579
2003-05-15,15,55
2003-05-15,16,92
2003-05-15,17,5
2003-05-15,18,2
2003-05-15,21,87
2003-05-15,23,1
2003-05-15,27,3
2003-05-15,NA,2124
2003-06-15,3,3
2003-06-15,7,2723
2003-06-15,14,485
2003-06-15,15,53
2003-06-15,17,3
2003-06-15,NA,1263
2003-07-15,3,1622
2003-07-15,7,670
2003-07-15,11,2
2003-07-15,13,84
2003-07-15,14,26
2003-07-15,15,235
2003-07-15,17,14
2003-07-15,18,2
2003-07-15,21,6
2003-07-15,NA,1869
2003-08-15,3,2856
2003-08-15,7,8
2003-08-15,13,473
2003-08-15,15,41
2003-08-15,17,5
2003-08-15,18,7
2003-08-15,NA,1140
2003-09-15,3,3899
2003-09-15,7,3
2003-09-15,13,71
2003-09-15,15,86
2003-09-15,NA,471
2003-10-15,3,2774
2003-10-15,7,748
2003-10-15,11,24
2003-10-15,13,127
2003-10-15,15,75
2003-10-15,17,4
2003-10-15,NA,778
2003-11-15,3,24
2003-11-15,7,3432
2003-11-15,11,16
2003-11-15,14,8
2003-11-15,15,19
2003-11-15,16,11
2003-11-15,17,2
2003-11-15,NA,1018
2003-12-15,3,19
2003-12-15,7,3281
2003-12-15,11,2
2003-12-15,14,38
2003-12-15,15,75
2003-12-15,16,9
2003-12-15,17,6
2003-12-15,21,12
2003-12-15,23,1
2003-12-15,27,6
2003-12-15,NA,1081
2004-01-15,3,45
2004-01-15,7,3545
2004-01-15,14,11
2004-01-15,15,112
2004-01-15,16,32
2004-01-15,17,1
2004-01-15,21,5
2004-01-15,NA,779
2004-02-15,3,568
2004-02-15,7,2697
2004-02-15,13,1
2004-02-15,14,17
2004-02-15,15,33
2004-02-15,17,17
2004-02-15,NA,1197
2004-03-15,3,890
2004-03-15,7,2127
2004-03-15,13,5
2004-03-15,14,59
2004-03-15,15,14
2004-03-15,16,24
2004-03-15,17,43
2004-03-15,NA,1368
2004-04-15,3,77
2004-04-15,7,2620
2004-04-15,14,1124
2004-04-15,15,7
2004-04-15,16,8
2004-04-15,17,6
2004-04-15,21,63
2004-04-15,NA,625
2004-05-15,3,272
2004-05-15,7,3179
2004-05-15,13,4
2004-05-15,14,453
2004-05-15,15,15
2004-05-15,17,11
2004-05-15,21,1
2004-05-15,NA,595
2004-06-15,3,1276
2004-06-15,7,1853
2004-06-15,13,90
2004-06-15,14,11
2004-06-15,15,606
2004-06-15,17,56
2004-06-15,18,3
2004-06-15,21,9
2004-06-15,27,1
2004-06-15,NA,625
2004-07-15,3,2102
2004-07-15,7,6
2004-07-15,13,1101
2004-07-15,15,79
2004-07-15,17,10
2004-07-15,18,20
2004-07-15,27,1
2004-07-15,NA,1211
2004-08-15,3,1810
2004-08-15,5,2
2004-08-15,7,17
2004-08-15,13,1138
2004-08-15,15,41
2004-08-15,17,15
2004-08-15,18,22
2004-08-15,27,2
2004-08-15,NA,1483
2004-09-15,3,3766
2004-09-15,13,382
2004-09-15,15,26
2004-09-15,NA,356
2004-10-15,3,3421
2004-10-15,7,136
2004-10-15,11,3
2004-10-15,13,212
2004-10-15,15,289
2004-10-15,17,9
2004-10-15,NA,460
2004-11-15,3,406
2004-11-15,7,3635
2004-11-15,11,2
2004-11-15,13,3
2004-11-15,15,45
2004-11-15,17,2
2004-11-15,NA,437
2004-12-15,3,215
2004-12-15,7,2805
2004-12-15,11,10
2004-12-15,13,6
2004-12-15,14,1
2004-12-15,15,129
2004-12-15,17,5
2004-12-15,NA,1359
2005-01-15,3,1053
2005-01-15,7,2704
2005-01-15,13,3
