date,cellvalue,n_cells
2003-01-15,7,28
2003-01-15,NA,80
2003-02-15,3,10
2003-02-15,7,15
2003-02-15,NA,83
2003-03-15,7,27
2003-03-15,15,1
2003-03-15,NA,80
2003-04-15,3,12
2003-04-15,7,15
2003-04-15,NA,81
2003-05-15,7,27
2003-05-15,NA,81
2003-06-15,3,22
2003-06-15,13,3
2003-06-15,15,2
2003-06-15,NA,81
2003-07-15,3,7
2003-07-15,5,1
2003-07-15,13,18
2003-07-15,NA,82
2003-08-15,3,18
2003-08-15,5,9
2003-08-15,NA,81
2003-09-15,3,12
2003-09-15,5,15
2003-09-15,NA,81
2003-10-15,3,24
2003-10-15,15,1
2003-10-15,NA,83
2003-11-15,3,24
2003-11-15,15,2
2003-11-15,NA,82
2003-12-15,3,3
2003-12-15,7,21
2003-12-15,15,1
2003-12-15,NA,83
2004-01-15,3,8
2004-01-15,7,6
2004-01-15,15,10
2004-01-15,NA,84
2004-02-15,3,8
2004-02-15,7,12
2004-02-15,NA,88
2004-03-15,3,25
2004-03-15,7,2
2004-03-15,NA,81
2004-04-15,NA,108
2004-05-15,3,10
2004-05-15,13,14
2004-05-15,NA,84
2004-06-15,3,21
2004-06-15,13,3
2004-06-15,NA,84
2004-07-15,3,5
2004-07-15,13,22
2004-07-15,NA,81
2004-08-15,3,15
2004-08-15,5,2
2004-08-15,13,10
2004-08-15,NA,81
2004-09-15,3,2
2004-09-15,5,13
2004-09-15,13,13
2004-09-15,NA,80
2004-10-15,3,7
2004-10-15,5,2
2004-10-15,15,4
2004-10-15,NA,95
2004-11-15,3,25
2004-11-15,15,3
2004-11-15,NA,80
2004-12-15,3,23
2004-12-15,7,1
2004-12-15,17,2
2004-12-15,NA,82
2005-01-15,3,2
2005-01-15,7,25
2005-01-15,15,1
2005-01-15,NA,80
2005-02-15,3,16
2005-02-15,7,10
2005-02-15,NA,82
2005-03-15,7,25
2005-03-15,15,2
2005-03-15,NA,81
2005-04-15,3,24
2005-04-15,7,3
2005-04-15,NA,81
2005-05-15,3,26
2005-05-15,13,1
2005-05-15,NA,81
2005-06-15,3,11
2005-06-15,13,14
2005-06-15,NA,83
2005-07-15,3,2
2005-07-15,13,25
2005-07-15,NA,81
2005-08-15,3,3
2005-08-15,5,8
2005-08-15,13,15
2005-08-15,NA,82
2005-09-15,3,1
2005-09-15,5,23
2005-09-15,13,3
2005-09-15,NA,81
2005-10-15,3,25
2005-10-15,13,1
2005-10-15,NA,82
2005-11-15,3,27
2005-11-15,NA,81
2005-12-15,3,20
2005-12-15,7,5
2005-12-15,13,1
2005-12-15,15,2
2005-12-15,NA,80
2006-01-15,3,5
2006-01-15,7,17
2006-01-15,15,3
2006-01-15,NA,83
2006-02-15,3,17
2006-02-15,7,11
2006-02-15,NA,80
2006-03-15,7,25
2006-03-15,15,2
2006-03-15,NA,81
2006-04-15,3,25
2006-04-15,NA,83
2006-05-15,3,27
2006-05-15,NA,81
2006-06-15,3,2
2006-06-15,5,1
2006-06-15,13,23
2006-06-15,NA,82
2006-07-15,3,3
2006-07-15,13,25
2006-07-15,NA,80
2006-08-15,3,2
2006-08-15,5,24
2006-08-15,13,1
2006-08-15,NA,81
2006-09-15,3,2
2006-09-15,5,15
2006-09-15,13,11
2006-09-15,NA,80
2006-10-15,3,23
2006-10-15,13,3
2006-10-15,NA,82
2006-11-15,3,19
2006-11-15,15,6
2006-11-15,NA,83
2006-12-15,7,19
2006-12-15,15,8
2006-12-15,NA,81
2007-01-15,3,3
2007-01-15,7,24
2007-01-15,15,2
2007-01-15,NA,79
2007-02-15,7,2
2007-02-15,15,25
2007-02-15,NA,81
2007-03-15,3,8
2007-03-15,7,4
2007-03-15,15,11
2007-03-15,17,1
2007-03-15,NA,84
2007-04-15,3,25
2007-04-15,15,2
2007-04-15,NA,81
2007-05-15,3,2
2007-05-15,13,7
2007-05-15,NA,99
2007-06-15,3,2
2007-06-15,5,1
2007-06-15,13,21
2007-06-15,NA,84
2007-07-15,13,25
2007-07-15,NA,83
2007-08-15,3,2
2007-08-15,13,25
2007-08-15,NA,81
2007-09-15,3,3
2007-09-15,13,25
2007-09-15,NA,80
2007-10-15,3,2
2007-10-15,5,24
2007-10-15,13,2
2007-10-15,NA,80
2007-11-15,3,25
2007-11-15,13,2
2007-11-15,NA,81
2007-12-15,3,24
2007-12-15,15,3
2007-12-15,NA,81
2008-01-15,3,16
2008-01-15,7,1
2008-01-15,15,10
2008-01-15,NA,81
2008-02-15,3,2
2008-02-15,7,19
2008-02-15,15,5
2008-02-15,NA,82
