date,cellvalue,n_cells
2003-01-15,3,1
2003-01-15,7,462
2003-01-15,NA,2117
2003-02-15,3,201
2003-02-15,7,234
2003-02-15,15,25
2003-02-15,NA,2120
2003-03-15,3,276
2003-03-15,7,184
2003-03-15,17,1
2003-03-15,NA,2119
2003-04-15,3,20
2003-04-15,7,161
2003-04-15,11,1
2003-04-15,13,9
2003-04-15,15,78
2003-04-15,17,14
2003-04-15,27,2
2003-04-15,NA,2295
2003-05-15,3,141
2003-05-15,7,220
2003-05-15,13,39
2003-05-15,14,3
2003-05-15,15,52
2003-05-15,17,6
2003-05-15,NA,2119
2003-06-15,3,179
2003-06-15,13,244
2003-06-15,17,8
2003-06-15,NA,2149
2003-07-15,3,92
2003-07-15,5,251
2003-07-15,13,115
2003-07-15,NA,2122
2003-08-15,3,45
2003-08-15,5,166
2003-08-15,13,239
2003-08-15,NA,2130
2003-09-15,3,230
2003-09-15,5,220
2003-09-15,13,12
2003-09-15,NA,2118
2003-10-15,3,419
2003-10-15,5,27
2003-10-15,13,17
2003-10-15,NA,2117
2003-11-15,3,272
2003-11-15,5,1
2003-11-15,7,158
2003-11-15,11,14
2003-11-15,13,3
2003-11-15,15,15
2003-11-15,NA,2117
2003-12-15,3,143
2003-12-15,7,208
2003-12-15,11,25
2003-12-15,15,52
2003-12-15,NA,2152
2004-01-15,3,12
2004-01-15,7,441
2004-01-15,15,7
2004-01-15,NA,2120
2004-02-15,3,383
2004-02-15,7,75
2004-02-15,15,2
2004-02-15,NA,2120
2004-03-15,3,228
2004-03-15,7,213
2004-03-15,13,1
2004-03-15,15,1
2004-03-15,17,2
2004-03-15,NA,2135
2004-04-15,3,72
2004-04-15,7,311
2004-04-15,15,69
2004-04-15,17,7
2004-04-15,NA,2121
2004-05-15,3,352
2004-05-15,7,2
2004-05-15,13,48
2004-05-15,15,11
2004-05-15,17,7
2004-05-15,NA,2160
2004-06-15,3,108
2004-06-15,13,352
2004-06-15,NA,2120
2004-07-15,5,57
2004-07-15,13,351
2004-07-15,15,1
2004-07-15,18,1
2004-07-15,NA,2170
2004-08-15,5,355
2004-08-15,13,48
2004-08-15,NA,2177
2004-09-15,3,8
2004-09-15,5,364
2004-09-15,13,60
2004-09-15,NA,2148
2004-10-15,3,18
2004-10-15,5,312
2004-10-15,13,109
2004-10-15,17,1
2004-10-15,NA,2140
2004-11-15,3,443
2004-11-15,13,3
2004-11-15,15,1
2004-11-15,NA,2133
2004-12-15,3,371
2004-12-15,7,80
2004-12-15,15,12
2004-12-15,NA,2117
2005-01-15,3,54
2005-01-15,7,319
2005-01-15,11,2
2005-01-15,13,2
2005-01-15,15,21
2005-01-15,NA,2182
2005-02-15,3,302
2005-02-15,7,97
2005-02-15,13,2
2005-02-15,15,50
2005-02-15,17,1
2005-02-15,NA,2128
2005-03-15,3,143
2005-03-15,7,123
2005-03-15,15,44
2005-03-15,17,1
2005-03-15,27,1
2005-03-15,NA,2268
2005-04-15,3,229
2005-04-15,7,98
2005-04-15,13,6
2005-04-15,15,6
2005-04-15,17,2
2005-04-15,NA,2239
2005-05-15,3,248
2005-05-15,13,89
2005-05-15,15,2
2005-05-15,NA,2241
2005-06-15,3,132
2005-06-15,5,2
2005-06-15,13,184
2005-06-15,17,4
2005-06-15,NA,2258
2005-07-15,3,92
2005-07-15,5,69
2005-07-15,13,291
2005-07-15,NA,2128
2005-08-15,3,6
2005-08-15,5,403
2005-08-15,13,54
2005-08-15,NA,2117
2005-09-15,3,22
2005-09-15,5,328
2005-09-15,13,108
2005-09-15,NA,2122
2005-10-15,3,212
2005-10-15,5,67
2005-10-15,13,162
2005-10-15,NA,2139
2005-11-15,3,423
2005-11-15,13,16
2005-11-15,15,19
2005-11-15,NA,2122
2005-12-15,3,109
2005-12-15,7,160
2005-12-15,11,1
2005-12-15,15,166
