date,cellvalue,n_cells
2003-01-15,3,16027
2003-01-15,5,42
2003-01-15,7,254
2003-01-15,11,20
2003-01-15,13,275
2003-01-15,15,160
2003-01-15,17,3
2003-01-15,NA,8623
2003-02-15,3,15260
2003-02-15,7,759
2003-02-15,11,48
2003-02-15,13,106
2003-02-15,15,618
2003-02-15,17,11
2003-02-15,NA,8602
2003-03-15,3,11063
2003-03-15,7,3095
2003-03-15,13,871
2003-03-15,15,1519
2003-03-15,16,3
2003-03-15,17,22
2003-03-15,18,2
2003-03-15,27,3
2003-03-15,NA,8826
2003-04-15,3,9996
2003-04-15,5,297
2003-04-15,7,863
2003-04-15,11,3
2003-04-15,13,3242
2003-04-15,15,193
2003-04-15,17,174
2003-04-15,27,1
2003-04-15,NA,10635
2003-05-15,3,2468
2003-05-15,5,99
2003-05-15,13,10476
2003-05-15,15,126
2003-05-15,17,45
2003-05-15,18,22
2003-05-15,27,13
2003-05-15,NA,12155
2003-06-15,3,437
2003-06-15,5,8129
2003-06-15,13,8418
2003-06-15,15,10
2003-06-15,18,6
2003-06-15,NA,8404
2003-07-15,3,271
2003-07-15,5,10742
2003-07-15,13,5430
2003-07-15,15,32
2003-07-15,17,1
2003-07-15,NA,8928
2003-08-15,3,62
2003-08-15,5,13593
2003-08-15,13,3459
2003-08-15,15,6
2003-08-15,NA,8284
2003-09-15,3,196
2003-09-15,5,13269
2003-09-15,13,3438
2003-09-15,15,34
2003-09-15,NA,8467
2003-10-15,3,3414
2003-10-15,5,12006
2003-10-15,11,2
2003-10-15,13,1303
2003-10-15,15,87
2003-10-15,28,1
2003-10-15,NA,8591
2003-11-15,3,13028
2003-11-15,5,3761
2003-11-15,11,3
2003-11-15,13,355
2003-11-15,15,58
2003-11-15,17,2
2003-11-15,NA,8197
2003-12-15,3,15540
2003-12-15,5,65
2003-12-15,7,372
2003-12-15,11,49
2003-12-15,13,106
2003-12-15,15,879
2003-12-15,16,4
2003-12-15,17,11
2003-12-15,NA,8378
2004-01-15,3,14972
2004-01-15,7,50
2004-01-15,13,24
2004-01-15,15,2401
2004-01-15,16,20
2004-01-15,18,1
2004-01-15,NA,7936
2004-02-15,3,15138
2004-02-15,7,32
2004-02-15,11,2
2004-02-15,13,1005
2004-02-15,15,888
2004-02-15,16,12
2004-02-15,17,10
2004-02-15,18,3
2004-02-15,27,8
2004-02-15,NA,8306
2004-03-15,3,14554
2004-03-15,7,210
2004-03-15,13,1208
2004-03-15,15,716
2004-03-15,16,25
2004-03-15,17,18
2004-03-15,28,1
2004-03-15,NA,8672
2004-04-15,3,11607
2004-04-15,5,36
2004-04-15,7,205
2004-04-15,13,2731
2004-04-15,15,842
2004-04-15,16,218
2004-04-15,17,69
2004-04-15,18,5
2004-04-15,27,7
2004-04-15,NA,9684
2004-05-15,3,4168
2004-05-15,5,820
2004-05-15,7,5
2004-05-15,13,10679
2004-05-15,15,29
2004-05-15,17,7
2004-05-15,18,18
2004-05-15,27,5
2004-05-15,NA,9673
2004-06-15,3,1110
2004-06-15,5,10254
2004-06-15,13,5943
2004-06-15,15,48
2004-06-15,17,1
2004-06-15,18,10
2004-06-15,NA,8038
2004-07-15,3,754
2004-07-15,5,4265
2004-07-15,13,9574
2004-07-15,15,75
2004-07-15,17,1
2004-07-15,18,27
2004-07-15,NA,10708
2004-08-15,3,27
2004-08-15,5,13190
2004-08-15,13,3863
2004-08-15,15,13
2004-08-15,NA,8311
2004-09-15,3,133
2004-09-15,5,9831
2004-09-15,13,5968
2004-09-15,15,47
2004-09-15,17,1
2004-09-15,NA,9424
2004-10-15,3,2968
2004-10-15,5,12839
2004-10-15,13,1358
2004-10-15,15,137
2004-10-15,NA,8102
2004-11-15,3,11517
2004-11-15,5,3155
2004-11-15,11,22
2004-11-15,13,1139
2004-11-15,15,551
2004-11-15,17,5
2004-11-15,NA,9015
2004-12-15,3,12517
2004-12-15,5,36
2004-12-15,7,100
2004-12-15,11,64
2004-12-15,13,424
2004-12-15,15,2844
2004-12-15,16,3
2004-12-15,17,8
2004-12-15,NA,9408
2005-01-15,3,8324
2005-01-15,7,709
2005-01-15,11,7
2005-01-15,13,42
2005-01-15,15,7387
2005-01-15,16,806
2005-01-15,17,2
2005-01-15,18,3
2005-01-15,NA,8124
2005-02-15,3,13331
2005-02-15,7,1328
2005-02-15,11,4
2005-02-15,13,65
2005-02-15,15,477
2005-02-15,16,66
2005-02-15,17,28
2005-02-15,27,8
2005-02-15,NA,10097
2005-03-15,3,11440
2005-03-15,7,3324
2005-03-15,13,209
2005-03-15,14,27
2005-03-15,15,2078
2005-03-15,16,40
2005-03-15,17,55
2005-03-15,21,4
2005-03-15,27,1
2005-03-15,NA,8226
2005-04-15,3,11464
2005-04-15,5,2
2005-04-15,7,342
2005-04-15,13,3789
2005-04-15,15,349
2005-04-15,16,18
2005-04-15,17,43
2005-04-15,18,24
2005-04-15,27,6
2005-04-15,NA,9367
2005-05-15,3,6641
2005-05-15,5,151
2005-05-15,13,6083
2005-05-15,15,882
2005-05-15,17,3
2005-05-15,18,142
2005-05-15,27,2
2005-05-15,NA,11500
2005-06-15,3,1433
2005-06-15,5,2823
2005-06-15,13,10709
2005-06-15,15,117
2005-06-15,17,1
2005-06-15,18,50
2005-06-15,NA,10271
2005-07-15,3,245
2005-07-15,5,6460
2005-07-15,13,10200
2005-07-15,15,14
2005-07-15,18,6
2005-07-15,NA,8479
2005-08-15,3,172
2005-08-15,5,7196
2005-08-15,13,8622
2005-08-15,15,34
2005-08-15,17,1
2005-08-15,18,12
2005-08-15,28,1
2005-08-15,NA,9366
2005-09-15,3,275
2005-09-15,5,10551
2005-09-15,13,5288
2005-09-15,15,57
2005-09-15,18,1
2005-09-15,NA,9232
2005-10-15,3,2613
2005-10-15,5,12616
2005-10-15,13,2111
2005-10-15,15,13
2005-10-15,NA,8051
2005-11-15,3,13605
2005-11-15,5,2570
2005-11-15,11,3
2005-11-15,13,685
2005-11-15,15,208
2005-11-15,17,3
2005-11-15,NA,8330
2005-12-15,3,14707
2005-12-15,5,11
2005-12-15,7,9
2005-12-15,11,4
2005-12-15,13,256
2005-12-15,15,2257
2005-12-15,17,1
2005-12-15,NA,8159
2006-01-15,3,8668
2006-01-15,7,741
2006-01-15,11,20
2006-01-15,13,36
2006-01-15,15,7277
