date,cellvalue,n_cells
2002-08-29,3,94
2002-08-29,13,1
2002-08-29,15,2
2002-08-29,NA,53
2002-09-06,3,21
2002-09-06,13,20
2002-09-06,15,64
2002-09-06,NA,45
2002-09-14,13,4
2002-09-14,15,75
2002-09-14,17,1
2002-09-14,27,6
2002-09-14,NA,64
2002-09-22,3,35
2002-09-22,13,31
2002-09-22,15,17
2002-09-22,17,1
2002-09-22,NA,66
2002-09-30,3,38
2002-09-30,13,76
2002-09-30,15,1
2002-09-30,17,1
2002-09-30,NA,34
2002-10-08,3,15
2002-10-08,7,6
2002-10-08,15,30
2002-10-08,NA,99
2002-10-16,3,3
2002-10-16,7,41
2002-10-16,NA,106
2002-10-24,3,42
2002-10-24,7,17
2002-10-24,17,2
2002-10-24,NA,89
2002-11-01,7,3
2002-11-01,15,4
2002-11-01,NA,143
2002-11-09,7,20
2002-11-09,NA,130
2002-11-17,7,35
2002-11-17,NA,115
2002-11-25,3,9
2002-11-25,7,110
2002-11-25,NA,31
2002-12-03,7,67
2002-12-03,11,2
2002-12-03,17,1
2002-12-03,NA,80
2002-12-11,3,5
2002-12-11,7,99
2002-12-11,NA,46
2002-12-19,7,7
2002-12-19,NA,143
2002-12-27,3,9
2002-12-27,7,62
2002-12-27,17,3
2002-12-27,NA,76
2003-01-01,7,95
2003-01-01,17,4
2003-01-01,NA,51
2003-01-09,3,9
2003-01-09,7,83
2003-01-09,NA,58
2003-01-17,7,125
2003-01-17,NA,25
2003-01-25,7,111
2003-01-25,17,5
2003-01-25,NA,34
2003-02-02,3,5
2003-02-02,7,103
2003-02-02,17,2
2003-02-02,NA,40
2003-02-10,3,27
2003-02-10,7,57
2003-02-10,14,9
2003-02-10,NA,57
2003-02-18,NA,150
2003-02-26,3,4
2003-02-26,7,9
2003-02-26,NA,137
2003-03-06,7,34
2003-03-06,NA,116
2003-03-14,7,125
2003-03-14,NA,25
2003-03-22,7,96
2003-03-22,NA,54
2003-03-30,7,79
2003-03-30,17,2
2003-03-30,NA,69
2003-04-07,7,47
2003-04-07,14,11
