date,cellvalue,n_cells
2002-08-29,3,4
2002-08-29,13,2
2002-08-29,NA,30
2002-09-06,NA,36
2002-09-14,3,3
2002-09-14,NA,33
2002-09-22,13,3
2002-09-22,NA,33
2002-09-30,NA,36
2002-10-08,13,4
2002-10-08,17,1
2002-10-08,NA,31
2002-10-16,3,2
2002-10-16,11,1
2002-10-16,NA,33
2002-10-24,15,1
2002-10-24,NA,35
2002-11-01,NA,36
2002-11-09,7,1
2002-11-09,15,4
2002-11-09,NA,31
2002-11-17,NA,36
2002-11-25,NA,36
2002-12-03,7,1
2002-12-03,11,3
2002-12-03,NA,32
2002-12-11,NA,36
2002-12-19,NA,36
2002-12-27,NA,36
2003-01-01,7,3
2003-01-01,NA,33
2003-01-09,7,6
2003-01-09,NA,30
2003-01-17,7,2
2003-01-17,NA,34
2003-01-25,NA,36
2003-02-02,7,7
2003-02-02,NA,29
2003-02-10,NA,36
2003-02-18,7,1
2003-02-18,NA,35
2003-02-26,NA,36
2003-03-06,NA,36
2003-03-14,7,1
2003-03-14,NA,35
2003-03-22,7,1
2003-03-22,NA,35
2003-03-30,NA,36
2003-04-07,NA,36
2003-04-15,NA,36
2003-04-23,7,3
2003-04-23,NA,33
2003-05-01,7,4
2003-05-01,14,2
2003-05-01,NA,30
2003-05-09,21,4
2003-05-09,NA,32
2003-05-17,NA,36
2003-05-25,NA,36
2003-06-02,NA,36
2003-06-10,3,3
2003-06-10,7,1
2003-06-10,NA,32
2003-06-18,3,5
2003-06-18,NA,31
2003-06-26,NA,36
2003-07-04,13,1
2003-07-04,NA,35
2003-07-12,NA,36
2003-07-20,NA,36
2003-07-28,NA,36
2003-08-05,3,2
2003-08-05,NA,34
2003-08-13,3,2
2003-08-13,13,4
2003-08-13,NA,30
2003-08-21,13,4
2003-08-21,NA,32
2003-08-29,NA,36
2003-09-06,3,2
2003-09-06,13,1
2003-09-06,NA,33
2003-09-14,3,3
2003-09-14,13,3
2003-09-14,NA,30
2003-09-22,NA,36
2003-09-30,3,3
2003-09-30,NA,33
2003-10-08,3,3
2003-10-08,13,4
2003-10-08,NA,29
2003-10-16,NA,36
2003-10-24,3,2
2003-10-24,11,3
2003-10-24,NA,31
2003-11-01,NA,36
2003-11-09,7,4
2003-11-09,15,2
2003-11-09,NA,30
2003-11-17,7,4
2003-11-17,NA,32
2003-11-25,7,1
2003-11-25,NA,35
2003-12-03,7,5
2003-12-03,NA,31
2003-12-11,NA,36
2003-12-19,7,5
2003-12-19,NA,31
2003-12-27,NA,36
2004-01-01,7,3
2004-01-01,15,2
2004-01-01,NA,31
2004-01-09,7,1
2004-01-09,NA,35
2004-01-17,3,3
2004-01-17,7,1
2004-01-17,NA,32
2004-01-25,NA,36
2004-02-02,NA,36
2004-02-10,7,2
2004-02-10,NA,34
2004-02-18,3,2
2004-02-18,NA,34
2004-02-26,7,5
2004-02-26,NA,31
2004-03-05,3,1
2004-03-05,NA,35
2004-03-13,3,1
2004-03-13,17,1
2004-03-13,NA,34
2004-03-21,NA,36
2004-03-29,3,6
2004-03-29,NA,30
2004-04-06,3,1
2004-04-06,NA,35
2004-04-14,NA,36
2004-04-22,NA,36
2004-04-30,13,1
2004-04-30,NA,35
2004-05-08,NA,36
2004-05-16,NA,36
2004-05-24,NA,36
2004-06-01,13,1
2004-06-01,NA,35
2004-06-09,3,3
2004-06-09,NA,33
2004-06-17,NA,36
2004-06-25,13,2
2004-06-25,NA,34
2004-07-03,13,2
2004-07-03,NA,34
2004-07-11,NA,36
2004-07-19,NA,36
2004-07-27,NA,36
2004-08-04,NA,36
2004-08-12,13,2
2004-08-12,NA,34
2004-08-20,3,2
2004-08-20,13,3
2004-08-20,NA,31
2004-08-28,5,3
2004-08-28,NA,33
2004-09-05,NA,36
2004-09-13,3,2
2004-09-13,5,1
2004-09-13,NA,33
2004-09-21,3,1
2004-09-21,5,1
2004-09-21,NA,34
2004-09-29,NA,36
2004-10-07,NA,36
2004-10-15,NA,36
2004-10-23,NA,36
2004-10-31,3,5
2004-10-31,NA,31
2004-11-08,NA,36
2004-11-16,3,5
2004-11-16,7,2
2004-11-16,NA,29
2004-11-24,3,3
2004-11-24,NA,33
2004-12-02,7,5
2004-12-02,NA,31
2004-12-10,3,1
2004-12-10,15,1
2004-12-10,NA,34
2004-12-18,NA,36
2004-12-26,3,1
2004-12-26,7,1
2004-12-26,NA,34
2005-01-01,7,4
2005-01-01,NA,32
2005-01-09,15,2
2005-01-09,NA,34
2005-01-17,3,2
2005-01-17,NA,34
2005-01-25,3,1
2005-01-25,NA,35
2005-02-02,7,3
2005-02-02,NA,33
2005-02-10,7,3
2005-02-10,NA,33
2005-02-18,NA,36
2005-02-26,NA,36
2005-03-06,NA,36
2005-03-14,NA,36
2005-03-22,NA,36
2005-03-30,14,4
2005-03-30,21,2
2005-03-30,NA,30
2005-04-07,NA,36
2005-04-15,3,4
2005-04-15,NA,32
2005-04-23,NA,36
2005-05-01,NA,36
2005-05-09,7,1
2005-05-09,NA,35
2005-05-17,3,2
2005-05-17,13,1
2005-05-17,NA,33
2005-05-25,NA,36
2005-06-02,NA,36
2005-06-10,NA,36
2005-06-18,13,1
2005-06-18,NA,35
2005-06-26,NA,36
2005-07-04,3,1
2005-07-04,NA,35
2005-07-12,NA,36
2005-07-20,3,6
2005-07-20,NA,30
2005-07-28,13,5
2005-07-28,NA,31
2005-08-05,3,3
2005-08-05,NA,33
2005-08-13,3,1
2005-08-13,13,4
2005-08-13,NA,31
2005-08-21,3,3
2005-08-21,13,3
2005-08-21,NA,30
2005-08-29,3,3
2005-08-29,13,1
2005-08-29,NA,32
2005-09-06,3,1
2005-09-06,13,5
2005-09-06,NA,30
2005-09-14,17,1
2005-09-14,NA,35
2005-09-22,3,1
2005-09-22,NA,35
2005-09-30,NA,36
2005-10-08,3,2
2005-10-08,15,3
2005-10-08,NA,31
2005-10-16,NA,36
2005-10-24,13,1
2005-10-24,NA,35
2005-11-01,3,1
2005-11-01,13,1
2005-11-01,15,1
2005-11-01,NA,33
2005-11-09,3,1
2005-11-09,7,2
2005-11-09,15,1
2005-11-09,NA,32
2005-11-17,NA,36
2005-11-25,15,4
2005-11-25,NA,32
2005-12-03,NA,36
2005-12-11,NA,36
2005-12-19,15,7
2005-12-19,NA,29
2005-12-27,7,2
2005-12-27,NA,34
2006-01-01,7,5
2006-01-01,NA,31
2006-01-09,3,6
2006-01-09,NA,30
2006-01-17,7,2
2006-01-17,NA,34
2006-01-25,NA,36
2006-02-02,7,6
2006-02-02,NA,30
2006-02-10,7,3
2006-02-10,NA,33
2006-02-18,NA,36
2006-02-26,NA,36
2006-03-06,7,2
2006-03-06,14,2
2006-03-06,NA,32
2006-03-14,NA,36
2006-03-22,NA,36
2006-03-30,NA,36
2006-04-07,3,1
2006-04-07,NA,35
2006-04-15,3,1
2006-04-15,NA,35
2006-04-23,NA,36
2006-05-01,NA,36
2006-05-09,7,2
2006-05-09,NA,34
2006-05-17,7,2
2006-05-17,NA,34
2006-05-25,3,1
2006-05-25,13,5
2006-05-25,NA,30
2006-06-02,NA,36
2006-06-10,3,4
2006-06-10,13,1
2006-06-10,NA,31
2006-06-18,NA,36
2006-06-26,NA,36
2006-07-04,NA,36
2006-07-12,3,1
2006-07-12,5,3
2006-07-12,13,1
2006-07-12,NA,31
