date,cellvalue,n_cells
2002-08-29,3,1392
2002-08-29,13,689
2002-08-29,15,877
2002-08-29,17,18
2002-08-29,18,2
2002-08-29,NA,1552
2002-09-06,3,296
2002-09-06,13,1247
2002-09-06,15,250
2002-09-06,17,22
2002-09-06,18,11
2002-09-06,NA,2704
2002-09-14,3,460
2002-09-14,7,454
2002-09-14,11,9
2002-09-14,13,611
2002-09-14,14,2
2002-09-14,15,571
2002-09-14,17,33
2002-09-14,18,5
2002-09-14,NA,2385
2002-09-22,3,536
2002-09-22,7,682
2002-09-22,13,288
2002-09-22,14,4
2002-09-22,15,151
2002-09-22,17,27
2002-09-22,27,1
2002-09-22,NA,2841
2002-09-30,3,513
2002-09-30,7,872
2002-09-30,13,50
2002-09-30,14,8
2002-09-30,15,531
2002-09-30,17,5
2002-09-30,NA,2551
2002-10-08,3,338
2002-10-08,7,385
2002-10-08,11,13
2002-10-08,13,12
2002-10-08,15,66
2002-10-08,17,10
2002-10-08,NA,3706
2002-10-16,3,99
2002-10-16,7,1389
2002-10-16,14,5
2002-10-16,15,48
2002-10-16,17,3
2002-10-16,27,1
2002-10-16,NA,2985
2002-10-24,3,13
2002-10-24,7,1422
2002-10-24,15,59
2002-10-24,16,2
2002-10-24,17,9
2002-10-24,NA,3025
2002-11-01,7,429
2002-11-01,14,2
2002-11-01,15,55
2002-11-01,16,59
2002-11-01,17,2
2002-11-01,21,3
2002-11-01,NA,3980
2002-11-09,3,5
2002-11-09,7,1846
2002-11-09,11,10
2002-11-09,14,8
2002-11-09,15,3
2002-11-09,16,2
2002-11-09,17,1
2002-11-09,NA,2655
2002-11-17,7,270
2002-11-17,11,5
2002-11-17,14,24
2002-11-17,21,4
2002-11-17,NA,4227
2002-11-25,3,11
2002-11-25,7,3788
2002-11-25,14,1
2002-11-25,16,11
2002-11-25,17,7
2002-11-25,NA,712
2002-12-03,3,6
2002-12-03,7,677
2002-12-03,11,2
2002-12-03,14,33
2002-12-03,15,14
2002-12-03,16,15
2002-12-03,17,4
2002-12-03,21,4
2002-12-03,NA,3775
2002-12-11,3,25
2002-12-11,7,918
2002-12-11,11,5
2002-12-11,14,1
2002-12-11,15,5
2002-12-11,16,4
2002-12-11,17,17
2002-12-11,27,1
2002-12-11,NA,3554
2002-12-19,3,113
2002-12-19,7,1690
2002-12-19,13,2
2002-12-19,14,1
2002-12-19,16,2
2002-12-19,17,11
2002-12-19,NA,2711
2002-12-27,3,3
2002-12-27,7,215
2002-12-27,17,5
2002-12-27,NA,4307
2003-01-01,3,341
2003-01-01,7,1498
2003-01-01,11,2
2003-01-01,14,8
2003-01-01,15,4
2003-01-01,16,3
2003-01-01,17,19
2003-01-01,NA,2655
2003-01-09,3,105
