date,cellvalue,n_cells
2002-08-29,3,4
2002-08-29,5,6
2002-08-29,NA,10
2002-09-06,NA,20
2002-09-14,3,9
2002-09-14,NA,11
2002-09-22,3,4
2002-09-22,13,3
2002-09-22,NA,13
2002-09-30,NA,20
2002-10-08,3,10
2002-10-08,NA,10
2002-10-16,3,9
2002-10-16,15,1
2002-10-16,NA,10
2002-10-24,3,10
2002-10-24,NA,10
2002-11-01,15,4
2002-11-01,NA,16
2002-11-09,7,8
2002-11-09,11,2
2002-11-09,NA,10
2002-11-17,NA,20
2002-11-25,7,2
2002-11-25,NA,18
2002-12-03,NA,20
2002-12-11,7,2
2002-12-11,NA,18
2002-12-19,7,8
2002-12-19,NA,12
2002-12-27,NA,20
2003-01-01,NA,20
2003-01-09,NA,20
2003-01-17,7,10
2003-01-17,NA,10
2003-01-25,7,10
2003-01-25,NA,10
2003-02-02,7,7
2003-02-02,NA,13
2003-02-10,15,3
2003-02-10,NA,17
2003-02-18,7,1
2003-02-18,NA,19
2003-02-26,3,1
2003-02-26,7,3
2003-02-26,15,2
2003-02-26,NA,14
2003-03-06,3,8
2003-03-06,7,2
2003-03-06,NA,10
2003-03-14,NA,20
2003-03-22,3,3
2003-03-22,NA,17
2003-03-30,7,4
2003-03-30,NA,16
2003-04-07,7,1
2003-04-07,NA,19
2003-04-15,NA,20
2003-04-23,7,2
2003-04-23,NA,18
2003-05-01,7,2
2003-05-01,14,8
2003-05-01,NA,10
2003-05-09,7,6
2003-05-09,14,4
2003-05-09,NA,10
2003-05-17,3,10
2003-05-17,NA,10
2003-05-25,NA,20
2003-06-02,NA,20
2003-06-10,13,2
2003-06-10,NA,18
2003-06-18,3,5
2003-06-18,NA,15
2003-06-26,13,2
2003-06-26,NA,18
2003-07-04,13,2
2003-07-04,NA,18
2003-07-12,3,5
2003-07-12,13,5
2003-07-12,NA,10
2003-07-20,3,7
2003-07-20,5,1
2003-07-20,13,2
2003-07-20,NA,10
2003-07-28,3,7
2003-07-28,5,1
2003-07-28,13,2
2003-07-28,NA,10
2003-08-05,NA,20
2003-08-13,3,1
2003-08-13,5,6
2003-08-13,13,2
2003-08-13,NA,11
2003-08-21,3,4
2003-08-21,5,2
2003-08-21,NA,14
2003-08-29,5,1
2003-08-29,13,9
2003-08-29,NA,10
2003-09-06,3,5
2003-09-06,5,5
2003-09-06,NA,10
2003-09-14,3,9
2003-09-14,5,1
2003-09-14,NA,10
2003-09-22,3,3
2003-09-22,NA,17
2003-09-30,3,7
2003-09-30,13,3
2003-09-30,NA,10
2003-10-08,3,8
2003-10-08,13,2
2003-10-08,NA,10
2003-10-16,3,8
2003-10-16,13,2
2003-10-16,NA,10
2003-10-24,3,10
2003-10-24,NA,10
2003-11-01,3,10
2003-11-01,NA,10
2003-11-09,NA,20
2003-11-17,3,2
2003-11-17,7,1
2003-11-17,NA,17
2003-11-25,7,10
2003-11-25,NA,10
2003-12-03,7,1
2003-12-03,11,3
2003-12-03,NA,16
2003-12-11,NA,20
2003-12-19,3,4
2003-12-19,7,5
2003-12-19,11,1
2003-12-19,NA,10
2003-12-27,3,2
2003-12-27,7,3
2003-12-27,NA,15
2004-01-01,7,10
2004-01-01,NA,10
2004-01-09,3,2
2004-01-09,7,7
2004-01-09,NA,11
2004-01-17,7,2
2004-01-17,NA,18
2004-01-25,7,6
2004-01-25,NA,14
2004-02-02,3,1
2004-02-02,7,6
2004-02-02,NA,13
2004-02-10,7,7
2004-02-10,NA,13
2004-02-18,7,2
2004-02-18,15,7
2004-02-18,NA,11
2004-02-26,NA,20
2004-03-05,7,2
2004-03-05,NA,18
2004-03-13,7,1
2004-03-13,NA,19
2004-03-21,3,2
2004-03-21,7,2
2004-03-21,NA,16
2004-03-29,3,4
2004-03-29,NA,16
2004-04-06,7,4
2004-04-06,NA,16
2004-04-14,3,10
2004-04-14,NA,10
2004-04-22,7,5
2004-04-22,NA,15
2004-04-30,NA,20
2004-05-08,NA,20
2004-05-16,3,2
2004-05-16,13,8
2004-05-16,NA,10
2004-05-24,NA,20
2004-06-01,3,1
2004-06-01,13,9
2004-06-01,NA,10
2004-06-09,NA,20
2004-06-17,NA,20
2004-06-25,13,6
2004-06-25,NA,14
2004-07-03,5,1
2004-07-03,13,8
2004-07-03,NA,11
2004-07-11,5,9
2004-07-11,13,1
2004-07-11,NA,10
2004-07-19,13,6
2004-07-19,NA,14
2004-07-27,5,4
2004-07-27,13,6
2004-07-27,NA,10
2004-08-04,NA,20
2004-08-12,5,9
2004-08-12,13,1
2004-08-12,NA,10
2004-08-20,5,10
2004-08-20,NA,10
2004-08-28,5,3
2004-08-28,13,1
2004-08-28,NA,16
2004-09-05,NA,20
2004-09-13,3,4
2004-09-13,5,6
2004-09-13,NA,10
2004-09-21,NA,20
2004-09-29,5,10
2004-09-29,NA,10
2004-10-07,NA,20
2004-10-15,5,2
2004-10-15,NA,18
2004-10-23,3,4
2004-10-23,NA,16
2004-10-31,3,8
2004-10-31,NA,12
2004-11-08,3,3
2004-11-08,NA,17
2004-11-16,3,10
2004-11-16,NA,10
2004-11-24,NA,20
2004-12-02,3,10
2004-12-02,NA,10
2004-12-10,3,5
2004-12-10,7,5
2004-12-10,NA,10
2004-12-18,7,1
2004-12-18,NA,19
2004-12-26,7,10
2004-12-26,NA,10
2005-01-01,NA,20
2005-01-09,7,6
2005-01-09,NA,14
2005-01-17,NA,20
2005-01-25,3,2
2005-01-25,7,8
2005-01-25,NA,10
2005-02-02,3,5
2005-02-02,7,3
2005-02-02,17,2
2005-02-02,NA,10
2005-02-10,3,9
2005-02-10,7,1
2005-02-10,NA,10
2005-02-18,7,1
2005-02-18,NA,19
2005-02-26,3,1
2005-02-26,NA,19
2005-03-06,NA,20
2005-03-14,15,1
2005-03-14,NA,19
2005-03-22,NA,20
2005-03-30,NA,20
2005-04-07,3,5
2005-04-07,7,1
2005-04-07,NA,14
2005-04-15,NA,20
2005-04-23,NA,20
2005-05-01,7,4
2005-05-01,15,4
2005-05-01,NA,12
2005-05-09,3,6
2005-05-09,7,3
2005-05-09,15,1
2005-05-09,NA,10
2005-05-17,3,10
2005-05-17,NA,10
2005-05-25,3,10
2005-05-25,NA,10
2005-06-02,NA,20
2005-06-10,3,10
2005-06-10,NA,10
2005-06-18,NA,20
2005-06-26,3,2
2005-06-26,13,1
2005-06-26,NA,17
2005-07-04,13,3
2005-07-04,NA,17
2005-07-12,5,5
2005-07-12,NA,15
2005-07-20,3,1
2005-07-20,13,1
2005-07-20,NA,18
2005-07-28,3,3
2005-07-28,5,4
2005-07-28,13,3
2005-07-28,NA,10
2005-08-05,5,6
2005-08-05,13,1
2005-08-05,NA,13
2005-08-13,5,7
2005-08-13,13,2
2005-08-13,NA,11
2005-08-21,5,7
2005-08-21,13,1
2005-08-21,NA,12
2005-08-29,NA,20
2005-09-06,3,2
2005-09-06,13,8
2005-09-06,NA,10
2005-09-14,5,7
2005-09-14,13,1
2005-09-14,NA,12
2005-09-22,5,9
2005-09-22,13,1
2005-09-22,NA,10
2005-09-30,3,4
2005-09-30,15,1
2005-09-30,NA,15
2005-10-08,3,2
2005-10-08,NA,18
2005-10-16,13,1
2005-10-16,NA,19
2005-10-24,3,10
2005-10-24,NA,10
2005-11-01,3,2
2005-11-01,13,6
2005-11-01,NA,12
2005-11-09,3,10
2005-11-09,NA,10
2005-11-17,3,1
2005-11-17,7,1
2005-11-17,NA,18
2005-11-25,3,3
2005-11-25,15,6
2005-11-25,NA,11
2005-12-03,NA,20
2005-12-11,7,4
2005-12-11,NA,16
2005-12-19,3,3
2005-12-19,7,4
2005-12-19,NA,13
2005-12-27,3,2
2005-12-27,7,7
2005-12-27,13,1
2005-12-27,NA,10
2006-01-01,7,10
2006-01-01,NA,10
2006-01-09,15,4
2006-01-09,NA,16
2006-01-17,7,4
2006-01-17,NA,16
2006-01-25,3,2
2006-01-25,7,1
2006-01-25,15,2
2006-01-25,NA,15
2006-02-02,3,2
2006-02-02,7,8
2006-02-02,NA,10
2006-02-10,NA,20
2006-02-18,NA,20
2006-02-26,7,10
2006-02-26,NA,10
2006-03-06,7,10
2006-03-06,NA,10
2006-03-14,7,1
2006-03-14,NA,19
2006-03-22,NA,20
2006-03-30,NA,20
2006-04-07,7,3
2006-04-07,NA,17
2006-04-15,7,10
2006-04-15,NA,10
2006-04-23,7,5
2006-04-23,NA,15
2006-05-01,NA,20
2006-05-09,7,2
2006-05-09,13,1
2006-05-09,NA,17
2006-05-17,NA,20
2006-05-25,3,10
2006-05-25,NA,10
2006-06-02,3,5
2006-06-02,NA,15
2006-06-10,NA,20
2006-06-18,3,7
2006-06-18,5,2
2006-06-18,13,1
2006-06-18,NA,10
2006-06-26,13,10
2006-06-26,NA,10
2006-07-04,3,10
2006-07-04,NA,10
2006-07-12,5,3
2006-07-12,13,7
2006-07-12,NA,10
2006-07-20,5,8
2006-07-20,13,2
2006-07-20,NA,10
2006-07-28,5,10
2006-07-28,NA,10
2006-08-05,NA,20
2006-08-13,5,10
2006-08-13,NA,10
2006-08-21,5,2
2006-08-21,13,8
2006-08-21,NA,10
2006-08-29,5,9
2006-08-29,NA,11
2006-09-06,NA,20
2006-09-14,13,2
2006-09-14,NA,18
2006-09-22,3,2
2006-09-22,5,5
2006-09-22,13,3
2006-09-22,NA,10
2006-09-30,NA,20
2006-10-08,NA,20
2006-10-16,3,4
2006-10-16,NA,16
2006-10-24,3,3
2006-10-24,13,1
2006-10-24,NA,16
2006-11-01,3,2
2006-11-01,15,8
2006-11-01,NA,10
2006-11-09,3,7
2006-11-09,NA,13
2006-11-17,3,10
2006-11-17,NA,10
2006-11-25,NA,20
2006-12-03,7,5
2006-12-03,NA,15
2006-12-11,NA,20
2006-12-19,7,10
2006-12-19,NA,10
2006-12-27,7,6
2006-12-27,NA,14
2007-01-01,15,5
2007-01-01,NA,15
2007-01-09,7,10
2007-01-09,NA,10
2007-01-17,NA,20
2007-01-25,3,1
2007-01-25,7,5
2007-01-25,NA,14
2007-02-02,7,2
2007-02-02,NA,18
2007-02-10,3,7
2007-02-10,7,1
2007-02-10,NA,12
2007-02-18,3,2
2007-02-18,7,5
2007-02-18,NA,13
2007-02-26,7,1
2007-02-26,NA,19
2007-03-06,3,1
2007-03-06,7,5
2007-03-06,17,2
2007-03-06,NA,12
2007-03-14,7,10
2007-03-14,NA,10
2007-03-22,7,9
2007-03-22,17,1
2007-03-22,NA,10
2007-03-30,NA,20
2007-04-07,3,1
2007-04-07,7,8
2007-04-07,15,1
2007-04-07,NA,10
2007-04-15,3,3
2007-04-15,7,2
2007-04-15,15,3
2007-04-15,NA,12
2007-04-23,13,2
2007-04-23,NA,18
2007-05-01,3,8
2007-05-01,13,1
2007-05-01,17,1
2007-05-01,NA,10
2007-05-09,13,3
2007-05-09,NA,17
2007-05-17,13,8
2007-05-17,NA,12
2007-05-25,3,4
2007-05-25,13,6
2007-05-25,NA,10
2007-06-02,13,10
2007-06-02,NA,10
2007-06-10,3,1
2007-06-10,13,2
2007-06-10,NA,17
2007-06-18,13,10
2007-06-18,NA,10
2007-06-26,NA,20
2007-07-04,13,10
2007-07-04,NA,10
2007-07-12,5,1
2007-07-12,13,2
2007-07-12,NA,17
2007-07-20,5,4
2007-07-20,13,6
2007-07-20,NA,10
2007-07-28,5,5
2007-07-28,13,5
2007-07-28,NA,10
2007-08-05,13,10
2007-08-05,NA,10
2007-08-13,13,10
2007-08-13,NA,10
2007-08-21,5,1
2007-08-21,13,7
2007-08-21,NA,12
2007-08-29,NA,20
2007-09-06,3,3
2007-09-06,13,2
2007-09-06,NA,15
2007-09-14,3,9
2007-09-14,NA,11
2007-09-22,5,8
2007-09-22,13,2
2007-09-22,NA,10
2007-09-30,NA,20
2007-10-08,3,9
2007-10-08,13,1
2007-10-08,NA,10
2007-10-16,15,2
2007-10-16,NA,18
2007-10-24,NA,20
2007-11-01,NA,20
2007-11-09,3,9
2007-11-09,NA,11
2007-11-25,7,7
2007-11-25,NA,13
2007-12-03,7,1
2007-12-03,11,9
2007-12-03,NA,10
2007-12-11,NA,20
2007-12-19,3,2
2007-12-19,7,7
2007-12-19,NA,11
2007-12-27,NA,20
2008-01-01,7,2
2008-01-01,15,8
2008-01-01,NA,10
2008-01-09,7,10
2008-01-09,NA,10
2008-01-17,NA,20
2008-01-25,7,10
2008-01-25,NA,10
2008-02-02,7,6
2008-02-02,NA,14
2008-02-10,7,10
2008-02-10,NA,10
2008-02-18,15,4
2008-02-18,NA,16
2008-02-26,7,10
2008-02-26,NA,10
2008-03-05,7,10
2008-03-05,NA,10
2008-03-13,3,2
2008-03-13,7,8
2008-03-13,NA,10
2008-03-21,7,2
2008-03-21,NA,18
2008-03-29,NA,20
2008-04-06,3,3
2008-04-06,15,2
2008-04-06,NA,15
2008-04-14,NA,20
2008-04-22,3,3
2008-04-22,7,7
2008-04-22,NA,10
2008-05-08,3,8
2008-05-08,13,2
2008-05-08,NA,10
2008-05-16,13,10
2008-05-16,NA,10
2008-05-24,3,7
2008-05-24,13,3
2008-05-24,NA,10
2008-06-01,13,10
2008-06-01,NA,10
2008-06-09,13,6
2008-06-09,NA,14
2008-06-17,3,1
2008-06-17,13,4
2008-06-17,15,1
2008-06-17,NA,14
2008-06-25,3,1
2008-06-25,13,5
2008-06-25,15,3
2008-06-25,NA,11
2008-07-03,3,1
2008-07-03,5,1
2008-07-03,13,7
2008-07-03,NA,11
2008-07-11,5,2
2008-07-11,13,8
2008-07-11,NA,10
2008-07-19,3,1
2008-07-19,5,2
2008-07-19,13,6
2008-07-19,NA,11
2008-07-27,3,3
2008-07-27,5,3
2008-07-27,13,4
2008-07-27,NA,10
2008-08-04,3,8
2008-08-04,13,2
2008-08-04,NA,10
2008-08-12,3,2
2008-08-12,5,1
2008-08-12,13,6
2008-08-12,NA,11
2008-08-20,3,2
2008-08-20,5,8
2008-08-20,NA,10
2008-08-28,3,3
2008-08-28,5,6
2008-08-28,13,1
2008-08-28,NA,10
2008-09-05,NA,20
2008-09-13,3,6
2008-09-13,5,3
2008-09-13,13,1
2008-09-13,NA,10
2008-09-21,5,1
2008-09-21,NA,19
2008-09-29,3,6
2008-09-29,5,3
2008-09-29,13,1
2008-09-29,NA,10
2008-10-07,3,1
2008-10-07,13,5
2008-10-07,NA,14
2008-10-15,3,4
2008-10-15,5,2
2008-10-15,13,1
2008-10-15,NA,13
2008-10-23,NA,20
2008-10-31,3,1
2008-10-31,NA,19
2008-11-08,3,1
2008-11-08,15,4
2008-11-08,NA,15
2008-11-16,NA,20
2008-11-24,NA,20
