date,cellvalue,n_cells
2002-08-29,3,13
2002-08-29,5,3724
2002-08-29,13,524
2002-08-29,15,6
2002-08-29,NA,7290
2002-09-06,3,43
2002-09-06,5,1407
2002-09-06,13,431
2002-09-06,15,17
2002-09-06,NA,9659
2002-09-14,3,13
2002-09-14,5,1995
2002-09-14,13,1351
2002-09-14,15,1
2002-09-14,17,1
2002-09-14,NA,8196
2002-09-22,3,208
2002-09-22,5,1987
2002-09-22,13,588
2002-09-22,15,8
2002-09-22,NA,8766
2002-09-30,3,103
2002-09-30,5,2669
2002-09-30,13,938
2002-09-30,15,3
2002-09-30,NA,7844
2002-10-08,3,188
2002-10-08,5,2503
2002-10-08,11,1
2002-10-08,13,530
2002-10-08,15,6
2002-10-08,NA,8329
2002-10-16,3,883
2002-10-16,5,1879
2002-10-16,13,925
2002-10-16,15,1
2002-10-16,NA,7869
2002-10-24,3,1209
2002-10-24,5,2346
2002-10-24,13,287
2002-10-24,15,51
2002-10-24,17,1
2002-10-24,NA,7663
2002-11-01,3,1137
2002-11-01,5,2312
2002-11-01,11,2
2002-11-01,13,437
2002-11-01,15,44
2002-11-01,NA,7625
2002-11-09,3,330
2002-11-09,5,777
2002-11-09,11,36
2002-11-09,13,159
2002-11-09,15,28
2002-11-09,17,1
2002-11-09,NA,10226
2002-11-17,3,795
2002-11-17,5,817
2002-11-17,11,13
2002-11-17,13,246
2002-11-17,15,29
2002-11-17,17,1
2002-11-17,NA,9656
2002-11-25,3,1654
2002-11-25,5,781
2002-11-25,11,6
2002-11-25,13,603
2002-11-25,15,12
2002-11-25,17,5
2002-11-25,NA,8496
2002-12-03,3,2205
2002-12-03,5,1158
2002-12-03,7,53
2002-12-03,11,30
2002-12-03,13,350
2002-12-03,15,43
2002-12-03,17,3
2002-12-03,NA,7715
2002-12-11,3,753
2002-12-11,5,36
2002-12-11,7,25
2002-12-11,11,70
2002-12-11,13,13
2002-12-11,15,154
2002-12-11,NA,10506
2002-12-19,3,2034
2002-12-19,5,271
2002-12-19,7,349
2002-12-19,11,298
2002-12-19,13,81
2002-12-19,15,259
2002-12-19,17,1
2002-12-19,NA,8264
2002-12-27,3,77
2002-12-27,5,28
2002-12-27,13,18
2002-12-27,15,79
2002-12-27,NA,11355
2003-01-01,3,2793
2003-01-01,5,88
2003-01-01,7,368
2003-01-01,11,28
2003-01-01,13,84
2003-01-01,15,86
2003-01-01,17,4
2003-01-01,NA,8106
2003-01-09,3,2089
2003-01-09,5,241
2003-01-09,7,483
2003-01-09,11,62
2003-01-09,13,226
2003-01-09,15,65
2003-01-09,17,4
2003-01-09,NA,8387
2003-01-17,3,2629
2003-01-17,5,224
2003-01-17,7,357
2003-01-17,11,3
2003-01-17,13,670
2003-01-17,15,216
2003-01-17,17,4
2003-01-17,NA,7454
2003-01-25,3,654
2003-01-25,5,35
2003-01-25,7,126
2003-01-25,11,20
2003-01-25,13,81
2003-01-25,15,9
2003-01-25,NA,10632
2003-02-02,3,3399
2003-02-02,5,16
2003-02-02,7,995
2003-02-02,11,4
2003-02-02,13,122
2003-02-02,15,23
2003-02-02,17,2
2003-02-02,NA,6996
2003-02-10,3,2567
2003-02-10,5,21
2003-02-10,7,736
2003-02-10,11,7
2003-02-10,13,269
2003-02-10,14,19
2003-02-10,15,27
2003-02-10,17,5
2003-02-10,21,1
2003-02-10,NA,7905
2003-02-18,3,1600
2003-02-18,7,229
2003-02-18,11,17
2003-02-18,13,130
2003-02-18,15,156
2003-02-18,16,3
2003-02-18,17,2
2003-02-18,21,1
2003-02-18,NA,9419
2003-02-26,3,1453
2003-02-26,5,27
2003-02-26,7,284
2003-02-26,11,1
2003-02-26,13,570
2003-02-26,15,1023
2003-02-26,16,34
2003-02-26,17,24
2003-02-26,NA,8141
2003-03-06,3,1197
2003-03-06,5,3
2003-03-06,7,388
2003-03-06,11,17
