date,cellvalue,n_cells
2002-08-29,3,1737
2002-08-29,5,3979
2002-08-29,13,1290
2002-08-29,15,1018
2002-08-29,17,19
2002-08-29,18,2
2002-08-29,NA,70141
2002-09-06,3,429
2002-09-06,5,1442
2002-09-06,13,1982
2002-09-06,15,343
2002-09-06,17,22
2002-09-06,18,44
2002-09-06,NA,73924
2002-09-14,3,726
2002-09-14,5,2149
2002-09-14,7,460
2002-09-14,11,9
2002-09-14,13,2135
2002-09-14,14,2
2002-09-14,15,773
2002-09-14,17,36
2002-09-14,18,5
2002-09-14,27,6
2002-09-14,NA,71885
2002-09-22,3,948
2002-09-22,5,1988
2002-09-22,7,682
2002-09-22,13,1037
2002-09-22,14,4
2002-09-22,15,181
2002-09-22,17,29
2002-09-22,27,1
2002-09-22,NA,73316
2002-09-30,3,970
2002-09-30,5,2677
2002-09-30,7,873
2002-09-30,13,1125
2002-09-30,14,8
2002-09-30,15,541
2002-09-30,17,7
2002-09-30,NA,71985
2002-10-08,3,1089
2002-10-08,5,2510
2002-10-08,7,427
2002-10-08,11,14
2002-10-08,13,657
2002-10-08,15,109
2002-10-08,17,14
2002-10-08,27,1
2002-10-08,NA,73365
2002-10-16,3,1501
2002-10-16,5,1879
2002-10-16,7,1616
2002-10-16,11,2
2002-10-16,13,943
2002-10-16,14,5
2002-10-16,15,64
2002-10-16,17,4
2002-10-16,27,1
2002-10-16,NA,72171
2002-10-24,3,1752
2002-10-24,5,2345
2002-10-24,7,1701
2002-10-24,13,287
2002-10-24,15,123
2002-10-24,16,2
2002-10-24,17,12
2002-10-24,NA,71964
2002-11-01,3,1340
2002-11-01,5,2312
2002-11-01,7,569
2002-11-01,11,7
2002-11-01,13,442
2002-11-01,14,2
2002-11-01,15,183
2002-11-01,16,59
2002-11-01,17,4
2002-11-01,21,3
2002-11-01,27,1
2002-11-01,NA,73264
2002-11-09,3,594
2002-11-09,5,779
2002-11-09,7,2063
2002-11-09,11,52
2002-11-09,13,176
2002-11-09,14,8
2002-11-09,15,77
