date,cellvalue,n_cells
2002-08-29,3,27
2002-08-29,5,9
2002-08-29,NA,104
2002-09-06,3,5
2002-09-06,5,1
2002-09-06,13,35
2002-09-06,NA,99
2002-09-14,3,65
2002-09-14,13,19
2002-09-14,NA,56
2002-09-22,3,34
2002-09-22,13,9
2002-09-22,NA,97
2002-09-30,3,73
2002-09-30,13,18
2002-09-30,17,1
2002-09-30,NA,48
2002-10-08,3,16
2002-10-08,13,44
2002-10-08,17,4
2002-10-08,NA,76
2002-10-16,NA,140
2002-10-24,7,90
2002-10-24,15,3
2002-10-24,NA,47
2002-11-01,3,5
2002-11-01,7,39
2002-11-01,NA,96
2002-11-09,7,83
2002-11-09,NA,57
2002-11-17,NA,140
2002-11-25,7,9
2002-11-25,15,2
2002-11-25,NA,129
2002-12-03,7,34
2002-12-03,NA,106
2002-12-11,3,15
2002-12-11,7,2
2002-12-11,13,2
2002-12-11,NA,121
2002-12-19,3,25
2002-12-19,7,5
2002-12-19,11,1
2002-12-19,NA,109
2002-12-27,NA,140
2003-01-01,3,2
2003-01-01,7,8
2003-01-01,NA,130
2003-01-09,3,26
2003-01-09,7,71
2003-01-09,13,1
2003-01-09,NA,42
2003-01-17,3,10
2003-01-17,7,56
2003-01-17,15,24
2003-01-17,NA,50
2003-01-25,3,9
2003-01-25,7,48
2003-01-25,NA,83
2003-02-02,3,19
2003-02-02,7,98
2003-02-02,NA,23
2003-02-10,3,43
2003-02-10,7,12
2003-02-10,NA,85
2003-02-18,3,10
2003-02-18,7,1
2003-02-18,17,1
2003-02-18,NA,128
2003-02-26,3,6
2003-02-26,NA,134
2003-03-06,NA,140
2003-03-14,NA,140
2003-03-22,3,3
2003-03-22,7,21
2003-03-22,NA,116
2003-03-30,7,11
2003-03-30,NA,129
2003-04-07,3,1
2003-04-07,7,102
2003-04-07,NA,37
2003-04-15,7,7
2003-04-15,17,1
2003-04-15,NA,132
2003-04-23,NA,140
2003-05-01,7,108
2003-05-01,14,12
2003-05-01,NA,20
2003-05-09,NA,140
2003-05-17,NA,140
2003-05-25,NA,140
2003-06-02,7,14
2003-06-02,NA,126
2003-06-10,7,6
2003-06-10,NA,134
2003-06-18,3,18
2003-06-18,13,1
2003-06-18,17,1
2003-06-18,NA,120
2003-06-26,NA,140
2003-07-04,3,11
2003-07-04,13,12
2003-07-04,NA,117
2003-07-12,NA,140
2003-07-20,3,86
2003-07-20,5,17
2003-07-20,NA,37
2003-07-28,3,23
2003-07-28,5,38
2003-07-28,13,5
2003-07-28,NA,74
2003-08-05,NA,140
2003-08-13,3,70
2003-08-13,5,7
2003-08-13,13,37
2003-08-13,NA,26
2003-08-21,3,7
2003-08-21,5,1
2003-08-21,13,99
2003-08-21,NA,33
2003-08-29,3,3
2003-08-29,5,9
2003-08-29,13,21
2003-08-29,NA,107
2003-09-06,3,87
2003-09-06,5,20
2003-09-06,13,2
2003-09-06,NA,31
2003-09-14,3,5
2003-09-14,5,34
2003-09-14,13,58
2003-09-14,NA,43
2003-09-22,3,38
2003-09-22,13,25
2003-09-22,NA,77
2003-09-30,3,73
2003-09-30,5,2
2003-09-30,13,12
2003-09-30,NA,53
2003-10-08,3,104
2003-10-08,11,1
2003-10-08,13,1
2003-10-08,NA,34
2003-10-16,3,21
2003-10-16,5,3
2003-10-16,NA,116
2003-10-24,3,33
2003-10-24,15,22
2003-10-24,NA,85
2003-11-01,3,3
2003-11-01,11,4
2003-11-01,NA,133
2003-11-09,7,8
2003-11-09,11,8
2003-11-09,15,2
2003-11-09,NA,122
2003-11-17,3,1
2003-11-17,7,55
2003-11-17,NA,84
2003-11-25,7,102
2003-11-25,11,8
2003-11-25,NA,30
2003-12-03,NA,140
2003-12-11,7,120
2003-12-11,NA,20
2003-12-19,NA,140
2003-12-27,7,26
2003-12-27,11,3
2003-12-27,NA,111
2004-01-01,7,32
2004-01-01,NA,108
2004-01-09,3,15
2004-01-09,7,83
2004-01-09,NA,42
2004-01-17,7,38
2004-01-17,NA,102
2004-01-25,3,6
2004-01-25,7,64
2004-01-25,NA,70
2004-02-02,3,29
2004-02-02,7,58
2004-02-02,13,2
2004-02-02,NA,51
2004-02-10,NA,140
2004-02-18,3,23
2004-02-18,7,8
2004-02-18,NA,109
2004-02-26,3,19
2004-02-26,7,15
2004-02-26,NA,106
2004-03-05,NA,140
2004-03-13,3,20
2004-03-13,7,7
2004-03-13,NA,113
2004-03-21,3,16
2004-03-21,7,55
2004-03-21,15,2
2004-03-21,17,1
2004-03-21,NA,66
2004-03-29,NA,140
2004-04-06,7,120
2004-04-06,NA,20
2004-04-14,NA,140
2004-04-22,7,54
2004-04-22,14,1
2004-04-22,NA,85
2004-04-30,3,26
2004-04-30,7,91
2004-04-30,15,2
2004-04-30,NA,21
2004-05-08,7,101
2004-05-08,NA,39
2004-05-16,3,47
2004-05-16,7,29
2004-05-16,13,1
2004-05-16,15,2
2004-05-16,NA,61
2004-05-24,NA,140
2004-06-01,3,58
2004-06-01,7,11
2004-06-01,13,2
2004-06-01,15,11
2004-06-01,NA,58
2004-06-09,3,48
2004-06-09,13,1
2004-06-09,15,71
2004-06-09,NA,20
2004-06-17,3,87
2004-06-17,13,8
2004-06-17,15,5
2004-06-17,NA,40
2004-06-25,3,31
2004-06-25,13,34
2004-06-25,15,33
2004-06-25,NA,42
2004-07-03,3,40
2004-07-03,13,79
2004-07-03,17,1
2004-07-03,NA,20
2004-07-11,3,95
2004-07-11,13,23
2004-07-11,NA,22
2004-07-19,3,20
2004-07-19,13,33
2004-07-19,NA,87
2004-07-27,3,7
2004-07-27,13,29
2004-07-27,18,1
2004-07-27,NA,103
2004-08-04,NA,140
2004-08-12,3,3
2004-08-12,13,10
2004-08-12,18,1
2004-08-12,NA,126
