date,cellvalue,n_cells
2002-08-29,NA,130
2002-09-06,3,5
2002-09-06,13,53
2002-09-06,NA,72
2002-09-14,3,9
2002-09-14,13,14
2002-09-14,15,1
2002-09-14,NA,106
2002-09-22,3,12
2002-09-22,13,26
2002-09-22,17,1
2002-09-22,NA,91
2002-09-30,3,23
2002-09-30,13,4
2002-09-30,15,3
2002-09-30,NA,100
2002-10-08,3,2
2002-10-08,7,4
2002-10-08,13,3
2002-10-08,NA,121
2002-10-16,3,88
2002-10-16,15,1
2002-10-16,NA,41
2002-10-24,3,24
2002-10-24,7,87
2002-10-24,NA,19
2002-11-01,7,11
2002-11-01,15,4
2002-11-01,NA,115
2002-11-09,11,2
2002-11-09,NA,128
2002-11-17,7,18
2002-11-17,11,5
2002-11-17,NA,107
2002-11-25,7,3
2002-11-25,NA,127
2002-12-03,NA,130
2002-12-11,3,10
2002-12-11,7,86
2002-12-11,NA,34
2002-12-19,3,18
2002-12-19,7,65
2002-12-19,13,1
2002-12-19,NA,46
2002-12-27,7,2
2002-12-27,NA,128
2003-01-01,3,31
2003-01-01,7,84
2003-01-01,NA,15
2003-01-09,3,28
2003-01-09,7,31
2003-01-09,NA,71
2003-01-17,3,55
2003-01-17,7,65
2003-01-17,NA,10
2003-01-25,11,5
2003-01-25,NA,125
2003-02-02,3,11
2003-02-02,7,89
2003-02-02,NA,30
2003-02-10,3,15
2003-02-10,7,28
2003-02-10,NA,87
2003-02-18,3,9
2003-02-18,7,15
2003-02-18,NA,106
2003-02-26,3,25
2003-02-26,7,10
2003-02-26,13,2
2003-02-26,NA,93
2003-03-06,3,7
2003-03-06,7,1
2003-03-06,NA,122
2003-03-14,3,29
2003-03-14,7,73
2003-03-14,17,2
2003-03-14,NA,26
2003-03-22,3,13
2003-03-22,7,24
2003-03-22,17,1
2003-03-22,NA,92
2003-03-30,7,26
2003-03-30,14,6
2003-03-30,NA,98
2003-04-07,3,4
2003-04-07,7,22
2003-04-07,17,2
2003-04-07,NA,102
2003-04-15,7,20
2003-04-15,NA,110
2003-04-23,NA,130
2003-05-01,7,5
2003-05-01,14,21
2003-05-01,NA,104
2003-05-09,14,40
2003-05-09,21,19
2003-05-09,NA,71
2003-05-17,3,26
2003-05-17,7,4
2003-05-17,13,1
2003-05-17,NA,99
2003-05-25,17,2
2003-05-25,NA,128
2003-06-02,7,4
2003-06-02,NA,126
2003-06-10,NA,130
2003-06-18,7,7
2003-06-18,13,40
2003-06-18,15,47
2003-06-18,17,19
2003-06-18,NA,17
2003-06-26,NA,130
2003-07-04,3,2
2003-07-04,NA,128
2003-07-12,3,6
2003-07-12,NA,124
2003-07-20,3,103
