date,cellvalue,n_cells
2002-08-29,3,12
2002-08-29,5,2
2002-08-29,13,7
2002-08-29,NA,87
2002-09-06,3,13
2002-09-06,5,5
2002-09-06,13,2
2002-09-06,NA,88
2002-09-14,NA,108
2002-09-22,3,18
2002-09-22,NA,90
2002-09-30,3,26
2002-09-30,NA,82
2002-10-08,3,23
2002-10-08,13,2
2002-10-08,NA,83
2002-10-16,3,13
2002-10-16,NA,95
2002-10-24,3,24
2002-10-24,NA,84
2002-11-01,3,12
2002-11-01,15,12
2002-11-01,NA,84
2002-11-09,3,9
2002-11-09,NA,99
2002-11-17,7,19
2002-11-17,NA,89
2002-11-25,7,24
2002-11-25,15,1
2002-11-25,NA,83
2002-12-03,NA,108
2002-12-11,7,17
2002-12-11,15,2
2002-12-11,NA,89
2002-12-19,7,21
2002-12-19,NA,87
2002-12-27,NA,108
2003-01-01,7,27
2003-01-01,NA,81
2003-01-09,7,14
2003-01-09,NA,94
2003-01-17,7,23
2003-01-17,NA,85
2003-01-25,NA,108
2003-02-02,3,2
2003-02-02,7,23
2003-02-02,NA,83
2003-02-10,7,17
2003-02-10,NA,91
2003-02-18,15,4
2003-02-18,NA,104
2003-02-26,7,25
2003-02-26,NA,83
2003-03-06,3,9
2003-03-06,7,14
2003-03-06,17,1
2003-03-06,NA,84
2003-03-14,3,1
2003-03-14,7,14
2003-03-14,15,1
2003-03-14,NA,92
2003-03-22,7,10
2003-03-22,14,1
2003-03-22,NA,97
2003-03-30,NA,108
2003-04-07,NA,108
2003-04-15,3,11
2003-04-15,7,16
2003-04-15,NA,81
2003-04-23,3,17
2003-04-23,7,7
2003-04-23,NA,84
2003-05-01,3,6
2003-05-01,7,19
2003-05-01,15,2
2003-05-01,NA,81
2003-05-09,7,22
2003-05-09,14,5
2003-05-09,NA,81
2003-05-17,3,5
2003-05-17,7,11
2003-05-17,15,9
2003-05-17,NA,83
2003-05-25,7,10
2003-05-25,13,3
2003-05-25,15,1
2003-05-25,NA,94
2003-06-02,NA,108
2003-06-10,3,8
2003-06-10,13,4
2003-06-10,15,13
2003-06-10,NA,83
2003-06-18,3,10
2003-06-18,13,14
2003-06-18,15,2
2003-06-18,17,1
2003-06-18,NA,81
2003-06-26,3,10
2003-06-26,NA,98
2003-07-04,3,2
2003-07-04,13,11
2003-07-04,15,1
2003-07-04,NA,94
2003-07-12,5,1
2003-07-12,13,3
2003-07-12,NA,104
2003-07-20,3,5
2003-07-20,5,13
2003-07-20,13,8
2003-07-20,NA,82
2003-07-28,3,5
2003-07-28,5,10
2003-07-28,13,4
2003-07-28,NA,89
2003-08-05,3,9
2003-08-05,5,18
2003-08-05,NA,81
2003-08-13,3,21
2003-08-13,5,6
2003-08-13,NA,81
2003-08-21,3,10
2003-08-21,5,14
2003-08-21,13,1
2003-08-21,NA,83
2003-08-29,3,16
2003-08-29,5,11
2003-08-29,NA,81
2003-09-06,3,1
2003-09-06,5,20
2003-09-06,13,4
2003-09-06,NA,83
2003-09-14,3,7
2003-09-14,5,3
2003-09-14,13,1
2003-09-14,NA,97
2003-09-22,3,13
2003-09-22,NA,95
2003-09-30,13,11
2003-09-30,NA,97
2003-10-08,3,25
2003-10-08,NA,83
2003-10-16,NA,108
2003-10-24,3,7
2003-10-24,15,9
2003-10-24,NA,92
2003-11-01,3,8
2003-11-01,11,3
2003-11-01,15,1
2003-11-01,NA,96
2003-11-09,3,9
2003-11-09,7,1
2003-11-09,NA,98
2003-11-17,3,21
2003-11-17,11,1
2003-11-17,15,1
2003-11-17,NA,85
2003-11-25,NA,108
2003-12-03,13,1
2003-12-03,15,1
2003-12-03,NA,106
2003-12-11,3,3
2003-12-11,7,16
2003-12-11,NA,89
2003-12-19,NA,108
2003-12-27,3,1
2003-12-27,7,24
2003-12-27,NA,83
2004-01-01,7,17
2004-01-01,NA,91
2004-01-09,3,15
2004-01-09,7,4
2004-01-09,13,1
2004-01-09,15,3
2004-01-09,NA,85
2004-01-17,15,6
2004-01-17,NA,102
2004-01-25,3,3
2004-01-25,13,1
2004-01-25,15,1
2004-01-25,NA,103
2004-02-02,NA,108
2004-02-10,3,2
2004-02-10,7,7
2004-02-10,15,1
2004-02-10,NA,98
2004-02-18,3,5
2004-02-18,7,8
2004-02-18,NA,95
2004-02-26,3,8
2004-02-26,7,3
2004-02-26,NA,97
2004-03-05,3,13
2004-03-05,7,11
2004-03-05,NA,84
2004-03-13,3,16
2004-03-13,7,2
2004-03-13,NA,90
2004-03-21,NA,108
2004-03-29,3,2
2004-03-29,7,1
2004-03-29,NA,105
2004-04-06,NA,108
2004-04-14,NA,108
2004-04-22,NA,108
2004-04-30,NA,108
2004-05-08,NA,108
2004-05-16,3,1
2004-05-16,13,1
2004-05-16,NA,106
2004-05-24,3,4
2004-05-24,13,20
2004-05-24,NA,84
2004-06-01,NA,108
2004-06-09,3,9
2004-06-09,NA,99
2004-06-17,3,10
2004-06-17,13,1
2004-06-17,NA,97
2004-06-25,3,20
2004-06-25,13,4
2004-06-25,NA,84
2004-07-03,13,26
2004-07-03,NA,82
2004-07-11,NA,108
2004-07-19,3,4
2004-07-19,13,15
2004-07-19,NA,89
2004-07-27,3,10
2004-07-27,NA,98
2004-08-04,3,21
2004-08-04,5,4
2004-08-04,13,2
2004-08-04,NA,81
2004-08-12,3,3
2004-08-12,5,6
2004-08-12,13,5
2004-08-12,NA,94
2004-08-20,3,3
2004-08-20,NA,105
2004-08-28,5,1
2004-08-28,13,24
2004-08-28,NA,83
2004-09-05,5,2
2004-09-05,13,23
2004-09-05,NA,83
2004-09-13,3,2
2004-09-13,5,2
2004-09-13,13,1
2004-09-13,NA,103
2004-09-21,3,13
2004-09-21,5,6
2004-09-21,13,4
2004-09-21,NA,85
2004-09-29,3,3
2004-09-29,5,5
2004-09-29,13,9
2004-09-29,NA,91
2004-10-07,3,5
2004-10-07,15,5
2004-10-07,NA,98
2004-10-15,NA,108
2004-10-23,3,3
2004-10-23,NA,105
2004-10-31,3,5
2004-10-31,NA,103
2004-11-08,3,21
2004-11-08,13,1
2004-11-08,15,1
2004-11-08,NA,85
2004-11-16,3,26
2004-11-16,NA,82
2004-11-24,3,15
2004-11-24,13,2
2004-11-24,15,7
2004-11-24,NA,84
2004-12-02,NA,108
2004-12-10,3,23
2004-12-10,7,1
2004-12-10,13,1
2004-12-10,17,1
2004-12-10,NA,82
2004-12-18,11,3
2004-12-18,NA,105
2004-12-26,7,1
2004-12-26,NA,107
2005-01-01,3,18
2005-01-01,7,6
2005-01-01,15,3
2005-01-01,NA,81
2005-01-09,7,12
2005-01-09,NA,96
2005-01-17,3,1
2005-01-17,7,23
2005-01-17,NA,84
2005-01-25,7,21
2005-01-25,NA,87
2005-02-02,3,21
2005-02-02,7,5
2005-02-02,NA,82
2005-02-10,3,2
2005-02-10,7,17
2005-02-10,NA,89
2005-02-18,3,8
2005-02-18,7,11
2005-02-18,NA,89
2005-02-26,3,6
2005-02-26,7,5
2005-02-26,NA,97
2005-03-06,3,9
2005-03-06,7,18
2005-03-06,NA,81
2005-03-14,7,15
2005-03-14,14,5
2005-03-14,21,1
2005-03-14,NA,87
2005-03-22,NA,108
2005-03-30,3,17
2005-03-30,7,10
2005-03-30,NA,81
2005-04-07,NA,108
2005-04-15,3,20
2005-04-15,13,4
2005-04-15,NA,84
2005-04-23,3,3
2005-04-23,13,19
2005-04-23,NA,86
2005-05-01,3,9
2005-05-01,7,2
2005-05-01,13,1
2005-05-01,17,5
2005-05-01,NA,91
2005-05-09,3,25
2005-05-09,18,1
2005-05-09,NA,82
2005-05-17,3,5
2005-05-17,13,21
2005-05-17,NA,82
2005-05-25,3,4
2005-05-25,13,1
2005-05-25,NA,103
2005-06-02,3,9
2005-06-02,13,17
2005-06-02,NA,82
2005-06-10,3,21
2005-06-10,13,5
2005-06-10,NA,82
2005-06-18,3,14
2005-06-18,13,8
2005-06-18,NA,86
2005-06-26,5,1
2005-06-26,13,4
2005-06-26,NA,103
2005-07-04,5,6
2005-07-04,13,5
2005-07-04,NA,97
2005-07-12,5,1
2005-07-12,13,4
2005-07-12,NA,103
2005-07-20,3,3
2005-07-20,5,6
2005-07-20,13,18
2005-07-20,NA,81
2005-07-28,3,3
2005-07-28,5,6
2005-07-28,13,18
2005-07-28,NA,81
2005-08-05,5,2
2005-08-05,13,5
2005-08-05,NA,101
2005-08-13,3,1
2005-08-13,5,3
2005-08-13,13,1
2005-08-13,15,1
2005-08-13,NA,102
2005-08-21,3,3
2005-08-21,5,10
2005-08-21,13,13
2005-08-21,NA,82
2005-08-29,3,2
2005-08-29,5,1
2005-08-29,13,23
2005-08-29,NA,82
2005-09-06,3,1
2005-09-06,5,11
2005-09-06,13,13
2005-09-06,NA,83
2005-09-14,3,6
2005-09-14,5,7
2005-09-14,13,13
2005-09-14,NA,82
2005-09-22,3,1
2005-09-22,5,24
2005-09-22,13,2
2005-09-22,NA,81
2005-09-30,3,10
2005-09-30,5,1
2005-09-30,13,7
2005-09-30,NA,90
2005-10-08,3,21
2005-10-08,13,2
2005-10-08,NA,85
2005-10-16,3,22
2005-10-16,NA,86
2005-10-24,15,2
2005-10-24,NA,106
2005-11-01,3,27
2005-11-01,NA,81
2005-11-09,NA,108
2005-11-17,NA,108
2005-11-25,3,22
2005-11-25,7,4
2005-11-25,NA,82
2005-12-03,3,4
2005-12-03,15,16
2005-12-03,NA,88
2005-12-11,3,2
2005-12-11,NA,106
2005-12-19,3,2
2005-12-19,7,5
2005-12-19,11,1
2005-12-19,NA,100
2005-12-27,3,13
2005-12-27,7,13
2005-12-27,13,1
2005-12-27,15,1
2005-12-27,NA,80
2006-01-01,3,4
2006-01-01,7,14
2006-01-01,15,3
