date,cellvalue,n_cells
2002-08-29,NA,78
2002-09-06,NA,78
2002-09-14,NA,78
2002-09-22,13,1
2002-09-22,NA,77
2002-09-30,13,1
2002-09-30,NA,77
2002-10-08,3,1
2002-10-08,NA,77
2002-10-16,NA,78
2002-10-24,NA,78
2002-11-01,15,1
2002-11-01,NA,77
2002-11-09,NA,78
2002-11-17,7,1
2002-11-17,NA,77
2002-11-25,NA,78
2002-12-03,7,1
2002-12-03,NA,77
2002-12-11,NA,78
2002-12-19,NA,78
2002-12-27,NA,78
2003-01-01,NA,78
2003-01-09,NA,78
2003-01-17,3,1
2003-01-17,7,1
2003-01-17,NA,76
2003-01-25,NA,78
2003-02-02,3,1
2003-02-02,7,1
2003-02-02,NA,76
2003-02-10,NA,78
2003-02-18,NA,78
2003-02-26,NA,78
2003-03-06,NA,78
2003-03-14,NA,78
2003-03-22,NA,78
2003-03-30,NA,78
2003-04-07,NA,78
2003-04-15,NA,78
2003-04-23,NA,78
2003-05-01,NA,78
2003-05-09,NA,78
2003-05-17,NA,78
2003-05-25,NA,78
2003-06-02,NA,78
2003-06-10,NA,78
2003-06-18,NA,78
2003-06-26,NA,78
2003-07-04,NA,78
2003-07-12,NA,78
2003-07-20,NA,78
2003-07-28,NA,78
2003-08-05,NA,78
2003-08-13,13,1
2003-08-13,NA,77
2003-08-21,3,1
2003-08-21,NA,77
2003-08-29,NA,78
2003-09-06,NA,78
2003-09-14,NA,78
2003-09-22,NA,78
2003-09-30,NA,78
2003-10-08,NA,78
2003-10-16,NA,78
2003-10-24,NA,78
2003-11-01,NA,78
2003-11-09,7,2
2003-11-09,NA,76
2003-11-17,NA,78
2003-11-25,NA,78
2003-12-03,7,1
2003-12-03,NA,77
2003-12-11,NA,78
2003-12-19,NA,78
2003-12-27,NA,78
2004-01-01,NA,78
2004-01-09,NA,78
2004-01-17,NA,78
2004-01-25,NA,78
2004-02-02,NA,78
2004-02-10,NA,78
2004-02-18,NA,78
2004-02-26,NA,78
2004-03-05,NA,78
2004-03-13,NA,78
2004-03-21,NA,78
2004-03-29,NA,78
2004-04-06,NA,78
2004-04-14,NA,78
2004-04-22,NA,78
2004-04-30,NA,78
2004-05-08,NA,78
2004-05-16,NA,78
2004-05-24,NA,78
2004-06-01,NA,78
2004-06-09,NA,78
2004-06-17,NA,78
2004-06-25,NA,78
2004-07-03,NA,78
2004-07-11,NA,78
2004-07-19,NA,78
2004-07-27,NA,78
2004-08-04,NA,78
2004-08-12,NA,78
2004-08-20,NA,78
2004-08-28,3,1
2004-08-28,NA,77
2004-09-05,NA,78
2004-09-13,NA,78
2004-09-21,NA,78
2004-09-29,13,1
2004-09-29,NA,77
2004-10-07,NA,78
2004-10-15,NA,78
2004-10-23,NA,78
2004-10-31,3,1
2004-10-31,NA,77
2004-11-08,NA,78
2004-11-16,7,1
2004-11-16,13,1
2004-11-16,NA,76
2004-11-24,NA,78
2004-12-02,NA,78
2004-12-10,NA,78
2004-12-18,NA,78
2004-12-26,NA,78
2005-01-01,NA,78
2005-01-09,NA,78
2005-01-17,NA,78
2005-01-25,NA,78
2005-02-02,NA,78
2005-02-10,NA,78
2005-02-18,NA,78
2005-02-26,NA,78
2005-03-06,NA,78
2005-03-14,NA,78
2005-03-22,NA,78
2005-03-30,14,1
2005-03-30,NA,77
2005-04-07,NA,78
2005-04-15,3,1
2005-04-15,NA,77
2005-04-23,NA,78
2005-05-01,NA,78
2005-05-09,NA,78
2005-05-17,NA,78
2005-05-25,NA,78
2005-06-02,NA,78
2005-06-10,NA,78
2005-06-18,NA,78
2005-06-26,NA,78
2005-07-04,NA,78
2005-07-12,NA,78
2005-07-20,NA,78
2005-07-28,NA,78
2005-08-05,NA,78
2005-08-13,NA,78
2005-08-21,13,2
2005-08-21,NA,76
2005-08-29,NA,78
2005-09-06,3,1
2005-09-06,13,1
2005-09-06,NA,76
2005-09-14,NA,78
2005-09-22,NA,78
2005-09-30,NA,78
2005-10-08,NA,78
2005-10-16,NA,78
2005-10-24,NA,78
2005-11-01,13,1
2005-11-01,NA,77
2005-11-09,NA,78
2005-11-17,NA,78
2005-11-25,7,1
2005-11-25,NA,77
2005-12-03,NA,78
2005-12-11,NA,78
2005-12-19,15,1
2005-12-19,NA,77
2005-12-27,NA,78
2006-01-01,NA,78
2006-01-09,3,1
2006-01-09,NA,77
2006-01-17,NA,78
2006-01-25,7,1
2006-01-25,NA,77
2006-02-02,3,1
2006-02-02,7,1
2006-02-02,NA,76
2006-02-10,NA,78
2006-02-18,NA,78
2006-02-26,NA,78
2006-03-06,NA,78
2006-03-14,NA,78
2006-03-22,NA,78
2006-03-30,NA,78
2006-04-07,NA,78
2006-04-15,NA,78
2006-04-23,NA,78
2006-05-01,NA,78
2006-05-09,NA,78
2006-05-17,NA,78
2006-05-25,NA,78
2006-06-02,NA,78
2006-06-10,NA,78
2006-06-18,NA,78
2006-06-26,NA,78
2006-07-04,NA,78
2006-07-12,NA,78
2006-07-20,NA,78
2006-07-28,NA,78
2006-08-05,NA,78
2006-08-13,NA,78
2006-08-21,13,2
2006-08-21,NA,76
2006-08-29,NA,78
2006-09-06,NA,78
2006-09-14,NA,78
2006-09-22,NA,78
2006-09-30,NA,78
2006-10-08,NA,78
2006-10-16,NA,78
2006-10-24,NA,78
2006-11-01,3,1
2006-11-01,NA,77
2006-11-09,NA,78
2006-11-17,NA,78
2006-11-25,NA,78
2006-12-03,15,2
2006-12-03,NA,76
2006-12-11,NA,78
2006-12-19,NA,78
2006-12-27,NA,78
2007-01-01,NA,78
2007-01-09,NA,78
2007-01-17,3,1
2007-01-17,NA,77
2007-01-25,NA,78
2007-02-02,15,1
2007-02-02,NA,77
2007-02-10,NA,78
2007-02-18,NA,78
2007-02-26,NA,78
2007-03-06,NA,78
2007-03-14,NA,78
2007-03-22,NA,78
2007-03-30,NA,78
2007-04-07,NA,78
2007-04-15,NA,78
2007-04-23,NA,78
2007-05-01,NA,78
2007-05-09,NA,78
2007-05-17,NA,78
2007-05-25,NA,78
2007-06-02,NA,78
2007-06-10,NA,78
2007-06-18,NA,78
2007-06-26,NA,78
2007-07-04,NA,78
2007-07-12,NA,78
2007-07-20,NA,78
2007-07-28,NA,78
2007-08-05,NA,78
2007-08-13,NA,78
2007-08-21,NA,78
2007-08-29,NA,78
2007-09-06,NA,78
2007-09-14,NA,78
2007-09-22,3,1
2007-09-22,NA,77
2007-09-30,NA,78
2007-10-08,NA,78
2007-10-16,NA,78
2007-10-24,15,1
2007-10-24,NA,77
2007-11-01,NA,78
2007-11-09,3,1
2007-11-09,NA,77
2007-11-25,NA,78
2007-12-03,3,1
2007-12-03,NA,77
2007-12-11,NA,78
2007-12-19,NA,78
2007-12-27,NA,78
2008-01-01,15,1
2008-01-01,NA,77
2008-01-09,3,1
2008-01-09,7,1
2008-01-09,NA,76
2008-01-17,NA,78
2008-01-25,15,3
2008-01-25,NA,75
2008-02-02,NA,78
2008-02-10,NA,78
2008-02-18,NA,78
2008-02-26,7,1
2008-02-26,NA,77
2008-03-05,15,1
2008-03-05,NA,77
2008-03-13,NA,78
2008-03-21,NA,78
2008-03-29,NA,78
2008-04-06,NA,78
2008-04-14,NA,78
2008-04-22,NA,78
2008-05-08,NA,78
2008-05-16,NA,78
2008-05-24,NA,78
2008-06-01,NA,78
2008-06-09,NA,78
2008-06-17,NA,78
2008-06-25,13,1
2008-06-25,NA,77
2008-07-03,NA,78
2008-07-11,NA,78
2008-07-19,NA,78
2008-07-27,NA,78
2008-08-04,13,1
2008-08-04,NA,77
2008-08-12,NA,78
2008-08-20,NA,78
2008-08-28,NA,78
2008-09-05,NA,78
2008-09-13,NA,78
2008-09-21,NA,78
2008-09-29,NA,78
2008-10-07,13,1
2008-10-07,NA,77
2008-10-15,NA,78
2008-10-23,13,1
2008-10-23,NA,77
2008-10-31,NA,78
2008-11-08,NA,78
2008-11-16,NA,78
2008-11-24,NA,78
2008-12-02,NA,78
2008-12-10,11,1
2008-12-10,NA,77
2008-12-18,3,1
2008-12-18,NA,77
2008-12-26,NA,78
2009-01-01,7,1
2009-01-01,NA,77
2009-01-09,NA,78
2009-01-17,NA,78
2009-01-25,NA,78
2009-02-02,7,1
2009-02-02,NA,77
2009-02-10,7,1
2009-02-10,NA,77
2009-02-18,NA,78
2009-02-26,NA,78
2009-03-06,NA,78
2009-03-14,NA,78
2009-03-22,NA,78
2009-03-30,NA,78
2009-04-07,NA,78
2009-04-15,NA,78
2009-04-23,NA,78
2009-05-01,NA,78
2009-05-09,NA,78
2009-05-17,NA,78
2009-05-25,NA,78
2009-06-02,NA,78
2009-06-10,NA,78
2009-06-18,NA,78
2009-06-26,NA,78
2009-07-04,NA,78
2009-07-12,NA,78
2009-07-20,NA,78
2009-07-28,NA,78
2009-08-05,NA,78
2009-08-13,NA,78
2009-08-21,NA,78
2009-08-29,NA,78
2009-09-06,NA,78
2009-09-14,NA,78
