date,cellvalue,n_cells
2002-08-29,3,57
2002-08-29,5,1
2002-08-29,13,38
2002-08-29,17,1
2002-08-29,NA,111
2002-09-06,3,19
2002-09-06,5,1
2002-09-06,13,109
2002-09-06,NA,79
2002-09-14,3,8
2002-09-14,13,3
2002-09-14,15,15
2002-09-14,NA,182
2002-09-22,3,37
2002-09-22,13,57
2002-09-22,15,1
2002-09-22,NA,113
2002-09-30,3,155
2002-09-30,13,9
2002-09-30,NA,44
2002-10-08,3,85
2002-10-08,13,28
2002-10-08,15,4
2002-10-08,27,1
2002-10-08,NA,90
2002-10-16,3,152
2002-10-16,7,3
2002-10-16,15,1
2002-10-16,NA,52
2002-10-24,NA,208
2002-11-01,7,70
2002-11-01,15,26
2002-11-01,27,1
2002-11-01,NA,111
2002-11-09,7,41
2002-11-09,17,2
2002-11-09,NA,165
2002-11-17,7,4
2002-11-17,NA,204
2002-11-25,3,18
2002-11-25,7,80
2002-11-25,13,1
2002-11-25,NA,109
2002-12-03,7,56
2002-12-03,14,1
2002-12-03,NA,151
2002-12-11,7,32
2002-12-11,NA,176
2002-12-19,7,71
2002-12-19,17,4
2002-12-19,NA,133
2002-12-27,NA,208
2003-01-01,3,2
2003-01-01,7,57
2003-01-01,14,1
2003-01-01,16,2
2003-01-01,NA,146
2003-01-09,7,103
2003-01-09,14,5
2003-01-09,15,7
2003-01-09,16,3
2003-01-09,NA,90
2003-01-17,3,5
2003-01-17,7,134
2003-01-17,NA,69
2003-01-25,NA,208
2003-02-02,7,165
2003-02-02,NA,43
2003-02-10,3,36
2003-02-10,7,101
2003-02-10,NA,71
2003-02-18,3,29
2003-02-18,7,18
2003-02-18,17,5
2003-02-18,NA,156
2003-02-26,3,1
2003-02-26,7,42
2003-02-26,NA,165
2003-03-06,3,10
2003-03-06,7,19
2003-03-06,17,3
2003-03-06,NA,176
2003-03-14,7,165
2003-03-14,NA,43
2003-03-22,7,96
2003-03-22,NA,112
2003-03-30,NA,208
2003-04-07,NA,208
2003-04-15,NA,208
2003-04-23,7,21
2003-04-23,NA,187
2003-05-01,3,69
2003-05-01,7,75
