date,cellvalue,n_cells
2002-08-29,3,96
2002-08-29,5,229
2002-08-29,13,24
2002-08-29,NA,2231
2002-09-06,3,38
2002-09-06,5,33
2002-09-06,13,9
2002-09-06,NA,2500
2002-09-14,3,137
2002-09-14,5,155
2002-09-14,13,132
2002-09-14,NA,2156
2002-09-22,3,65
2002-09-22,5,1
2002-09-22,13,31
2002-09-22,NA,2483
2002-09-30,3,50
2002-09-30,5,9
2002-09-30,13,24
2002-09-30,15,3
2002-09-30,NA,2494
2002-10-08,3,410
2002-10-08,5,7
2002-10-08,13,35
2002-10-08,NA,2128
2002-10-16,3,248
2002-10-16,11,1
2002-10-16,13,17
2002-10-16,15,5
2002-10-16,NA,2309
2002-10-24,3,444
2002-10-24,15,9
2002-10-24,NA,2127
2002-11-01,3,195
2002-11-01,11,5
2002-11-01,13,6
2002-11-01,15,34
2002-11-01,NA,2340
2002-11-09,3,260
2002-11-09,5,2
2002-11-09,7,31
2002-11-09,11,2
2002-11-09,13,17
2002-11-09,15,47
2002-11-09,NA,2221
2002-11-17,3,131
2002-11-17,5,1
2002-11-17,11,6
2002-11-17,13,8
2002-11-17,15,4
2002-11-17,NA,2430
2002-11-25,3,305
2002-11-25,7,50
2002-11-25,15,8
2002-11-25,NA,2217
2002-12-03,3,44
2002-12-03,7,20
2002-12-03,13,21
2002-12-03,15,8
2002-12-03,17,2
2002-12-03,NA,2485
2002-12-11,3,186
2002-12-11,7,22
2002-12-11,15,3
2002-12-11,NA,2369
2002-12-19,3,10
2002-12-19,7,84
2002-12-19,11,15
2002-12-19,15,1
2002-12-19,NA,2470
2002-12-27,3,42
2002-12-27,7,67
2002-12-27,15,9
2002-12-27,NA,2462
2003-01-01,3,6
2003-01-01,7,8
2003-01-01,11,2
2003-01-01,NA,2564
2003-01-09,3,1
2003-01-09,7,50
2003-01-09,NA,2529
2003-01-17,3,231
2003-01-17,7,223
2003-01-17,15,9
2003-01-17,NA,2117
2003-01-25,7,463
2003-01-25,NA,2117
2003-02-02,3,126
2003-02-02,7,229
2003-02-02,15,6
2003-02-02,17,2
2003-02-02,NA,2217
2003-02-10,3,121
2003-02-10,7,97
2003-02-10,13,2
2003-02-10,15,27
2003-02-10,21,5
2003-02-10,NA,2328
2003-02-18,3,35
2003-02-18,7,14
2003-02-18,13,1
2003-02-18,17,2
2003-02-18,NA,2528
2003-02-26,3,64
2003-02-26,7,198
2003-02-26,15,67
2003-02-26,NA,2251
2003-03-06,3,406
2003-03-06,7,49
2003-03-06,17,1
2003-03-06,NA,2124
2003-03-14,7,156
2003-03-14,NA,2424
2003-03-22,3,74
2003-03-22,7,88
2003-03-22,13,1
2003-03-22,15,29
2003-03-22,17,2
2003-03-22,NA,2386
2003-03-30,3,2
2003-03-30,7,156
2003-03-30,11,1
2003-03-30,14,2
2003-03-30,NA,2419
2003-04-07,3,2
2003-04-07,7,62
2003-04-07,NA,2516
2003-04-15,3,2
2003-04-15,13,2
2003-04-15,15,81
2003-04-15,27,50
2003-04-15,NA,2445
2003-04-23,3,3
2003-04-23,7,39
2003-04-23,15,3
2003-04-23,17,5
2003-04-23,NA,2530
2003-05-01,3,109
2003-05-01,7,176
2003-05-01,14,74
2003-05-01,15,2
2003-05-01,21,2
2003-05-01,NA,2217
2003-05-09,3,18
2003-05-09,7,181
2003-05-09,11,1
2003-05-09,13,23
2003-05-09,14,59
2003-05-09,15,1
2003-05-09,NA,2297
2003-05-17,3,277
2003-05-17,7,1
2003-05-17,13,161
2003-05-17,15,2
2003-05-17,NA,2139
2003-05-25,3,31
2003-05-25,13,27
2003-05-25,NA,2522
2003-06-02,3,46
2003-06-02,13,110
2003-06-02,15,3
2003-06-02,NA,2421
2003-06-10,3,208
2003-06-10,13,203
2003-06-10,17,3
2003-06-10,NA,2166
2003-06-18,3,14
2003-06-18,13,40
2003-06-18,NA,2526
2003-06-26,3,21
2003-06-26,13,145
2003-06-26,15,1
2003-06-26,17,2
2003-06-26,NA,2411
2003-07-04,3,13
2003-07-04,5,42
2003-07-04,13,40
2003-07-04,15,14
2003-07-04,NA,2471
