date,cellvalue,n_cells
2002-08-29,3,6866
2002-08-29,5,12092
2002-08-29,13,9177
2002-08-29,15,128
2002-08-29,17,20
2002-08-29,18,7
2002-08-29,NA,29201
2002-09-06,3,3213
2002-09-06,5,5926
2002-09-06,13,7079
2002-09-06,15,157
2002-09-06,17,39
2002-09-06,NA,41077
2002-09-14,3,8128
2002-09-14,5,3912
2002-09-14,7,5
2002-09-14,11,24
2002-09-14,13,5630
2002-09-14,15,314
2002-09-14,17,66
2002-09-14,18,3
2002-09-14,27,2
2002-09-14,NA,39407
2002-09-22,3,6933
2002-09-22,5,1581
2002-09-22,7,65
2002-09-22,11,6
2002-09-22,13,5104
2002-09-22,15,349
2002-09-22,17,57
2002-09-22,18,1
2002-09-22,NA,43395
2002-09-30,3,15193
2002-09-30,5,3203
2002-09-30,7,193
2002-09-30,11,3
2002-09-30,13,8280
2002-09-30,15,421
2002-09-30,17,63
2002-09-30,18,10
2002-09-30,NA,30125
2002-10-08,3,11354
2002-10-08,5,1336
2002-10-08,7,192
2002-10-08,11,12
2002-10-08,13,5235
2002-10-08,15,429
2002-10-08,17,67
2002-10-08,18,5
2002-10-08,27,3
2002-10-08,NA,38858
2002-10-16,3,14361
2002-10-16,5,487
2002-10-16,7,1053
2002-10-16,11,148
2002-10-16,13,1627
2002-10-16,15,1191
2002-10-16,16,28
2002-10-16,17,63
2002-10-16,27,1
2002-10-16,NA,38532
2002-10-24,3,13763
2002-10-24,5,1169
2002-10-24,7,4634
2002-10-24,11,122
2002-10-24,13,948
2002-10-24,15,1971
2002-10-24,17,28
2002-10-24,18,3
2002-10-24,NA,34853
2002-11-01,3,8433
2002-11-01,5,304
2002-11-01,7,4194
2002-11-01,11,282
2002-11-01,13,1040
2002-11-01,14,2
2002-11-01,15,4683
2002-11-01,17,4
2002-11-01,18,2
2002-11-01,21,17
2002-11-01,27,14
2002-11-01,NA,38516
2002-11-09,3,5438
2002-11-09,5,690
2002-11-09,7,8708
2002-11-09,11,835
2002-11-09,13,1663
2002-11-09,14,8
2002-11-09,15,848
2002-11-09,17,61
2002-11-09,21,3
2002-11-09,NA,39237
2002-11-17,3,3954
2002-11-17,5,44
2002-11-17,7,5325
2002-11-17,11,525
2002-11-17,13,344
2002-11-17,14,10
2002-11-17,15,311
2002-11-17,17,16
2002-11-17,NA,46962
2002-11-25,3,9456
2002-11-25,5,74
2002-11-25,7,9461
2002-11-25,11,271
2002-11-25,13,474
2002-11-25,14,9
2002-11-25,15,558
2002-11-25,17,29
2002-11-25,NA,37159
2002-12-03,3,5516
2002-12-03,5,38
2002-12-03,7,11224
2002-12-03,11,257
2002-12-03,13,443
2002-12-03,14,81
2002-12-03,15,925
2002-12-03,16,12
2002-12-03,17,46
2002-12-03,21,38
2002-12-03,NA,38911
2002-12-11,3,6934
2002-12-11,7,7299
2002-12-11,11,232
2002-12-11,13,125
2002-12-11,15,420
2002-12-11,16,1
2002-12-11,17,53
2002-12-11,NA,42427
2002-12-19,3,2370
2002-12-19,7,12737
2002-12-19,11,403
2002-12-19,13,11
2002-12-19,14,6
2002-12-19,15,790
2002-12-19,16,33
2002-12-19,17,46
2002-12-19,21,4
2002-12-19,27,1
2002-12-19,NA,41090
2002-12-27,3,492
2002-12-27,7,2638
2002-12-27,11,15
2002-12-27,13,42
2002-12-27,14,3
2002-12-27,15,334
2002-12-27,16,2
2002-12-27,17,7
2002-12-27,21,1
2002-12-27,NA,53957
2003-01-01,3,6022
2003-01-01,5,3
2003-01-01,7,14193
2003-01-01,11,164
2003-01-01,13,21
2003-01-01,14,4
2003-01-01,15,673
2003-01-01,16,6
2003-01-01,17,65
2003-01-01,27,1
2003-01-01,NA,36339
2003-01-09,3,2873
2003-01-09,5,5
2003-01-09,7,17002
2003-01-09,11,322
