date,cellvalue,n_cells
2002-08-29,3,1911
2002-08-29,5,467
2002-08-29,7,78
2002-08-29,13,2829
2002-08-29,14,3
2002-08-29,15,1206
2002-08-29,16,1
2002-08-29,17,21
2002-08-29,18,127
2002-08-29,21,633
2002-08-29,27,108
2002-08-29,28,2
2002-08-29,NA,11899
2002-09-06,3,4734
2002-09-06,5,1235
2002-09-06,7,378
2002-09-06,13,3208
2002-09-06,14,25
2002-09-06,15,1435
2002-09-06,17,20
2002-09-06,18,17
2002-09-06,21,510
2002-09-06,27,5
2002-09-06,NA,7718
2002-09-14,3,3794
2002-09-14,5,885
2002-09-14,7,300
2002-09-14,13,1396
2002-09-14,14,7
2002-09-14,15,353
2002-09-14,17,12
2002-09-14,21,86
2002-09-14,NA,12452
2002-09-22,3,3607
2002-09-22,5,1350
2002-09-22,7,165
2002-09-22,11,5
2002-09-22,13,3221
2002-09-22,14,2
2002-09-22,15,529
2002-09-22,17,84
2002-09-22,18,2
2002-09-22,21,259
2002-09-22,27,2
2002-09-22,NA,10059
2002-09-30,3,1515
2002-09-30,5,685
2002-09-30,7,70
2002-09-30,11,9
2002-09-30,13,3099
2002-09-30,14,2
2002-09-30,15,271
2002-09-30,17,64
2002-09-30,18,3
2002-09-30,21,35
2002-09-30,27,3
2002-09-30,NA,13529
2002-10-08,3,2933
2002-10-08,5,1038
2002-10-08,7,250
2002-10-08,11,16
2002-10-08,13,1561
2002-10-08,14,28
2002-10-08,15,386
2002-10-08,17,5
2002-10-08,21,183
2002-10-08,27,2
2002-10-08,NA,12883
2002-10-16,3,4156
2002-10-16,5,605
2002-10-16,7,191
2002-10-16,13,1494
2002-10-16,14,2
2002-10-16,15,776
2002-10-16,17,10
2002-10-16,18,2
2002-10-16,21,234
2002-10-16,NA,11815
2002-10-24,3,7702
2002-10-24,5,297
2002-10-24,7,244
2002-10-24,11,3
2002-10-24,13,2355
2002-10-24,14,4
2002-10-24,15,776
2002-10-24,17,63
2002-10-24,18,7
2002-10-24,21,154
2002-10-24,27,9
2002-10-24,NA,7671
2002-11-01,3,8210
2002-11-01,5,825
2002-11-01,7,104
2002-11-01,13,1124
2002-11-01,14,3
2002-11-01,15,953
2002-11-01,17,12
2002-11-01,21,173
2002-11-01,27,17
2002-11-01,NA,7864
2002-11-09,3,6184
2002-11-09,5,851
2002-11-09,7,664
2002-11-09,11,57
2002-11-09,13,1079
2002-11-09,14,42
2002-11-09,15,345
2002-11-09,17,25
2002-11-09,21,223
2002-11-09,23,1
2002-11-09,27,2
2002-11-09,NA,9812
2002-11-17,3,2320
2002-11-17,5,26
2002-11-17,7,2096
2002-11-17,11,208
2002-11-17,13,264
2002-11-17,14,78
2002-11-17,15,213
2002-11-17,17,44
2002-11-17,21,147
2002-11-17,NA,13889
2002-11-25,3,4372
2002-11-25,5,9
2002-11-25,7,2771
2002-11-25,11,131
2002-11-25,13,353
2002-11-25,14,30
2002-11-25,15,126
2002-11-25,16,1
2002-11-25,17,16
2002-11-25,21,67
2002-11-25,NA,11409
2002-12-03,3,4558
2002-12-03,5,1
2002-12-03,7,3570
2002-12-03,11,39
2002-12-03,13,75
2002-12-03,14,34
2002-12-03,15,505
2002-12-03,16,29
2002-12-03,17,6
2002-12-03,21,718
2002-12-03,27,1
2002-12-03,NA,9749
2002-12-11,3,2954
2002-12-11,7,5652
2002-12-11,11,13
2002-12-11,13,142
2002-12-11,14,56
2002-12-11,15,718
2002-12-11,16,21
2002-12-11,17,20
2002-12-11,21,257
2002-12-11,27,3
2002-12-11,NA,9449
2002-12-19,3,3965
2002-12-19,7,5490
2002-12-19,11,45
2002-12-19,13,62
2002-12-19,14,32
2002-12-19,15,317
2002-12-19,16,2
2002-12-19,17,10
2002-12-19,21,152
2002-12-19,NA,9210
2002-12-27,3,1569
2002-12-27,7,513
2002-12-27,11,6
2002-12-27,13,67
2002-12-27,15,178
2002-12-27,16,2
2002-12-27,17,17
2002-12-27,21,204
2002-12-27,NA,16729
2003-01-01,3,1364
2003-01-01,7,5021
2003-01-01,11,65
2003-01-01,13,128
2003-01-01,14,27
2003-01-01,15,266
2003-01-01,16,3
2003-01-01,17,45
2003-01-01,21,175
2003-01-01,27,1
2003-01-01,NA,12190
2003-01-09,3,4820
2003-01-09,7,5965
2003-01-09,11,18
2003-01-09,13,23
2003-01-09,14,46
2003-01-09,15,217
2003-01-09,16,443
2003-01-09,17,13
2003-01-09,21,798
2003-01-09,27,15
2003-01-09,NA,6927
2003-01-17,3,3356
2003-01-17,7,5077
2003-01-17,11,9
2003-01-17,14,113
2003-01-17,15,321
2003-01-17,16,443
2003-01-17,17,44
2003-01-17,21,541
2003-01-17,27,1
2003-01-17,NA,9380
2003-01-25,3,3323
2003-01-25,7,4159
2003-01-25,11,1
2003-01-25,14,149
2003-01-25,15,212
2003-01-25,16,771
2003-01-25,17,2
2003-01-25,21,985
2003-01-25,27,4
2003-01-25,NA,9679
2003-02-02,3,1813
2003-02-02,7,3900
2003-02-02,11,37
2003-02-02,13,21
2003-02-02,14,702
2003-02-02,15,27
2003-02-02,16,456
2003-02-02,17,87
2003-02-02,21,377
2003-02-02,27,1
2003-02-02,NA,11864
2003-02-10,3,3509
2003-02-10,7,2604
2003-02-10,11,15
2003-02-10,13,28
2003-02-10,14,621
2003-02-10,15,32
2003-02-10,16,239
2003-02-10,17,55
2003-02-10,21,534
2003-02-10,27,14
2003-02-10,NA,11634
2003-02-18,3,653
2003-02-18,7,3773
2003-02-18,11,9
2003-02-18,13,1
2003-02-18,14,325
2003-02-18,15,53
2003-02-18,16,105
2003-02-18,17,42
2003-02-18,21,27
2003-02-18,23,1
2003-02-18,NA,14296
2003-02-26,3,959
2003-02-26,7,4770
2003-02-26,13,1
2003-02-26,14,1501
2003-02-26,15,132
2003-02-26,16,195
2003-02-26,17,61
2003-02-26,21,804
2003-02-26,27,1
2003-02-26,NA,10861
2003-03-06,3,1945
2003-03-06,7,6288
2003-03-06,13,23
2003-03-06,14,792
2003-03-06,15,191
2003-03-06,16,51
2003-03-06,17,192
2003-03-06,21,1118
2003-03-06,27,47
2003-03-06,NA,8638
2003-03-14,3,490
2003-03-14,7,5972
2003-03-14,11,4
2003-03-14,13,1
2003-03-14,14,415
2003-03-14,15,511
2003-03-14,16,498
2003-03-14,17,25
2003-03-14,21,959
2003-03-14,27,13
2003-03-14,NA,10397
2003-03-22,3,492
2003-03-22,7,2615
2003-03-22,13,16
2003-03-22,14,66
2003-03-22,15,141
2003-03-22,16,69
2003-03-22,17,126
2003-03-22,21,22
2003-03-22,27,2
2003-03-22,NA,15736
2003-03-30,3,6133
2003-03-30,7,4454
2003-03-30,13,740
2003-03-30,14,186
2003-03-30,15,604
2003-03-30,16,82
2003-03-30,17,94
2003-03-30,21,555
2003-03-30,27,92
2003-03-30,NA,6345
2003-04-07,3,954
2003-04-07,7,961
2003-04-07,13,184
2003-04-07,14,78
2003-04-07,15,782
2003-04-07,16,98
2003-04-07,17,105
2003-04-07,18,9
2003-04-07,21,402
2003-04-07,27,94
2003-04-07,NA,15618
2003-04-15,3,3495
2003-04-15,7,4091
2003-04-15,11,4
2003-04-15,13,235
2003-04-15,14,60
2003-04-15,15,244
2003-04-15,16,60
2003-04-15,17,173
2003-04-15,18,11
2003-04-15,21,143
2003-04-15,27,33
2003-04-15,NA,10736
2003-04-23,3,4217
2003-04-23,7,989
2003-04-23,13,614
2003-04-23,14,1
2003-04-23,15,406
2003-04-23,16,22
2003-04-23,17,101
2003-04-23,18,39
2003-04-23,21,60
2003-04-23,27,82
2003-04-23,NA,12754
2003-05-01,3,2045
2003-05-01,7,642
2003-05-01,13,912
2003-05-01,14,13
2003-05-01,15,687
2003-05-01,16,72
2003-05-01,17,610
2003-05-01,18,127
2003-05-01,21,271
2003-05-01,27,306
2003-05-01,NA,13600
2003-05-09,3,2980
2003-05-09,7,1410
2003-05-09,13,1199
2003-05-09,14,285
2003-05-09,15,859
2003-05-09,16,3
2003-05-09,17,556
2003-05-09,18,129
2003-05-09,21,725
2003-05-09,27,117
2003-05-09,NA,11022
2003-05-17,3,6414
2003-05-17,7,463
2003-05-17,13,2909
2003-05-17,14,89
2003-05-17,15,2006
2003-05-17,16,2
2003-05-17,17,126
2003-05-17,18,31
2003-05-17,21,282
2003-05-17,27,78
2003-05-17,NA,6885
2003-05-25,3,1471
2003-05-25,7,289
2003-05-25,13,4076
2003-05-25,14,13
2003-05-25,15,1702
2003-05-25,16,1
2003-05-25,17,644
2003-05-25,18,307
2003-05-25,21,93
2003-05-25,27,502
2003-05-25,28,1
2003-05-25,NA,10186
2003-06-02,3,4708
2003-06-02,7,64
2003-06-02,13,1956
2003-06-02,14,4
2003-06-02,15,2441
2003-06-02,17,72
2003-06-02,18,83
2003-06-02,21,137
2003-06-02,27,61
2003-06-02,NA,9759
2003-06-10,3,1296
2003-06-10,5,64
2003-06-10,7,27
2003-06-10,13,1705
2003-06-10,15,769
2003-06-10,17,51
2003-06-10,18,47
2003-06-10,21,22
2003-06-10,27,154
2003-06-10,NA,15150
2003-06-18,3,2055
2003-06-18,5,8
2003-06-18,7,12
2003-06-18,13,2576
2003-06-18,15,1725
2003-06-18,17,22
2003-06-18,18,50
2003-06-18,21,78
2003-06-18,27,314
2003-06-18,NA,12445
2003-06-26,3,5082
2003-06-26,5,514
2003-06-26,7,17
2003-06-26,13,4072
2003-06-26,14,1
2003-06-26,15,870
2003-06-26,17,50
2003-06-26,18,37
2003-06-26,21,43
2003-06-26,27,60
2003-06-26,NA,8539
2003-07-04,3,3437
2003-07-04,5,155
2003-07-04,7,59
2003-07-04,13,2388
2003-07-04,14,1
2003-07-04,15,641
2003-07-04,17,67
2003-07-04,18,97
2003-07-04,21,156
2003-07-04,27,90
2003-07-04,NA,12194
2003-07-12,3,5705
2003-07-12,5,105
2003-07-12,7,42
2003-07-12,13,3998
2003-07-12,15,962
2003-07-12,17,32
2003-07-12,18,57
2003-07-12,21,207
2003-07-12,27,41
2003-07-12,NA,8136
2003-07-20,3,5603
2003-07-20,5,959
2003-07-20,7,73
2003-07-20,13,2206
2003-07-20,15,956
2003-07-20,17,7
2003-07-20,18,4
2003-07-20,21,259
2003-07-20,27,13
2003-07-20,NA,9205
2003-07-28,3,2966
2003-07-28,5,94
2003-07-28,7,15
2003-07-28,13,3902
2003-07-28,15,2310
2003-07-28,17,15
2003-07-28,18,27
2003-07-28,21,256
2003-07-28,27,25
2003-07-28,NA,9675
2003-08-05,3,108
2003-08-05,5,48
2003-08-05,13,981
2003-08-05,15,242
2003-08-05,18,38
2003-08-05,21,2
2003-08-05,27,129
2003-08-05,NA,17737
2003-08-13,3,3539
2003-08-13,5,987
2003-08-13,7,5
2003-08-13,13,2883
2003-08-13,15,1453
2003-08-13,17,5
2003-08-13,18,2
2003-08-13,21,89
2003-08-13,27,37
2003-08-13,NA,10285
2003-08-21,3,3855
2003-08-21,5,1633
2003-08-21,7,14
2003-08-21,13,3697
2003-08-21,15,1218
2003-08-21,17,6
2003-08-21,18,6
2003-08-21,21,113
2003-08-21,27,13
2003-08-21,NA,8730
2003-08-29,3,2871
2003-08-29,5,1188
2003-08-29,7,52
2003-08-29,13,2860
2003-08-29,15,992
2003-08-29,17,14
2003-08-29,18,3
2003-08-29,21,127
2003-08-29,27,8
2003-08-29,NA,11170
2003-09-06,3,6114
2003-09-06,5,369
2003-09-06,7,1
2003-09-06,13,3598
2003-09-06,15,1470
2003-09-06,18,10
2003-09-06,21,502
2003-09-06,27,13
2003-09-06,NA,7208
2003-09-14,3,4147
2003-09-14,5,904
2003-09-14,13,5302
2003-09-14,15,2035
2003-09-14,18,5
2003-09-14,21,259
2003-09-14,27,16
2003-09-14,NA,6617
2003-09-22,3,5267
2003-09-22,5,2355
2003-09-22,7,12
2003-09-22,13,2023
2003-09-22,15,1417
2003-09-22,17,4
2003-09-22,18,9
2003-09-22,21,57
2003-09-22,27,14
2003-09-22,NA,8127
2003-09-30,3,4561
2003-09-30,5,320
2003-09-30,7,8
2003-09-30,13,1825
2003-09-30,15,1754
2003-09-30,21,206
2003-09-30,27,1
2003-09-30,NA,10610
2003-10-08,3,6410
2003-10-08,5,608
2003-10-08,7,16
2003-10-08,13,3634
2003-10-08,15,1314
2003-10-08,17,7
2003-10-08,18,15
2003-10-08,21,273
