date,cellvalue,n_cells
2002-08-29,3,111
2002-08-29,5,8672
2002-08-29,13,5422
2002-08-29,15,32
2002-08-29,NA,11167
2002-09-06,3,246
2002-09-06,5,10734
2002-09-06,11,2
2002-09-06,13,2439
2002-09-06,15,28
2002-09-06,NA,11955
2002-09-14,3,140
2002-09-14,5,6064
2002-09-14,13,4037
2002-09-14,15,44
2002-09-14,28,1
2002-09-14,NA,15118
2002-09-22,3,567
2002-09-22,5,10793
2002-09-22,11,1
2002-09-22,13,2768
2002-09-22,15,45
2002-09-22,NA,11230
2002-09-30,3,91
2002-09-30,5,6069
2002-09-30,13,2584
2002-09-30,15,26
2002-09-30,NA,16634
2002-10-08,3,339
2002-10-08,5,10861
2002-10-08,11,1
2002-10-08,13,2750
2002-10-08,15,69
2002-10-08,NA,11384
2002-10-16,3,1037
2002-10-16,5,7592
2002-10-16,11,6
2002-10-16,13,3366
2002-10-16,15,92
2002-10-16,17,4
2002-10-16,28,1
2002-10-16,NA,13306
2002-10-24,3,2749
2002-10-24,5,8190
2002-10-24,11,2
2002-10-24,13,3754
2002-10-24,15,95
2002-10-24,17,9
2002-10-24,28,1
2002-10-24,NA,10604
2002-11-01,3,4835
2002-11-01,5,7906
2002-11-01,11,9
2002-11-01,13,2296
2002-11-01,15,95
2002-11-01,17,4
2002-11-01,18,3
2002-11-01,NA,10256
2002-11-09,3,2948
2002-11-09,5,9719
2002-11-09,11,6
2002-11-09,13,2193
2002-11-09,15,34
2002-11-09,17,1
2002-11-09,NA,10503
2002-11-17,3,3790
2002-11-17,5,3204
2002-11-17,11,31
2002-11-17,13,1371
2002-11-17,15,85
2002-11-17,17,6
2002-11-17,NA,16917
2002-11-25,3,8428
2002-11-25,5,1224
2002-11-25,11,67
2002-11-25,13,1301
2002-11-25,15,70
2002-11-25,17,21
2002-11-25,NA,14293
2002-12-03,3,4261
2002-12-03,5,438
2002-12-03,7,6
2002-12-03,11,137
2002-12-03,13,609
2002-12-03,15,89
2002-12-03,17,9
2002-12-03,27,3
2002-12-03,NA,19852
2002-12-11,3,12109
2002-12-11,5,133
2002-12-11,7,46
2002-12-11,11,67
2002-12-11,13,674
2002-12-11,15,328
2002-12-11,17,29
2002-12-11,NA,12018
2002-12-19,3,16133
2002-12-19,5,30
2002-12-19,7,158
2002-12-19,11,5
2002-12-19,13,566
2002-12-19,15,177
2002-12-19,17,7
2002-12-19,NA,8328
2002-12-27,3,9276
2002-12-27,5,173
2002-12-27,7,32
2002-12-27,11,15
2002-12-27,13,711
2002-12-27,15,462
2002-12-27,17,5
2002-12-27,NA,14730
2003-01-01,3,10028
2003-01-01,5,116
2003-01-01,7,49
2003-01-01,11,54
2003-01-01,13,638
2003-01-01,15,630
2003-01-01,17,13
2003-01-01,NA,13876
2003-01-09,3,8920
2003-01-09,5,59
2003-01-09,7,91
2003-01-09,11,84
2003-01-09,13,889
2003-01-09,15,354
2003-01-09,17,30
2003-01-09,NA,14977
2003-01-17,3,9714
2003-01-17,5,19
2003-01-17,7,348
2003-01-17,11,79
2003-01-17,13,776
2003-01-17,15,255
2003-01-17,17,14
2003-01-17,NA,14199
2003-01-25,3,10240
2003-01-25,5,9
2003-01-25,7,192
2003-01-25,11,21
2003-01-25,13,252
2003-01-25,15,246
2003-01-25,17,19
2003-01-25,18,1
2003-01-25,NA,14424
2003-02-02,3,6143
2003-02-02,5,4
2003-02-02,7,1092
2003-02-02,11,319
2003-02-02,13,56
2003-02-02,15,212
2003-02-02,17,27
2003-02-02,27,1
2003-02-02,NA,17550
2003-02-10,3,8199
2003-02-10,7,901
2003-02-10,11,215
2003-02-10,13,271
2003-02-10,15,748
2003-02-10,17,41
2003-02-10,NA,15029
2003-02-18,3,6133
2003-02-18,7,501
2003-02-18,11,28
2003-02-18,13,58
2003-02-18,15,849
2003-02-18,17,7
2003-02-18,NA,17828
2003-02-26,3,11207
2003-02-26,7,1675
2003-02-26,13,99
2003-02-26,14,1
2003-02-26,15,2756
2003-02-26,17,12
2003-02-26,21,3
2003-02-26,27,2
2003-02-26,NA,9649
2003-03-06,3,7545
2003-03-06,5,1
2003-03-06,7,2782
2003-03-06,13,359
2003-03-06,15,621
2003-03-06,17,32
2003-03-06,27,2
2003-03-06,NA,14062
2003-03-14,3,2573
2003-03-14,7,820
2003-03-14,11,24
2003-03-14,13,560
2003-03-14,15,95
2003-03-14,17,40
2003-03-14,18,2
2003-03-14,NA,21290
2003-03-22,3,3979
2003-03-22,7,682
2003-03-22,11,41
2003-03-22,13,1440
2003-03-22,15,318
2003-03-22,17,78
2003-03-22,NA,18866
2003-03-30,3,3273
2003-03-30,5,342
2003-03-30,7,26
2003-03-30,11,2
2003-03-30,13,2574
2003-03-30,15,38
2003-03-30,17,45
2003-03-30,NA,19104
2003-04-07,3,2359
2003-04-07,5,414
2003-04-07,7,37
2003-04-07,11,6
2003-04-07,13,1637
2003-04-07,15,66
2003-04-07,17,25
2003-04-07,18,4
2003-04-07,27,11
2003-04-07,NA,20845
2003-04-15,3,3818
2003-04-15,5,147
2003-04-15,7,524
2003-04-15,11,22
2003-04-15,13,853
2003-04-15,15,91
2003-04-15,17,28
2003-04-15,18,4
2003-04-15,27,1
2003-04-15,NA,19916
2003-04-23,3,8353
2003-04-23,5,316
2003-04-23,7,1263
2003-04-23,11,4
2003-04-23,13,2360
2003-04-23,15,210
2003-04-23,16,3
2003-04-23,17,133
2003-04-23,27,1
2003-04-23,NA,12761
2003-05-01,3,4324
2003-05-01,5,763
2003-05-01,7,102
2003-05-01,13,7034
2003-05-01,15,157
2003-05-01,17,27
2003-05-01,18,1
2003-05-01,NA,12996
2003-05-09,3,1582
2003-05-09,5,89
2003-05-09,13,3317
2003-05-09,15,16
2003-05-09,17,63
2003-05-09,18,5
2003-05-09,27,7
2003-05-09,NA,20325
2003-05-17,3,1448
2003-05-17,5,8
2003-05-17,13,5551
2003-05-17,15,357
2003-05-17,17,74
2003-05-17,18,105
2003-05-17,27,33
2003-05-17,NA,17828
2003-05-25,3,854
2003-05-25,5,1893
2003-05-25,13,6830
2003-05-25,15,36
2003-05-25,17,9
2003-05-25,18,29
2003-05-25,27,1
2003-05-25,NA,15752
2003-06-02,3,1337
2003-06-02,5,3998
2003-06-02,13,4708
2003-06-02,15,75
2003-06-02,18,6
2003-06-02,NA,15280
2003-06-10,3,512
2003-06-10,5,6319
2003-06-10,13,5762
2003-06-10,15,83
2003-06-10,18,1
2003-06-10,27,1
2003-06-10,NA,12726
2003-06-18,3,94
2003-06-18,5,4459
2003-06-18,13,1532
2003-06-18,15,88
2003-06-18,18,20
2003-06-18,NA,19211
2003-06-26,3,457
2003-06-26,5,7599
2003-06-26,13,6430
2003-06-26,15,187
2003-06-26,17,2
2003-06-26,18,2
2003-06-26,NA,10727
2003-07-04,3,265
2003-07-04,5,4400
2003-07-04,13,2569
2003-07-04,15,120
2003-07-04,28,1
2003-07-04,NA,18049
2003-07-12,3,510
2003-07-12,5,7721
2003-07-12,13,4701
