date,cellvalue,n_cells
2003-01-15,3,13
2003-01-15,7,163
2003-01-15,17,3
2003-01-15,NA,61
2003-02-15,7,198
2003-02-15,NA,42
2003-03-15,3,84
2003-03-15,7,97
2003-03-15,17,3
2003-03-15,NA,56
2003-04-15,7,52
2003-04-15,14,14
2003-04-15,NA,174
2003-05-15,3,2
2003-05-15,7,172
2003-05-15,14,13
2003-05-15,NA,53
2003-06-15,7,4
2003-06-15,14,168
2003-06-15,21,26
2003-06-15,NA,42
2003-07-15,3,2
2003-07-15,7,89
2003-07-15,14,11
2003-07-15,15,15
2003-07-15,17,6
2003-07-15,NA,117
2003-08-15,3,131
2003-08-15,13,32
2003-08-15,15,9
2003-08-15,18,17
2003-08-15,NA,51
2003-09-15,3,147
2003-09-15,15,51
2003-09-15,NA,42
2003-10-15,3,167
2003-10-15,7,17
2003-10-15,15,11
2003-10-15,NA,45
2003-11-15,7,44
2003-11-15,NA,196
2003-12-15,7,191
2003-12-15,14,5
2003-12-15,17,1
2003-12-15,21,1
2003-12-15,NA,42
2004-01-15,3,5
2004-01-15,7,193
2004-01-15,NA,42
2004-02-15,3,50
2004-02-15,7,142
2004-02-15,17,2
2004-02-15,NA,46
2004-03-15,3,41
2004-03-15,7,104
2004-03-15,13,1
2004-03-15,16,20
2004-03-15,NA,74
2004-04-15,7,112
2004-04-15,14,11
2004-04-15,15,2
2004-04-15,21,73
2004-04-15,NA,42
2004-05-15,7,87
2004-05-15,14,78
2004-05-15,NA,75
2004-06-15,7,26
2004-06-15,14,114
2004-06-15,15,2
2004-06-15,21,1
2004-06-15,NA,97
2004-07-15,3,4
2004-07-15,7,7
2004-07-15,13,18
2004-07-15,15,147
2004-07-15,17,1
2004-07-15,18,4
2004-07-15,27,1
2004-07-15,NA,58
2004-08-15,3,18
2004-08-15,13,92
2004-08-15,15,4
2004-08-15,18,47
2004-08-15,NA,79
2004-09-15,3,156
2004-09-15,13,32
2004-09-15,15,9
2004-09-15,NA,43
2004-10-15,3,81
2004-10-15,7,72
2004-10-15,15,45
2004-10-15,NA,42
2004-11-15,3,39
2004-11-15,7,138
2004-11-15,15,14
2004-11-15,16,1
2004-11-15,NA,48
2004-12-15,7,198
2004-12-15,NA,42
2005-01-15,7,145
2005-01-15,14,6
2005-01-15,15,6
2005-01-15,16,3
2005-01-15,NA,80
2005-02-15,3,25
2005-02-15,7,116
2005-02-15,15,19
2005-02-15,NA,80
2005-03-15,3,120
2005-03-15,7,33
2005-03-15,15,3
2005-03-15,NA,84
2005-04-15,7,32
2005-04-15,NA,208
2005-05-15,7,152
2005-05-15,14,11
2005-05-15,15,2
2005-05-15,16,33
2005-05-15,NA,42
2005-06-15,3,112
2005-06-15,16,34
2005-06-15,17,4
2005-06-15,18,25
2005-06-15,NA,65
2005-07-15,3,157
2005-07-15,13,31
2005-07-15,15,1
2005-07-15,18,2
2005-07-15,NA,49
2005-08-15,3,104
2005-08-15,13,94
2005-08-15,NA,42
2005-09-15,3,58
2005-09-15,13,140
2005-09-15,NA,42
2005-10-15,3,72
