date,cellvalue,n_cells
2003-01-15,3,4
2003-01-15,7,122
2003-01-15,NA,24
2003-02-15,3,26
2003-02-15,7,98
2003-02-15,NA,26
2003-03-15,7,126
2003-03-15,NA,24
2003-04-15,7,64
2003-04-15,14,22
2003-04-15,NA,64
2003-05-15,3,14
2003-05-15,7,82
2003-05-15,15,7
2003-05-15,17,1
2003-05-15,NA,46
2003-06-15,7,70
2003-06-15,15,21
2003-06-15,17,1
2003-06-15,NA,58
2003-07-15,3,64
2003-07-15,7,40
2003-07-15,15,22
2003-07-15,NA,24
2003-08-15,3,125
2003-08-15,13,1
2003-08-15,NA,24
2003-09-15,3,94
2003-09-15,13,31
2003-09-15,15,1
2003-09-15,NA,24
2003-10-15,3,78
2003-10-15,7,27
2003-10-15,15,9
2003-10-15,NA,36
2003-11-15,7,121
2003-11-15,17,2
2003-11-15,NA,27
2003-12-15,3,5
2003-12-15,7,46
2003-12-15,NA,99
2004-01-15,7,105
2004-01-15,14,9
2004-01-15,15,5
2004-01-15,NA,31
2004-02-15,3,28
2004-02-15,7,97
2004-02-15,NA,25
2004-03-15,3,39
2004-03-15,7,15
2004-03-15,17,2
2004-03-15,NA,94
2004-04-15,7,123
2004-04-15,NA,27
2004-05-15,3,2
2004-05-15,7,96
2004-05-15,14,5
2004-05-15,NA,47
2004-06-15,3,116
2004-06-15,13,6
2004-06-15,15,1
2004-06-15,NA,27
2004-07-15,3,76
2004-07-15,13,38
2004-07-15,NA,36
2004-08-15,3,56
2004-08-15,13,47
2004-08-15,NA,47
2004-09-15,3,126
2004-09-15,NA,24
2004-10-15,3,122
2004-10-15,7,4
2004-10-15,NA,24
2004-11-15,7,120
2004-11-15,NA,30
2004-12-15,3,13
2004-12-15,7,112
2004-12-15,15,1
2004-12-15,NA,24
2005-01-15,3,17
2005-01-15,7,100
2005-01-15,NA,33
2005-02-15,3,38
2005-02-15,7,80
2005-02-15,17,1
2005-02-15,NA,31
2005-03-15,3,20
2005-03-15,7,104
2005-03-15,NA,26
2005-04-15,3,24
2005-04-15,7,101
2005-04-15,NA,25
2005-05-15,7,110
2005-05-15,15,1
2005-05-15,17,2
2005-05-15,27,1
2005-05-15,NA,36
2005-06-15,3,47
2005-06-15,7,61
2005-06-15,13,4
2005-06-15,17,4
2005-06-15,NA,34
2005-07-15,3,29
2005-07-15,13,36
2005-07-15,NA,85
2005-08-15,3,85
2005-08-15,13,40
2005-08-15,NA,25
2005-09-15,3,17
2005-09-15,13,105
2005-09-15,NA,28
2005-10-15,3,104
2005-10-15,13,5
2005-10-15,NA,41
2005-11-15,3,12
2005-11-15,7,94
2005-11-15,NA,44
2005-12-15,3,11
2005-12-15,7,83
2005-12-15,15,4
2005-12-15,17,3
2005-12-15,NA,49
2006-01-15,3,20
2006-01-15,7,56
2006-01-15,17,2
2006-01-15,NA,72
2006-02-15,3,67
2006-02-15,7,36
2006-02-15,13,1
2006-02-15,17,1
2006-02-15,NA,45
2006-03-15,3,5
2006-03-15,7,101
2006-03-15,NA,44
2006-04-15,3,18
2006-04-15,7,42
2006-04-15,17,3
2006-04-15,NA,87
2006-05-15,3,29
2006-05-15,7,28
2006-05-15,13,1
2006-05-15,17,2
2006-05-15,NA,90
2006-06-15,7,125
2006-06-15,15,1
2006-06-15,NA,24
2006-07-15,3,71
2006-07-15,13,44
2006-07-15,15,3
2006-07-15,17,2
2006-07-15,NA,30
2006-08-15,3,116
2006-08-15,13,10
2006-08-15,NA,24
2006-09-15,3,59
2006-09-15,15,59
2006-09-15,NA,32
2006-10-15,3,69
2006-10-15,7,1
2006-10-15,13,37
2006-10-15,15,2
2006-10-15,NA,41
2006-11-15,3,2
2006-11-15,7,124
2006-11-15,NA,24
2006-12-15,3,14
2006-12-15,7,99
2006-12-15,17,2
2006-12-15,NA,35
2007-01-15,3,49
2007-01-15,7,66
2007-01-15,15,1
2007-01-15,NA,34
2007-02-15,3,18
2007-02-15,7,55
2007-02-15,NA,77
2007-03-15,7,112
2007-03-15,17,1
2007-03-15,NA,37
2007-04-15,7,122
2007-04-15,NA,28
2007-05-15,3,23
2007-05-15,7,100
2007-05-15,15,1
2007-05-15,17,2
2007-05-15,NA,24
2007-06-15,3,85
2007-06-15,7,19
2007-06-15,13,7
2007-06-15,15,7
2007-06-15,17,6
2007-06-15,NA,26
2007-07-15,3,88
2007-07-15,13,34
2007-07-15,NA,28
2007-08-15,3,12
2007-08-15,13,102
2007-08-15,NA,36
2007-09-15,3,121
2007-09-15,13,5
2007-09-15,NA,24
2007-10-15,3,125
2007-10-15,13,1
2007-10-15,NA,24
2007-11-15,3,18
2007-11-15,7,107
2007-11-15,NA,25
2007-12-15,3,1
2007-12-15,7,71
2007-12-15,15,6
2007-12-15,NA,72
2008-01-15,7,43
2008-01-15,NA,107
2008-02-15,3,19
2008-02-15,7,43
2008-02-15,14,1
2008-02-15,17,7
2008-02-15,NA,80
2008-03-15,3,1
2008-03-15,7,92
2008-03-15,14,23
2008-03-15,15,5
2008-03-15,NA,29
2008-04-15,3,44
2008-04-15,7,22
2008-04-15,17,13
2008-04-15,NA,71
2008-05-15,3,6
2008-05-15,7,114
2008-05-15,NA,30
2008-06-15,3,13
2008-06-15,7,4
2008-06-15,13,4
2008-06-15,15,104
2008-06-15,17,1
2008-06-15,NA,24
2008-07-15,3,55
2008-07-15,7,1
2008-07-15,13,1
2008-07-15,15,56
2008-07-15,NA,37
2008-08-15,3,64
2008-08-15,13,49
2008-08-15,15,3
2008-08-15,17,1
2008-08-15,27,1
2008-08-15,NA,32
2008-09-15,3,110
2008-09-15,13,16
2008-09-15,NA,24
2008-10-15,3,28
2008-10-15,13,15
2008-10-15,NA,107
2008-11-15,3,116
2008-11-15,7,8
2008-11-15,13,2
2008-11-15,NA,24
2008-12-15,3,2
2008-12-15,7,111
2008-12-15,15,7
2008-12-15,NA,30
2009-01-15,3,14
2009-01-15,7,77
2009-01-15,17,6
2009-01-15,NA,53
2009-02-15,3,5
2009-02-15,7,121
2009-02-15,NA,24
2009-03-15,3,4
2009-03-15,7,109
2009-03-15,17,1
2009-03-15,NA,36
2009-04-15,7,98
2009-04-15,14,5
2009-04-15,NA,47
2009-05-15,3,4
2009-05-15,7,122
2009-05-15,NA,24
2009-06-15,3,11
2009-06-15,7,87
2009-06-15,15,28
2009-06-15,NA,24
2009-07-15,3,106
2009-07-15,15,19
2009-07-15,17,1
