date,cellvalue,n_cells
2003-01-15,3,3717
2003-01-15,5,188
2003-01-15,7,412
2003-01-15,11,4
2003-01-15,13,238
2003-01-15,15,63
2003-01-15,17,2
2003-01-15,NA,6933
2003-02-15,3,3452
2003-02-15,7,817
2003-02-15,11,4
2003-02-15,13,243
2003-02-15,15,186
2003-02-15,NA,6855
2003-03-15,3,3015
2003-03-15,5,47
2003-03-15,7,538
2003-03-15,11,3
2003-03-15,13,607
2003-03-15,15,363
2003-03-15,17,10
2003-03-15,NA,6974
2003-04-15,3,1861
2003-04-15,5,379
2003-04-15,7,528
2003-04-15,11,1
2003-04-15,13,863
2003-04-15,15,361
2003-04-15,17,62
2003-04-15,18,1
2003-04-15,NA,7501
2003-05-15,3,1704
2003-05-15,5,677
2003-05-15,13,2096
2003-05-15,15,5
2003-05-15,17,5
2003-05-15,18,1
2003-05-15,NA,7069
2003-06-15,3,565
2003-06-15,5,2909
2003-06-15,13,1257
2003-06-15,NA,6826
2003-07-15,3,4
2003-07-15,5,4186
2003-07-15,13,525
2003-07-15,15,2
2003-07-15,NA,6840
2003-08-15,5,4454
2003-08-15,13,269
2003-08-15,NA,6834
2003-09-15,3,3
2003-09-15,5,4514
2003-09-15,13,88
2003-09-15,15,10
2003-09-15,NA,6942
2003-10-15,3,634
2003-10-15,5,3741
2003-10-15,13,122
2003-10-15,15,66
2003-10-15,NA,6994
2003-11-15,3,2373
2003-11-15,5,2360
2003-11-15,11,1
2003-11-15,13,20
2003-11-15,NA,6803
2003-12-15,3,4025
2003-12-15,5,314
2003-12-15,7,1
2003-12-15,11,46
2003-12-15,13,58
2003-12-15,15,72
2003-12-15,NA,7041
2004-01-15,3,4344
2004-01-15,5,176
2004-01-15,7,5
2004-01-15,11,30
2004-01-15,13,23
2004-01-15,15,144
2004-01-15,17,1
2004-01-15,NA,6834
2004-02-15,3,3353
2004-02-15,5,177
2004-02-15,7,16
2004-02-15,11,10
2004-02-15,13,171
2004-02-15,15,424
2004-02-15,NA,7406
2004-03-15,3,2569
2004-03-15,5,212
2004-03-15,7,741
2004-03-15,11,2
2004-03-15,13,797
2004-03-15,15,275
2004-03-15,17,3
2004-03-15,NA,6958
2004-04-15,3,3017
2004-04-15,5,325
2004-04-15,7,22
2004-04-15,11,1
2004-04-15,13,742
2004-04-15,15,131
2004-04-15,17,25
2004-04-15,27,1
2004-04-15,NA,7293
2004-05-15,3,383
2004-05-15,5,1325
2004-05-15,13,2965
2004-05-15,15,7
2004-05-15,18,3
2004-05-15,NA,6874
2004-06-15,5,3538
2004-06-15,13,1087
2004-06-15,15,14
2004-06-15,NA,6918
2004-07-15,5,3091
2004-07-15,13,1634
2004-07-15,15,1
2004-07-15,NA,6831
2004-08-15,5,4140
2004-08-15,13,523
2004-08-15,15,1
2004-08-15,NA,6893
2004-09-15,5,4495
2004-09-15,13,226
2004-09-15,15,1
2004-09-15,NA,6835
2004-10-15,3,149
2004-10-15,5,3806
2004-10-15,13,286
2004-10-15,15,83
2004-10-15,NA,7233
2004-11-15,3,2860
2004-11-15,5,756
2004-11-15,11,3
2004-11-15,13,145
2004-11-15,15,125
2004-11-15,17,1
2004-11-15,28,1
2004-11-15,NA,7666
2004-12-15,3,4242
2004-12-15,5,346
2004-12-15,11,9
2004-12-15,13,102
2004-12-15,15,7
2004-12-15,17,1
2004-12-15,NA,6850
2005-01-15,3,4249
2005-01-15,7,114
2005-01-15,11,5
2005-01-15,13,16
2005-01-15,15,327
2005-01-15,17,2
2005-01-15,NA,6844
2005-02-15,3,3955
2005-02-15,7,145
2005-02-15,11,2
2005-02-15,13,7
2005-02-15,15,486
2005-02-15,17,4
2005-02-15,NA,6958
2005-03-15,3,1115
2005-03-15,7,1007
2005-03-15,13,136
2005-03-15,15,1710
2005-03-15,16,212
2005-03-15,17,20
2005-03-15,NA,7357
2005-04-15,3,3206
2005-04-15,5,17
2005-04-15,7,13
2005-04-15,13,978
2005-04-15,15,91
2005-04-15,17,3
2005-04-15,18,1
2005-04-15,NA,7248
2005-05-15,3,1338
2005-05-15,5,227
2005-05-15,13,2559
2005-05-15,15,1
2005-05-15,17,1
2005-05-15,18,10
2005-05-15,27,1
2005-05-15,NA,7420
2005-06-15,5,1319
2005-06-15,13,3411
2005-06-15,18,1
2005-06-15,NA,6826
2005-07-15,5,3177
2005-07-15,13,1444
2005-07-15,15,4
2005-07-15,18,1
2005-07-15,NA,6931
2005-08-15,5,3711
2005-08-15,13,946
2005-08-15,NA,6900
2005-09-15,5,4351
2005-09-15,13,352
2005-09-15,15,3
2005-09-15,NA,6851
2005-10-15,3,551
2005-10-15,5,3731
2005-10-15,13,273
2005-10-15,15,17
2005-10-15,NA,6985
2005-11-15,3,2066
2005-11-15,5,2221
2005-11-15,11,1
2005-11-15,13,249
2005-11-15,15,22
2005-11-15,NA,6998
2005-12-15,3,3985
2005-12-15,5,22
2005-12-15,11,28
2005-12-15,13,33
2005-12-15,15,434
2005-12-15,NA,7055
2006-01-15,3,4037
2006-01-15,7,6
2006-01-15,13,8
2006-01-15,15,703
2006-01-15,NA,6803
2006-02-15,3,4338
2006-02-15,7,15
2006-02-15,13,1
2006-02-15,15,370
2006-02-15,NA,6833
2006-03-15,3,3252
2006-03-15,5,6
2006-03-15,7,90
2006-03-15,13,659
2006-03-15,15,454
2006-03-15,17,5
2006-03-15,27,1
2006-03-15,NA,7090
2006-04-15,3,2589
2006-04-15,5,186
2006-04-15,7,95
2006-04-15,13,1286
2006-04-15,15,39
2006-04-15,17,17
2006-04-15,27,3
2006-04-15,NA,7342
2006-05-15,5,1181
2006-05-15,13,3258
2006-05-15,15,5
2006-05-15,28,1
2006-05-15,NA,7112
2006-06-15,3,2
2006-06-15,5,1916
2006-06-15,13,1704
2006-06-15,15,12
2006-06-15,27,1
2006-06-15,NA,7922
2006-07-15,5,3717
2006-07-15,13,1018
2006-07-15,NA,6822
2006-08-15,5,4198
2006-08-15,13,525
2006-08-15,15,2
2006-08-15,NA,6832
2006-09-15,5,3425
2006-09-15,13,1297
2006-09-15,15,1
2006-09-15,NA,6834
2006-10-15,3,789
2006-10-15,5,3428
2006-10-15,13,419
2006-10-15,15,19
2006-10-15,NA,6902
2006-11-15,3,1469
2006-11-15,5,2257
2006-11-15,11,4
2006-11-15,13,298
2006-11-15,15,258
2006-11-15,17,3
2006-11-15,NA,7268
2006-12-15,3,3577
2006-12-15,5,320
