date,cellvalue,n_cells
2003-01-15,3,4853
2003-01-15,5,189
2003-01-15,7,4407
2003-01-15,11,4
2003-01-15,13,240
2003-01-15,14,22
2003-01-15,15,95
2003-01-15,16,23
2003-01-15,17,9
2003-01-15,NA,68344
2003-02-15,3,4272
2003-02-15,7,4823
2003-02-15,11,4
2003-02-15,13,245
2003-02-15,14,3
2003-02-15,15,213
2003-02-15,17,31
2003-02-15,NA,68595
2003-03-15,3,3674
2003-03-15,5,47
2003-03-15,7,4532
2003-03-15,11,3
2003-03-15,13,610
2003-03-15,14,47
2003-03-15,15,364
2003-03-15,16,71
2003-03-15,17,39
2003-03-15,23,1
2003-03-15,27,3
2003-03-15,NA,68795
2003-04-15,3,1898
2003-04-15,5,382
2003-04-15,7,3411
2003-04-15,11,2
2003-04-15,13,872
2003-04-15,14,596
2003-04-15,15,440
2003-04-15,16,3
2003-04-15,17,86
2003-04-15,18,1
2003-04-15,27,4
2003-04-15,NA,70491
2003-05-15,3,2013
2003-05-15,5,679
2003-05-15,7,2144
2003-05-15,13,2136
2003-05-15,14,732
2003-05-15,15,147
2003-05-15,16,92
2003-05-15,17,20
2003-05-15,18,3
2003-05-15,21,117
2003-05-15,23,2
2003-05-15,27,4
2003-05-15,NA,70097
2003-06-15,3,886
2003-06-15,5,2911
2003-06-15,7,2864
2003-06-15,13,1545
2003-06-15,14,653
2003-06-15,15,148
2003-06-15,17,39
2003-06-15,21,26
2003-06-15,NA,69114
2003-07-15,3,2161
2003-07-15,5,4448
2003-07-15,7,799
2003-07-15,11,2
2003-07-15,13,762
2003-07-15,14,37
2003-07-15,15,277
2003-07-15,17,21
2003-07-15,18,2
2003-07-15,21,6
2003-07-15,NA,69671
2003-08-15,3,3464
2003-08-15,5,4642
2003-08-15,7,8
2003-08-15,13,1134
2003-08-15,15,50
2003-08-15,17,5
2003-08-15,18,24
2003-08-15,NA,68859
2003-09-15,3,4655
2003-09-15,5,4745
2003-09-15,7,3
2003-09-15,13,338
2003-09-15,15,148
2003-09-15,NA,68297
2003-10-15,3,4366
2003-10-15,5,3774
2003-10-15,7,792
2003-10-15,11,24
2003-10-15,13,358
2003-10-15,15,163
2003-10-15,17,5
2003-10-15,NA,68704
2003-11-15,3,2682
2003-11-15,5,2364
2003-11-15,7,4159
2003-11-15,11,40
2003-11-15,13,23
2003-11-15,14,8
2003-11-15,15,34
2003-11-15,16,11
2003-11-15,17,4
2003-11-15,NA,68861
2003-12-15,3,4220
2003-12-15,5,314
2003-12-15,7,4086
2003-12-15,11,73
2003-12-15,13,58
2003-12-15,14,43
2003-12-15,15,217
2003-12-15,16,9
2003-12-15,17,7
2003-12-15,21,13
2003-12-15,23,1
2003-12-15,27,6
2003-12-15,NA,69139
2004-01-15,3,4411
2004-01-15,5,177
2004-01-15,7,4729
2004-01-15,11,30
2004-01-15,13,23
2004-01-15,14,20
2004-01-15,15,269
2004-01-15,16,32
2004-01-15,17,2
2004-01-15,21,5
2004-01-15,NA,68488
2004-02-15,3,4509
2004-02-15,5,177
2004-02-15,7,3304
2004-02-15,11,10
2004-02-15,13,175
2004-02-15,14,17
2004-02-15,15,461
2004-02-15,17,22
2004-02-15,NA,69511
2004-03-15,3,3946
2004-03-15,5,213
2004-03-15,7,3410
2004-03-15,11,2
2004-03-15,13,805
2004-03-15,14,59
2004-03-15,15,297
2004-03-15,16,59
2004-03-15,17,51
2004-03-15,NA,69344
2004-04-15,3,3234
2004-04-15,5,326
2004-04-15,7,3511
2004-04-15,11,1
2004-04-15,13,744
2004-04-15,14,1170
2004-04-15,15,210
2004-04-15,16,8
2004-04-15,17,54
2004-04-15,21,136
2004-04-15,27,1
2004-04-15,NA,68791
2004-05-15,3,1213
2004-05-15,5,1327
