date,cellvalue,n_cells
2003-01-15,3,13
2003-01-15,7,98
2003-01-15,13,1
2003-01-15,NA,28
2003-02-15,3,23
2003-02-15,7,97
2003-02-15,NA,20
2003-03-15,3,5
2003-03-15,7,25
2003-03-15,NA,110
2003-04-15,3,4
2003-04-15,7,102
2003-04-15,NA,34
2003-05-15,7,61
2003-05-15,14,59
2003-05-15,NA,20
2003-06-15,3,4
2003-06-15,7,21
2003-06-15,15,7
2003-06-15,17,1
2003-06-15,NA,107
2003-07-15,3,101
2003-07-15,5,6
2003-07-15,13,11
2003-07-15,NA,22
2003-08-15,3,28
2003-08-15,5,15
2003-08-15,13,72
2003-08-15,NA,25
2003-09-15,3,89
2003-09-15,5,9
2003-09-15,13,18
2003-09-15,NA,24
2003-10-15,3,116
2003-10-15,5,1
2003-10-15,13,2
2003-10-15,NA,21
2003-11-15,3,3
2003-11-15,7,84
2003-11-15,11,8
2003-11-15,NA,45
2003-12-15,7,120
2003-12-15,NA,20
2004-01-15,3,2
2004-01-15,7,116
2004-01-15,NA,22
2004-02-15,3,40
2004-02-15,7,53
2004-02-15,13,2
2004-02-15,NA,45
2004-03-15,3,30
2004-03-15,7,57
2004-03-15,15,3
2004-03-15,17,1
2004-03-15,NA,49
2004-04-15,7,120
2004-04-15,NA,20
2004-05-15,3,1
2004-05-15,7,117
2004-05-15,15,1
2004-05-15,NA,21
2004-06-15,3,73
2004-06-15,15,47
2004-06-15,NA,20
2004-07-15,3,55
2004-07-15,13,65
2004-07-15,NA,20
2004-08-15,13,65
2004-08-15,17,1
2004-08-15,NA,74
2004-09-15,3,42
2004-09-15,5,62
2004-09-15,13,16
2004-09-15,NA,20
2004-10-15,3,103
2004-10-15,13,2
2004-10-15,15,12
2004-10-15,NA,23
2004-11-15,3,99
2004-11-15,7,17
2004-11-15,15,4
2004-11-15,NA,20
2004-12-15,3,6
2004-12-15,7,107
2004-12-15,15,3
2004-12-15,NA,24
2005-01-15,3,94
2005-01-15,7,14
2005-01-15,13,2
2005-01-15,17,1
2005-01-15,NA,29
2005-02-15,3,42
2005-02-15,7,4
2005-02-15,13,3
2005-02-15,15,2
2005-02-15,NA,89
2005-03-15,3,98
2005-03-15,7,19
2005-03-15,15,3
2005-03-15,NA,20
2005-04-15,3,58
2005-04-15,7,55
2005-04-15,NA,27
2005-05-15,3,15
2005-05-15,7,52
2005-05-15,15,6
2005-05-15,NA,67
2005-06-15,3,103
2005-06-15,13,12
2005-06-15,17,2
2005-06-15,NA,23
2005-07-15,3,44
2005-07-15,13,71
2005-07-15,15,1
2005-07-15,NA,24
2005-08-15,5,17
2005-08-15,13,103
2005-08-15,NA,20
2005-09-15,3,69
2005-09-15,5,17
2005-09-15,13,34
2005-09-15,NA,20
2005-10-15,3,89
2005-10-15,5,1
2005-10-15,13,9
2005-10-15,15,1
2005-10-15,NA,40
2005-11-15,3,13
2005-11-15,7,92
2005-11-15,NA,35
2005-12-15,7,117
2005-12-15,15,3
2005-12-15,NA,20
2006-01-15,3,8
2006-01-15,7,24
2006-01-15,11,2
2006-01-15,13,1
2006-01-15,15,21
2006-01-15,NA,84
2006-02-15,7,109
2006-02-15,15,10
2006-02-15,NA,21
2006-03-15,3,65
2006-03-15,7,51
2006-03-15,17,1
2006-03-15,NA,23
2006-04-15,3,2
2006-04-15,7,102
2006-04-15,NA,36
2006-05-15,3,21
2006-05-15,7,30
2006-05-15,13,2
2006-05-15,15,6
2006-05-15,17,10
2006-05-15,NA,71
2006-06-15,3,29
2006-06-15,13,91
2006-06-15,NA,20
2006-07-15,3,20
2006-07-15,13,98
2006-07-15,NA,22
2006-08-15,3,17
2006-08-15,13,103
2006-08-15,NA,20
2006-09-15,3,22
2006-09-15,5,6
2006-09-15,13,36
2006-09-15,NA,76
2006-10-15,3,116
2006-10-15,13,1
2006-10-15,15,3
2006-10-15,NA,20
2006-11-15,3,1
2006-11-15,7,97
2006-11-15,15,16
2006-11-15,NA,26
2006-12-15,3,8
2006-12-15,7,58
2006-12-15,11,1
2006-12-15,15,3
2006-12-15,NA,70
2007-01-15,3,36
2007-01-15,7,84
2007-01-15,NA,20
2007-02-15,3,7
2007-02-15,7,17
2007-02-15,NA,116
2007-03-15,7,120
2007-03-15,NA,20
2007-04-15,7,99
2007-04-15,NA,41
2007-05-15,3,58
2007-05-15,7,57
2007-05-15,13,2
2007-05-15,NA,23
2007-06-15,3,95
2007-06-15,7,1
2007-06-15,13,16
2007-06-15,NA,28
2007-07-15,3,33
2007-07-15,13,75
2007-07-15,17,2
2007-07-15,NA,30
2007-08-15,3,2
2007-08-15,5,3
2007-08-15,13,115
2007-08-15,NA,20
2007-09-15,3,97
2007-09-15,5,9
2007-09-15,13,14
2007-09-15,NA,20
2007-10-15,3,116
2007-10-15,13,4
2007-10-15,NA,20
2007-11-15,3,26
2007-11-15,7,81
2007-11-15,15,13
2007-11-15,NA,20
2007-12-15,3,1
2007-12-15,7,119
2007-12-15,NA,20
2008-01-15,3,6
2008-01-15,7,114
2008-01-15,NA,20
2008-02-15,3,67
2008-02-15,7,44
2008-02-15,15,9
2008-02-15,NA,20
2008-03-15,3,33
2008-03-15,7,67
2008-03-15,15,4
2008-03-15,NA,36
2008-04-15,3,78
2008-04-15,7,6
2008-04-15,13,3
2008-04-15,17,1
2008-04-15,NA,52
2008-05-15,3,46
2008-05-15,7,74
2008-05-15,NA,20
2008-06-15,3,97
2008-06-15,13,10
2008-06-15,15,5
2008-06-15,NA,28
2008-07-15,3,72
2008-07-15,13,48
2008-07-15,NA,20
2008-08-15,3,76
2008-08-15,13,44
2008-08-15,NA,20
2008-09-15,3,62
2008-09-15,5,50
2008-09-15,11,1
2008-09-15,13,2
2008-09-15,15,1
2008-09-15,NA,24
2008-10-15,3,85
2008-10-15,15,35
2008-10-15,NA,20
2008-11-15,3,117
2008-11-15,7,3
2008-11-15,NA,20
2008-12-15,3,67
2008-12-15,7,52
2008-12-15,NA,21
2009-01-15,7,26
2009-01-15,15,94
2009-01-15,NA,20
2009-02-15,3,38
2009-02-15,7,82
2009-02-15,NA,20
2009-03-15,3,15
2009-03-15,7,19
2009-03-15,NA,106
2009-04-15,3,24
2009-04-15,7,93
2009-04-15,NA,23
2009-05-15,3,40
2009-05-15,7,19
2009-05-15,13,1
2009-05-15,15,2
2009-05-15,NA,78
2009-06-15,3,80
2009-06-15,7,18
2009-06-15,13,2
2009-06-15,15,14
2009-06-15,NA,26
2009-07-15,3,83
2009-07-15,13,37
2009-07-15,NA,20
2009-08-15,3,56
2009-08-15,13,54
2009-08-15,15,10
2009-08-15,NA,20
2009-09-15,3,81
2009-09-15,13,36
2009-09-15,NA,23
2009-10-15,3,117
2009-10-15,13,2
2009-10-15,15,1
2009-10-15,NA,20
2009-11-15,3,42
2009-11-15,7,78
2009-11-15,NA,20
2009-12-15,3,5
2009-12-15,7,91
2009-12-15,15,2
2009-12-15,17,1
2009-12-15,NA,41
2010-01-15,3,84
2010-01-15,7,25
2010-01-15,17,1
2010-01-15,NA,30
2010-02-15,3,69
2010-02-15,7,30
2010-02-15,13,5
2010-02-15,14,5
2010-02-15,15,2
2010-02-15,17,2
2010-02-15,NA,27
2010-03-15,3,9
2010-03-15,7,102
2010-03-15,NA,29
2010-04-15,7,102
2010-04-15,14,2
2010-04-15,NA,36
2010-05-15,3,3
2010-05-15,7,115
2010-05-15,15,2
2010-05-15,NA,20
2010-06-15,3,40
2010-06-15,7,9
2010-06-15,13,32
2010-06-15,17,1
2010-06-15,NA,58
2010-07-15,3,21
2010-07-15,15,99
2010-07-15,NA,20
2010-08-15,3,19
2010-08-15,13,75
2010-08-15,15,25
2010-08-15,NA,21
2010-09-15,3,86
2010-09-15,13,34
2010-09-15,NA,20
2010-10-15,3,102
2010-10-15,13,8
2010-10-15,15,9
2010-10-15,NA,21
2010-11-15,3,36
2010-11-15,7,18
2010-11-15,11,3
2010-11-15,NA,83
2010-12-15,3,7
2010-12-15,7,93
2010-12-15,11,1
2010-12-15,NA,39
2011-01-15,3,5
2011-01-15,7,114
2011-01-15,17,1
2011-01-15,NA,20
2011-02-15,3,32
2011-02-15,7,68
2011-02-15,17,1
2011-02-15,NA,39
2011-03-15,3,5
2011-03-15,7,112
2011-03-15,17,2
2011-03-15,NA,21
2011-04-15,3,18
2011-04-15,7,13
2011-04-15,15,2
2011-04-15,17,1
2011-04-15,NA,106
2011-05-15,3,39
2011-05-15,7,80
2011-05-15,17,1
2011-05-15,NA,20
2011-06-15,3,32
2011-06-15,13,11
2011-06-15,15,9
2011-06-15,27,1
2011-06-15,NA,87
2011-07-15,3,29
2011-07-15,13,91
2011-07-15,NA,20
2011-08-15,3,20
2011-08-15,13,94
2011-08-15,NA,26
2011-09-15,3,96
2011-09-15,13,23
2011-09-15,NA,21
2011-10-15,3,106
2011-10-15,13,14
2011-10-15,NA,20
2011-11-15,3,12
2011-11-15,7,11
2011-11-15,11,2
2011-11-15,NA,115
2011-12-15,7,120
2011-12-15,NA,20
2012-01-15,7,110
2012-01-15,NA,30
2012-02-15,3,49
2012-02-15,7,68
2012-02-15,15,2
2012-02-15,NA,21
2012-03-15,7,120
2012-03-15,NA,20
2012-04-15,3,1
2012-04-15,7,106
2012-04-15,15,11
2012-04-15,NA,22
2012-05-15,3,73
2012-05-15,7,16
2012-05-15,13,9
2012-05-15,17,2
2012-05-15,NA,40
2012-06-15,3,80
2012-06-15,7,1
2012-06-15,13,5
2012-06-15,15,1
2012-06-15,NA,53
2012-07-15,3,47
2012-07-15,13,63
2012-07-15,15,1
2012-07-15,NA,29
2012-08-15,3,48
2012-08-15,13,72
2012-08-15,NA,20
2012-09-15,3,59
2012-09-15,13,46
2012-09-15,NA,35
2012-10-15,3,47
2012-10-15,13,72
2012-10-15,NA,21
2012-11-15,3,96
2012-11-15,7,17
2012-11-15,13,4
2012-11-15,15,2
2012-11-15,NA,21
2012-12-15,3,5
2012-12-15,7,73
2012-12-15,NA,62
2013-01-15,3,36
2013-01-15,7,72
2013-01-15,15,7
2013-01-15,NA,25
2013-02-15,3,43
2013-02-15,7,63
2013-02-15,15,1
2013-02-15,NA,33
2013-03-15,3,63
2013-03-15,7,33
2013-03-15,13,3
2013-03-15,17,2
2013-03-15,NA,39
2013-04-15,3,46
2013-04-15,7,34
2013-04-15,13,1
2013-04-15,NA,59
2013-05-15,3,90
2013-05-15,7,24
2013-05-15,13,5
2013-05-15,NA,21
2013-06-15,3,37
2013-06-15,13,79
2013-06-15,NA,24
2013-07-15,3,5
2013-07-15,13,15
2013-07-15,NA,120
2013-08-15,3,38
2013-08-15,13,81
2013-08-15,NA,21
2013-09-15,3,7
2013-09-15,5,60
2013-09-15,13,53
2013-09-15,NA,20
2013-10-15,3,71
2013-10-15,7,3
2013-10-15,13,32
2013-10-15,15,1
2013-10-15,17,1
2013-10-15,NA,32
2013-11-15,3,69
2013-11-15,7,50
2013-11-15,NA,21
2013-12-15,3,12
2013-12-15,7,76
2013-12-15,11,7
2013-12-15,NA,45
2014-01-15,3,15
2014-01-15,7,88
2014-01-15,15,9
2014-01-15,NA,28
2014-02-15,3,5
2014-02-15,7,1
2014-02-15,13,1
2014-02-15,15,2
2014-02-15,NA,131
2014-03-15,7,120
2014-03-15,NA,20
2014-04-15,7,79
2014-04-15,15,38
2014-04-15,NA,23
2014-05-15,3,9
2014-05-15,7,106
2014-05-15,NA,25
2014-06-15,3,59
2014-06-15,7,1
2014-06-15,13,5
2014-06-15,15,1
2014-06-15,NA,74
2014-07-15,3,63
2014-07-15,13,57
2014-07-15,NA,20
2014-08-15,3,58
2014-08-15,13,62
2014-08-15,NA,20
2014-09-15,3,93
2014-09-15,13,27
2014-09-15,NA,20
2014-10-15,3,20
2014-10-15,7,7
