date,cellvalue,n_cells
2003-01-15,3,53
2003-01-15,7,67
2003-01-15,NA,10
2003-02-15,3,18
2003-02-15,7,91
2003-02-15,NA,21
2003-03-15,3,32
2003-03-15,7,75
2003-03-15,14,1
2003-03-15,17,2
2003-03-15,NA,20
2003-04-15,3,2
2003-04-15,7,58
2003-04-15,17,1
2003-04-15,NA,69
2003-05-15,7,7
2003-05-15,14,67
2003-05-15,15,3
2003-05-15,21,30
2003-05-15,23,1
2003-05-15,27,1
2003-05-15,NA,21
2003-06-15,7,7
2003-06-15,13,35
2003-06-15,15,46
2003-06-15,17,25
2003-06-15,NA,17
2003-07-15,3,119
2003-07-15,NA,11
2003-08-15,3,106
2003-08-15,13,14
2003-08-15,NA,10
2003-09-15,3,87
2003-09-15,13,33
2003-09-15,NA,10
2003-10-15,3,54
2003-10-15,13,55
2003-10-15,17,1
2003-10-15,NA,20
2003-11-15,7,120
2003-11-15,NA,10
2003-12-15,7,70
2003-12-15,15,2
2003-12-15,NA,58
2004-01-15,7,117
2004-01-15,NA,13
2004-02-15,3,15
2004-02-15,7,96
2004-02-15,17,1
2004-02-15,NA,18
2004-03-15,3,44
2004-03-15,7,57
2004-03-15,15,4
2004-03-15,16,15
2004-03-15,NA,10
2004-04-15,3,2
2004-04-15,7,83
2004-04-15,14,35
2004-04-15,NA,10
2004-05-15,3,22
2004-05-15,7,48
2004-05-15,15,19
2004-05-15,NA,41
2004-06-15,3,87
2004-06-15,13,24
2004-06-15,NA,19
2004-07-15,3,22
2004-07-15,13,47
2004-07-15,15,3
2004-07-15,NA,58
2004-08-15,3,7
2004-08-15,13,93
2004-08-15,17,1
2004-08-15,NA,29
2004-09-15,3,96
2004-09-15,5,18
2004-09-15,13,6
2004-09-15,NA,10
2004-10-15,3,92
2004-10-15,13,2
2004-10-15,15,10
2004-10-15,NA,26
2004-11-15,3,78
2004-11-15,7,39
2004-11-15,15,1
2004-11-15,NA,12
2004-12-15,3,8
2004-12-15,7,112
2004-12-15,NA,10
2005-01-15,3,66
2005-01-15,7,54
2005-01-15,NA,10
2005-02-15,3,29
2005-02-15,7,84
2005-02-15,NA,17
2005-03-15,3,53
2005-03-15,7,65
2005-03-15,NA,12
2005-04-15,3,7
2005-04-15,7,113
2005-04-15,NA,10
2005-05-15,3,59
2005-05-15,7,40
2005-05-15,13,2
2005-05-15,17,3
2005-05-15,NA,26
2005-06-15,3,117
2005-06-15,13,3
2005-06-15,NA,10
2005-07-15,3,95
2005-07-15,13,25
2005-07-15,NA,10
2005-08-15,3,16
2005-08-15,13,102
2005-08-15,NA,12
2005-09-15,3,69
2005-09-15,13,51
2005-09-15,NA,10
2005-10-15,3,99
2005-10-15,7,2
2005-10-15,15,1
2005-10-15,NA,28
2005-11-15,7,87
2005-11-15,15,30
2005-11-15,NA,13
2005-12-15,3,6
2005-12-15,7,102
2005-12-15,15,9
2005-12-15,NA,13
2006-01-15,3,11
2006-01-15,7,94
2006-01-15,15,6
2006-01-15,NA,19
2006-02-15,3,28
2006-02-15,7,92
2006-02-15,NA,10
2006-03-15,3,31
2006-03-15,7,61
2006-03-15,NA,38
2006-04-15,3,17
2006-04-15,7,99
2006-04-15,17,2
2006-04-15,NA,12
2006-05-15,3,6
2006-05-15,7,81
2006-05-15,17,5
2006-05-15,NA,38
2006-06-15,3,78
2006-06-15,7,24
2006-06-15,13,2
2006-06-15,15,15
2006-06-15,17,1
2006-06-15,NA,10
2006-07-15,3,19
2006-07-15,13,100
2006-07-15,NA,11
2006-08-15,3,87
2006-08-15,13,33
2006-08-15,NA,10
2006-09-15,3,56
2006-09-15,13,22
2006-09-15,15,14
2006-09-15,NA,38
2006-10-15,3,90
2006-10-15,7,2
2006-10-15,13,17
2006-10-15,NA,21
2006-11-15,3,5
2006-11-15,7,58
2006-11-15,13,1
2006-11-15,15,11
2006-11-15,NA,55
2006-12-15,3,14
2006-12-15,7,39
2006-12-15,13,2
2006-12-15,15,5
2006-12-15,NA,70
2007-01-15,3,2
2007-01-15,7,118
2007-01-15,NA,10
2007-02-15,3,4
2007-02-15,7,10
2007-02-15,15,3
2007-02-15,NA,113
2007-03-15,7,120
2007-03-15,NA,10
2007-04-15,7,116
2007-04-15,NA,14
2007-05-15,3,1
2007-05-15,7,118
2007-05-15,15,1
2007-05-15,NA,10
2007-06-15,3,29
2007-06-15,7,1
2007-06-15,13,12
2007-06-15,17,6
2007-06-15,NA,82
2007-07-15,3,40
2007-07-15,13,60
2007-07-15,NA,30
2007-08-15,3,27
2007-08-15,5,7
2007-08-15,13,86
2007-08-15,NA,10
2007-09-15,3,45
2007-09-15,13,49
2007-09-15,NA,36
2007-10-15,3,119
2007-10-15,13,1
2007-10-15,NA,10
2007-11-15,3,49
2007-11-15,7,2
2007-11-15,11,3
2007-11-15,15,3
2007-11-15,17,1
2007-11-15,NA,72
2007-12-15,3,6
2007-12-15,7,78
2007-12-15,NA,46
2008-01-15,3,7
2008-01-15,7,45
2008-01-15,14,1
2008-01-15,15,63
2008-01-15,NA,14
2008-02-15,3,113
2008-02-15,7,7
2008-02-15,NA,10
2008-03-15,3,15
2008-03-15,7,102
2008-03-15,NA,13
2008-04-15,3,33
2008-04-15,7,61
2008-04-15,13,2
2008-04-15,17,5
2008-04-15,NA,29
2008-05-15,3,36
2008-05-15,7,78
2008-05-15,15,6
2008-05-15,NA,10
2008-06-15,3,64
2008-06-15,15,56
2008-06-15,NA,10
2008-07-15,3,72
2008-07-15,13,48
2008-07-15,NA,10
2008-08-15,3,32
2008-08-15,13,88
2008-08-15,NA,10
2008-09-15,3,39
2008-09-15,13,74
2008-09-15,NA,17
2008-10-15,3,98
2008-10-15,13,3
2008-10-15,15,3
2008-10-15,17,1
2008-10-15,NA,25
2008-11-15,3,120
2008-11-15,NA,10
2008-12-15,3,32
2008-12-15,7,88
2008-12-15,NA,10
2009-01-15,3,4
2009-01-15,7,116
2009-01-15,NA,10
2009-02-15,3,20
2009-02-15,7,98
2009-02-15,15,1
2009-02-15,NA,11
2009-03-15,3,8
2009-03-15,7,75
2009-03-15,13,2
2009-03-15,14,8
2009-03-15,15,2
2009-03-15,17,3
2009-03-15,NA,32
2009-04-15,3,32
2009-04-15,7,88
2009-04-15,NA,10
2009-05-15,3,9
2009-05-15,7,100
2009-05-15,NA,21
2009-06-15,3,97
2009-06-15,7,22
2009-06-15,13,1
2009-06-15,NA,10
2009-07-15,3,21
2009-07-15,13,99
2009-07-15,NA,10
2009-08-15,3,34
2009-08-15,13,75
2009-08-15,NA,21
2009-09-15,3,26
2009-09-15,13,90
2009-09-15,17,2
2009-09-15,NA,12
2009-10-15,3,43
2009-10-15,13,43
2009-10-15,15,2
2009-10-15,NA,42
2009-11-15,3,33
2009-11-15,7,71
2009-11-15,NA,26
2009-12-15,7,84
2009-12-15,15,11
2009-12-15,NA,35
2010-01-15,3,32
2010-01-15,7,67
2010-01-15,NA,31
2010-02-15,3,84
2010-02-15,7,35
2010-02-15,13,1
2010-02-15,NA,10
2010-03-15,3,34
2010-03-15,7,69
2010-03-15,17,7
2010-03-15,NA,20
2010-04-15,7,18
2010-04-15,14,46
2010-04-15,15,34
2010-04-15,21,16
2010-04-15,NA,16
2010-05-15,3,3
2010-05-15,7,115
2010-05-15,15,2
2010-05-15,NA,10
2010-06-15,3,65
2010-06-15,7,3
2010-06-15,13,9
2010-06-15,15,1
2010-06-15,NA,52
2010-07-15,3,77
2010-07-15,13,43
2010-07-15,NA,10
2010-08-15,3,37
2010-08-15,5,3
2010-08-15,13,79
2010-08-15,15,1
2010-08-15,NA,10
2010-09-15,3,73
2010-09-15,13,47
2010-09-15,NA,10
2010-10-15,3,86
2010-10-15,7,21
2010-10-15,15,13
2010-10-15,NA,10
2010-11-15,3,7
2010-11-15,7,113
2010-11-15,NA,10
2010-12-15,7,120
2010-12-15,NA,10
2011-01-15,7,120
2011-01-15,NA,10
2011-02-15,3,5
2011-02-15,7,68
2011-02-15,15,1
2011-02-15,17,2
2011-02-15,NA,54
2011-03-15,3,1
2011-03-15,7,69
2011-03-15,14,4
2011-03-15,17,2
2011-03-15,21,2
2011-03-15,NA,52
2011-04-15,3,2
2011-04-15,7,87
2011-04-15,NA,41
2011-05-15,7,63
2011-05-15,14,19
2011-05-15,15,4
2011-05-15,21,33
2011-05-15,NA,11
2011-06-15,7,35
2011-06-15,15,47
2011-06-15,NA,48
2011-07-15,3,16
2011-07-15,13,79
2011-07-15,15,1
2011-07-15,NA,34
2011-08-15,3,23
2011-08-15,13,70
2011-08-15,15,4
2011-08-15,17,1
2011-08-15,18,1
2011-08-15,NA,31
2011-09-15,3,97
2011-09-15,13,17
2011-09-15,15,1
2011-09-15,NA,15
2011-10-15,3,111
2011-10-15,13,9
2011-10-15,NA,10
2011-11-15,7,119
2011-11-15,NA,11
2011-12-15,7,114
2011-12-15,NA,16
2012-01-15,7,119
2012-01-15,15,1
2012-01-15,NA,10
2012-02-15,7,112
2012-02-15,NA,18
2012-03-15,7,109
2012-03-15,14,2
2012-03-15,15,1
2012-03-15,16,8
2012-03-15,NA,10
2012-04-15,3,6
2012-04-15,7,37
2012-04-15,13,1
2012-04-15,15,44
2012-04-15,17,2
2012-04-15,27,2
2012-04-15,NA,38
2012-05-15,3,53
2012-05-15,7,2
2012-05-15,13,6
2012-05-15,15,3
2012-05-15,NA,66
2012-06-15,3,115
2012-06-15,13,4
2012-06-15,NA,11
2012-07-15,3,11
2012-07-15,13,109
2012-07-15,NA,10
2012-08-15,3,49
2012-08-15,13,52
2012-08-15,15,19
2012-08-15,NA,10
2012-09-15,3,109
2012-09-15,13,8
2012-09-15,15,2
2012-09-15,NA,11
2012-10-15,3,58
2012-10-15,7,8
2012-10-15,15,47
2012-10-15,NA,17
2012-11-15,3,18
2012-11-15,7,100
2012-11-15,NA,12
2012-12-15,3,5
2012-12-15,7,96
2012-12-15,17,1
2012-12-15,NA,28
2013-01-15,7,120
2013-01-15,NA,10
2013-02-15,3,33
2013-02-15,7,77
2013-02-15,17,3
2013-02-15,NA,17
2013-03-15,3,43
2013-03-15,7,37
2013-03-15,16,2
2013-03-15,NA,48
2013-04-15,3,53
2013-04-15,7,26
2013-04-15,14,2
2013-04-15,15,10
2013-04-15,17,2
2013-04-15,NA,37
2013-05-15,3,87
2013-05-15,7,15
2013-05-15,13,10
2013-05-15,17,1
2013-05-15,NA,17
2013-06-15,3,111
2013-06-15,13,9
2013-06-15,NA,10
2013-07-15,3,48
2013-07-15,13,72
2013-07-15,NA,10
2013-08-15,3,49
2013-08-15,13,71
2013-08-15,NA,10
2013-09-15,3,15
2013-09-15,5,42
2013-09-15,13,63
2013-09-15,NA,10
2013-10-15,3,31
2013-10-15,7,26
2013-10-15,13,1
2013-10-15,15,46
2013-10-15,NA,26
2013-11-15,3,33
2013-11-15,7,86
2013-11-15,11,1
2013-11-15,NA,10
2013-12-15,7,119
2013-12-15,NA,11
2014-01-15,3,5
2014-01-15,7,35
2014-01-15,11,2
2014-01-15,13,1
2014-01-15,15,1
2014-01-15,NA,86
2014-02-15,3,9
2014-02-15,7,25
2014-02-15,13,4
2014-02-15,NA,92
2014-03-15,3,1
2014-03-15,7,101
2014-03-15,NA,28
2014-04-15,7,58
2014-04-15,14,59
2014-04-15,21,2
2014-04-15,NA,11
2014-05-15,3,2
2014-05-15,7,59
2014-05-15,14,48
2014-05-15,15,1
2014-05-15,NA,20
2014-06-15,3,85
2014-06-15,13,34
2014-06-15,17,1
2014-06-15,NA,10
2014-07-15,3,80
2014-07-15,13,5
2014-07-15,15,35
2014-07-15,NA,10
2014-08-15,3,58
2014-08-15,13,59
2014-08-15,15,2
2014-08-15,NA,11
2014-09-15,3,84
2014-09-15,13,31
