date,cellvalue,n_cells
2003-01-15,3,4
2003-01-15,7,12
2003-01-15,NA,8
2003-02-15,3,1
2003-02-15,7,15
2003-02-15,NA,8
2003-03-15,7,16
2003-03-15,NA,8
2003-04-15,3,1
2003-04-15,7,5
2003-04-15,NA,18
2003-05-15,7,13
2003-05-15,14,3
2003-05-15,NA,8
2003-06-15,3,13
2003-06-15,13,1
2003-06-15,NA,10
2003-07-15,3,16
2003-07-15,NA,8
2003-08-15,3,16
2003-08-15,NA,8
2003-09-15,3,15
2003-09-15,13,1
2003-09-15,NA,8
2003-10-15,3,16
2003-10-15,NA,8
2003-11-15,3,8
2003-11-15,7,8
2003-11-15,NA,8
2003-12-15,15,16
2003-12-15,NA,8
2004-01-15,7,16
2004-01-15,NA,8
2004-02-15,7,16
2004-02-15,NA,8
2004-03-15,3,12
2004-03-15,7,4
2004-03-15,NA,8
2004-04-15,3,16
2004-04-15,NA,8
2004-05-15,3,8
2004-05-15,13,8
2004-05-15,NA,8
2004-06-15,3,1
2004-06-15,13,15
2004-06-15,NA,8
2004-07-15,3,7
2004-07-15,5,1
2004-07-15,13,8
2004-07-15,NA,8
2004-08-15,13,16
2004-08-15,NA,8
2004-09-15,5,16
2004-09-15,NA,8
2004-10-15,5,9
2004-10-15,13,7
2004-10-15,NA,8
2004-11-15,3,15
2004-11-15,13,1
2004-11-15,NA,8
2004-12-15,7,16
2004-12-15,NA,8
2005-01-15,7,16
2005-01-15,NA,8
2005-02-15,3,2
2005-02-15,7,14
2005-02-15,NA,8
2005-03-15,3,2
2005-03-15,7,13
2005-03-15,NA,9
2005-04-15,3,15
2005-04-15,7,1
2005-04-15,NA,8
2005-05-15,3,9
2005-05-15,13,1
2005-05-15,NA,14
2005-06-15,3,6
2005-06-15,13,8
2005-06-15,NA,10
2005-07-15,3,2
2005-07-15,13,14
2005-07-15,NA,8
2005-08-15,3,8
2005-08-15,5,1
2005-08-15,13,7
2005-08-15,NA,8
2005-09-15,3,10
2005-09-15,5,1
2005-09-15,13,5
2005-09-15,NA,8
2005-10-15,3,8
2005-10-15,13,8
