date,cellvalue,n_cells
2003-01-15,3,6
2003-01-15,7,152
2003-01-15,15,1
2003-01-15,16,5
2003-01-15,NA,44
2003-02-15,7,165
2003-02-15,NA,43
2003-03-15,7,165
2003-03-15,NA,43
2003-04-15,7,21
2003-04-15,NA,187
2003-05-15,3,10
2003-05-15,7,122
2003-05-15,14,5
2003-05-15,15,25
2003-05-15,17,3
2003-05-15,NA,43
2003-06-15,3,110
2003-06-15,7,39
2003-06-15,13,2
2003-06-15,15,11
2003-06-15,17,1
2003-06-15,NA,45
2003-07-15,3,124
2003-07-15,5,1
2003-07-15,13,15
2003-07-15,15,3
2003-07-15,17,1
2003-07-15,NA,64
2003-08-15,3,138
2003-08-15,13,27
2003-08-15,NA,43
2003-09-15,3,63
2003-09-15,5,1
2003-09-15,13,82
2003-09-15,NA,62
2003-10-15,3,80
2003-10-15,5,3
2003-10-15,13,32
2003-10-15,15,2
2003-10-15,NA,91
2003-11-15,7,165
2003-11-15,NA,43
2003-12-15,3,24
2003-12-15,7,139
2003-12-15,NA,45
2004-01-15,7,165
2004-01-15,NA,43
2004-02-15,3,63
2004-02-15,7,91
2004-02-15,17,2
2004-02-15,NA,52
2004-03-15,3,83
2004-03-15,7,75
2004-03-15,NA,50
2004-04-15,3,37
2004-04-15,7,103
2004-04-15,15,1
2004-04-15,17,16
2004-04-15,NA,51
2004-05-15,3,150
2004-05-15,13,13
2004-05-15,17,2
2004-05-15,NA,43
2004-06-15,3,95
2004-06-15,13,65
2004-06-15,17,1
2004-06-15,18,2
2004-06-15,NA,45
2004-07-15,3,10
2004-07-15,13,155
2004-07-15,NA,43
2004-08-15,3,72
2004-08-15,13,83
2004-08-15,15,5
2004-08-15,18,1
2004-08-15,NA,47
2004-09-15,3,120
2004-09-15,5,39
2004-09-15,13,6
2004-09-15,NA,43
2004-10-15,3,116
2004-10-15,5,4
2004-10-15,13,17
2004-10-15,15,7
2004-10-15,NA,64
2004-11-15,3,163
2004-11-15,15,2
2004-11-15,NA,43
2004-12-15,3,54
2004-12-15,7,20
2004-12-15,11,1
2004-12-15,13,1
2004-12-15,NA,132
2005-01-15,3,51
2005-01-15,7,103
2005-01-15,17,2
2005-01-15,NA,52
2005-02-15,3,64
2005-02-15,7,100
2005-02-15,15,1
2005-02-15,NA,43
2005-03-15,3,2
2005-03-15,7,163
2005-03-15,NA,43
2005-04-15,3,73
2005-04-15,7,60
2005-04-15,13,2
2005-04-15,NA,73
2005-05-15,3,125
2005-05-15,7,10
2005-05-15,15,3
2005-05-15,17,2
2005-05-15,NA,68
2005-06-15,3,154
2005-06-15,7,1
2005-06-15,13,10
2005-06-15,NA,43
2005-07-15,3,72
2005-07-15,13,93
2005-07-15,NA,43
2005-08-15,3,1
2005-08-15,5,8
2005-08-15,13,156
2005-08-15,NA,43
2005-09-15,3,46
2005-09-15,5,56
2005-09-15,13,62
2005-09-15,NA,44
2005-10-15,3,82
2005-10-15,13,7
2005-10-15,15,4
2005-10-15,NA,115
2005-11-15,3,81
2005-11-15,7,43
2005-11-15,15,1
2005-11-15,NA,83
2005-12-15,3,2
2005-12-15,7,152
2005-12-15,15,10
2005-12-15,NA,44
2006-01-15,7,150
2006-01-15,15,14
2006-01-15,NA,44
2006-02-15,3,73
2006-02-15,7,92
2006-02-15,NA,43
2006-03-15,7,165
2006-03-15,NA,43
2006-04-15,3,136
2006-04-15,7,1
2006-04-15,13,11
2006-04-15,17,12
2006-04-15,NA,48
2006-05-15,3,51
2006-05-15,7,82
2006-05-15,13,1
2006-05-15,15,19
2006-05-15,17,12
2006-05-15,NA,43
2006-06-15,3,94
2006-06-15,13,37
2006-06-15,15,5
2006-06-15,18,3
2006-06-15,NA,69
2006-07-15,3,26
2006-07-15,13,131
2006-07-15,18,1
2006-07-15,NA,50
2006-08-15,3,21
2006-08-15,5,18
2006-08-15,13,126
2006-08-15,NA,43
2006-09-15,3,28
2006-09-15,13,125
2006-09-15,18,1
2006-09-15,NA,54
