date,cellvalue,n_cells
2003-01-15,3,8467
2003-01-15,7,27418
2003-01-15,11,88
2003-01-15,13,27
2003-01-15,14,57
2003-01-15,15,1856
2003-01-15,16,9
2003-01-15,17,21
2003-01-15,21,3
2003-01-15,NA,19545
2003-02-15,3,12552
2003-02-15,7,24277
2003-02-15,11,18
2003-02-15,13,33
2003-02-15,14,12
2003-02-15,15,633
2003-02-15,16,4
2003-02-15,17,77
2003-02-15,NA,19885
2003-03-15,3,7004
2003-03-15,7,24678
2003-03-15,11,3
2003-03-15,13,137
2003-03-15,14,661
2003-03-15,15,680
2003-03-15,17,363
2003-03-15,21,42
2003-03-15,23,2
2003-03-15,NA,23921
2003-04-15,3,9576
2003-04-15,7,13656
2003-04-15,11,6
2003-04-15,13,267
2003-04-15,14,402
2003-04-15,15,987
2003-04-15,16,52
2003-04-15,17,941
2003-04-15,18,4
2003-04-15,21,9
2003-04-15,27,16
2003-04-15,NA,31575
2003-05-15,3,7179
2003-05-15,5,234
2003-05-15,7,16366
2003-05-15,13,2906
2003-05-15,14,5047
2003-05-15,15,2729
2003-05-15,16,5
2003-05-15,17,120
2003-05-15,21,2273
2003-05-15,23,3
2003-05-15,27,12
2003-05-15,NA,20617
2003-06-15,3,15251
2003-06-15,5,3010
2003-06-15,7,2820
2003-06-15,11,3
2003-06-15,13,9690
2003-06-15,14,106
2003-06-15,15,1361
2003-06-15,16,34
2003-06-15,17,309
2003-06-15,18,23
2003-06-15,21,6
2003-06-15,27,4
2003-06-15,NA,24874
2003-07-15,3,18856
2003-07-15,5,7929
2003-07-15,13,11143
2003-07-15,15,107
2003-07-15,17,17
2003-07-15,18,43
2003-07-15,NA,19396
2003-08-15,3,13868
2003-08-15,5,15410
2003-08-15,13,9809
2003-08-15,15,15
2003-08-15,17,7
2003-08-15,18,18
2003-08-15,NA,18364
2003-09-15,3,18453
2003-09-15,5,15675
2003-09-15,13,4910
2003-09-15,15,21
2003-09-15,17,17
2003-09-15,NA,18415
2003-10-15,3,29211
2003-10-15,5,5491
2003-10-15,7,51
2003-10-15,11,6
2003-10-15,13,2257
2003-10-15,15,905
2003-10-15,17,15
2003-10-15,NA,19555
2003-11-15,3,19555
2003-11-15,5,264
2003-11-15,7,15530
2003-11-15,11,881
2003-11-15,13,220
2003-11-15,14,5
2003-11-15,15,882
2003-11-15,17,10
2003-11-15,18,1
2003-11-15,21,1
2003-11-15,NA,20142
2003-12-15,3,11145
2003-12-15,5,9
2003-12-15,7,22179
2003-12-15,11,901
2003-12-15,13,13
2003-12-15,14,3
2003-12-15,15,1695
2003-12-15,16,1
2003-12-15,17,9
2003-12-15,21,7
2003-12-15,27,1
2003-12-15,NA,21528
2004-01-15,3,10068
2004-01-15,5,2
2004-01-15,7,26252
2004-01-15,11,23
2004-01-15,13,93
2004-01-15,15,1503
2004-01-15,16,21
2004-01-15,17,7
2004-01-15,27,1
2004-01-15,NA,19521
2004-02-15,3,15647
2004-02-15,7,17949
2004-02-15,11,9
2004-02-15,13,172
2004-02-15,14,7
2004-02-15,15,736
2004-02-15,16,41
2004-02-15,17,86
2004-02-15,21,1
2004-02-15,NA,22843
2004-03-15,3,17523
2004-03-15,7,13778
2004-03-15,11,7
2004-03-15,13,497
2004-03-15,14,16
2004-03-15,15,1385
2004-03-15,16,331
2004-03-15,17,128
2004-03-15,18,3
2004-03-15,27,7
2004-03-15,NA,23816
2004-04-15,3,11829
2004-04-15,7,18205
2004-04-15,11,20
2004-04-15,13,442
2004-04-15,14,557
2004-04-15,15,703
2004-04-15,16,2
2004-04-15,17,557
2004-04-15,21,238
2004-04-15,27,2
2004-04-15,NA,24936
2004-05-15,3,16155
2004-05-15,5,330
2004-05-15,7,7013
2004-05-15,11,2
2004-05-15,13,11499
2004-05-15,14,3
2004-05-15,15,824
2004-05-15,16,2
2004-05-15,17,207
2004-05-15,18,13
2004-05-15,27,4
