date,cellvalue,n_cells
2003-01-15,3,4396
2003-01-15,7,6877
2003-01-15,14,60
2003-01-15,15,202
2003-01-15,16,506
2003-01-15,17,2
2003-01-15,21,862
2003-01-15,27,2
2003-01-15,NA,6378
2003-02-15,3,3557
2003-02-15,7,5997
2003-02-15,11,4
2003-02-15,14,741
2003-02-15,15,49
2003-02-15,16,428
2003-02-15,17,59
2003-02-15,21,504
2003-02-15,NA,7946
2003-03-15,3,1365
2003-03-15,7,8987
2003-03-15,13,1
2003-03-15,14,406
2003-03-15,15,227
2003-03-15,16,186
2003-03-15,17,25
2003-03-15,19,7
2003-03-15,21,1275
2003-03-15,27,5
2003-03-15,NA,6801
2003-04-15,3,6848
2003-04-15,7,4198
2003-04-15,13,292
2003-04-15,14,127
2003-04-15,15,716
2003-04-15,16,132
2003-04-15,17,28
2003-04-15,21,541
2003-04-15,27,65
2003-04-15,NA,6338
2003-05-15,3,5888
2003-05-15,7,1378
2003-05-15,13,3117
2003-05-15,14,120
2003-05-15,15,936
2003-05-15,16,2
2003-05-15,17,539
2003-05-15,18,44
2003-05-15,21,501
2003-05-15,27,155
2003-05-15,NA,6605
2003-06-15,3,5410
2003-06-15,5,50
2003-06-15,7,43
2003-06-15,13,3887
2003-06-15,15,2445
2003-06-15,17,25
2003-06-15,18,93
2003-06-15,21,90
2003-06-15,27,80
2003-06-15,NA,7162
2003-07-15,3,6847
2003-07-15,5,268
2003-07-15,7,61
2003-07-15,13,4424
2003-07-15,14,2
2003-07-15,15,786
2003-07-15,17,35
2003-07-15,18,10
2003-07-15,21,274
2003-07-15,27,65
2003-07-15,NA,6513
2003-08-15,3,4051
2003-08-15,5,732
2003-08-15,7,19
2003-08-15,13,5215
2003-08-15,15,2152
2003-08-15,17,6
2003-08-15,18,37
2003-08-15,21,183
2003-08-15,27,29
2003-08-15,NA,6861
2003-09-15,3,6484
2003-09-15,5,1652
2003-09-15,7,1
2003-09-15,13,3006
2003-09-15,15,1384
2003-09-15,21,420
2003-09-15,27,9
2003-09-15,NA,6329
2003-10-15,3,8440
2003-10-15,5,617
2003-10-15,7,36
2003-10-15,13,2157
2003-10-15,15,1405
2003-10-15,17,1
2003-10-15,18,4
2003-10-15,21,200
2003-10-15,NA,6425
2003-11-15,3,5999
2003-11-15,5,16
2003-11-15,7,3818
2003-11-15,13,33
2003-11-15,15,2427
2003-11-15,21,564
2003-11-15,NA,6428
2003-12-15,3,3118
2003-12-15,7,8486
2003-12-15,14,89
2003-12-15,15,439
2003-12-15,16,350
2003-12-15,21,481
2003-12-15,NA,6322
2004-01-15,3,5230
2004-01-15,7,5553
2004-01-15,14,31
2004-01-15,15,347
2004-01-15,16,963
2004-01-15,21,834
2004-01-15,27,3
2004-01-15,NA,6324
2004-02-15,3,3095
2004-02-15,7,3300
2004-02-15,13,1
2004-02-15,14,203
2004-02-15,15,2673
2004-02-15,16,2789
2004-02-15,18,2
2004-02-15,19,5
2004-02-15,21,727
2004-02-15,27,7
2004-02-15,NA,6483
2004-03-15,3,1130
2004-03-15,7,5973
2004-03-15,14,872
2004-03-15,15,1396
2004-03-15,16,2246
2004-03-15,21,1211
2004-03-15,27,28
2004-03-15,NA,6429
2004-04-15,3,2239
2004-04-15,7,4496
2004-04-15,13,221
2004-04-15,14,1365
2004-04-15,15,825
2004-04-15,16,2331
2004-04-15,17,17
2004-04-15,18,3
2004-04-15,21,964
2004-04-15,27,128
2004-04-15,NA,6696
2004-05-15,3,5028
2004-05-15,7,2325
2004-05-15,13,597
2004-05-15,14,34
2004-05-15,15,712
2004-05-15,16,1670
2004-05-15,17,178
2004-05-15,18,349
2004-05-15,21,423
2004-05-15,27,105
2004-05-15,NA,7864
2004-06-15,3,7082
2004-06-15,5,2
2004-06-15,7,21
2004-06-15,13,4069
2004-06-15,15,1198
2004-06-15,17,16
2004-06-15,18,103
2004-06-15,21,132
2004-06-15,27,42
2004-06-15,NA,6620
2004-07-15,3,6499
2004-07-15,5,169
2004-07-15,7,32
2004-07-15,13,3432
2004-07-15,14,8
2004-07-15,15,1042
2004-07-15,16,8
2004-07-15,17,16
2004-07-15,18,154
2004-07-15,21,526
2004-07-15,27,22
2004-07-15,NA,7377
2004-08-15,3,5817
2004-08-15,5,1420
2004-08-15,7,35
2004-08-15,13,4244
2004-08-15,15,1000
2004-08-15,18,15
2004-08-15,21,260
2004-08-15,27,9
2004-08-15,NA,6485
2004-09-15,3,5715
2004-09-15,5,1118
2004-09-15,7,6
2004-09-15,13,4441
2004-09-15,15,1215
2004-09-15,21,433
2004-09-15,27,3
2004-09-15,NA,6354
2004-10-15,3,8875
2004-10-15,5,1042
2004-10-15,7,350
2004-10-15,13,935
2004-10-15,14,1
2004-10-15,15,1384
2004-10-15,17,1
2004-10-15,21,370
2004-10-15,27,1
2004-10-15,NA,6326
2004-11-15,3,6321
2004-11-15,5,7
2004-11-15,7,2404
2004-11-15,13,375
2004-11-15,14,2
2004-11-15,15,2679
2004-11-15,16,338
2004-11-15,17,1
2004-11-15,18,6
2004-11-15,21,601
2004-11-15,NA,6551
2004-12-15,3,1860
2004-12-15,7,5790
2004-12-15,13,1
2004-12-15,14,2
2004-12-15,15,3787
2004-12-15,16,1188
2004-12-15,17,2
2004-12-15,21,318
2004-12-15,NA,6337
2005-01-15,3,3922
2005-01-15,7,5399
2005-01-15,14,42
2005-01-15,15,1547
2005-01-15,16,1409
2005-01-15,17,7
2005-01-15,21,357
2005-01-15,27,1
2005-01-15,NA,6601
2005-02-15,3,11574
2005-02-15,7,302
2005-02-15,13,2
2005-02-15,14,221
2005-02-15,16,695
2005-02-15,17,2
2005-02-15,21,163
2005-02-15,NA,6326
2005-03-15,3,533
2005-03-15,7,6817
2005-03-15,13,1
2005-03-15,14,2241
2005-03-15,15,68
2005-03-15,16,1394
2005-03-15,17,29
2005-03-15,18,3
2005-03-15,19,13
2005-03-15,21,1313
2005-03-15,27,16
2005-03-15,NA,6857
2005-04-15,3,1807
2005-04-15,7,3554
2005-04-15,13,86
2005-04-15,14,2714
2005-04-15,15,706
2005-04-15,16,440
2005-04-15,17,149
2005-04-15,18,12
2005-04-15,21,2451
2005-04-15,27,76
2005-04-15,NA,7290
2005-05-15,3,5969
2005-05-15,7,2342
2005-05-15,13,600
2005-05-15,14,216
2005-05-15,15,2209
2005-05-15,16,372
2005-05-15,17,14
2005-05-15,18,405
2005-05-15,21,302
2005-05-15,27,287
2005-05-15,NA,6569
2005-06-15,3,6210
2005-06-15,5,4
2005-06-15,7,79
2005-06-15,13,2588
2005-06-15,14,2
2005-06-15,15,2569
2005-06-15,17,12
2005-06-15,18,216
2005-06-15,21,337
2005-06-15,27,33
2005-06-15,NA,7235
2005-07-15,3,4142
2005-07-15,5,36
2005-07-15,7,61
2005-07-15,13,6439
2005-07-15,15,1340
2005-07-15,18,210
2005-07-15,21,470
2005-07-15,27,10
2005-07-15,NA,6577
2005-08-15,3,4214
2005-08-15,5,168
2005-08-15,7,2
2005-08-15,13,4763
2005-08-15,15,2329
2005-08-15,18,140
2005-08-15,21,632
2005-08-15,27,23
2005-08-15,NA,7014
2005-09-15,3,5985
2005-09-15,5,251
2005-09-15,13,3818
2005-09-15,15,2349
2005-09-15,18,11
2005-09-15,21,520
2005-09-15,27,1
2005-09-15,NA,6350
2005-10-15,3,8158
2005-10-15,5,105
2005-10-15,7,156
2005-10-15,13,1233
2005-10-15,15,2490
2005-10-15,18,1
2005-10-15,21,809
2005-10-15,27,2
2005-10-15,NA,6331
2005-11-15,3,7072
2005-11-15,7,1345
2005-11-15,11,1
2005-11-15,13,25
2005-11-15,15,4127
2005-11-15,16,3
2005-11-15,17,2
2005-11-15,21,367
2005-11-15,NA,6343
2005-12-15,3,2584
2005-12-15,7,4941
2005-12-15,14,48
2005-12-15,15,2323
2005-12-15,16,2681
2005-12-15,21,391
2005-12-15,NA,6317
2006-01-15,3,1672
2006-01-15,7,5350
2006-01-15,14,16
2006-01-15,15,1252
2006-01-15,16,4078
2006-01-15,17,5
2006-01-15,21,362
2006-01-15,27,4
2006-01-15,NA,6546
2006-02-15,3,5418
2006-02-15,7,2208
2006-02-15,13,6
2006-02-15,14,91
2006-02-15,15,494
2006-02-15,16,4116
2006-02-15,17,2
2006-02-15,21,383
2006-02-15,27,6
2006-02-15,NA,6561
2006-03-15,3,860
2006-03-15,7,8290
2006-03-15,14,997
2006-03-15,15,26
2006-03-15,16,1358
2006-03-15,17,1
2006-03-15,19,3
2006-03-15,21,1095
2006-03-15,27,31
2006-03-15,NA,6624
2006-04-15,3,5074
2006-04-15,7,4200
2006-04-15,13,103
2006-04-15,14,837
2006-04-15,15,819
2006-04-15,16,367
2006-04-15,17,49
2006-04-15,18,51
2006-04-15,21,758
2006-04-15,23,3
2006-04-15,27,115
2006-04-15,NA,6909
2006-05-15,3,7442
2006-05-15,7,1107
2006-05-15,13,1557
2006-05-15,15,1615
2006-05-15,16,15
2006-05-15,17,73
2006-05-15,18,156
2006-05-15,21,456
2006-05-15,27,140
2006-05-15,NA,6724
2006-06-15,3,4310
2006-06-15,5,130
2006-06-15,7,19
2006-06-15,13,3616
2006-06-15,15,1715
2006-06-15,17,29
2006-06-15,18,213
2006-06-15,21,252
2006-06-15,27,155
2006-06-15,NA,8846
2006-07-15,3,2814
2006-07-15,5,229
2006-07-15,7,1
2006-07-15,13,7919
2006-07-15,15,1043
2006-07-15,17,16
2006-07-15,18,89
2006-07-15,21,311
2006-07-15,27,131
2006-07-15,NA,6732
2006-08-15,3,3877
2006-08-15,5,1001
2006-08-15,7,2
2006-08-15,13,4278
2006-08-15,15,2098
2006-08-15,17,3
2006-08-15,18,89
2006-08-15,21,599
2006-08-15,27,12
2006-08-15,NA,7326
2006-09-15,3,6027
2006-09-15,5,610
2006-09-15,7,34
2006-09-15,13,3726
2006-09-15,15,1984
2006-09-15,17,5
2006-09-15,18,8
2006-09-15,21,499
2006-09-15,27,10
2006-09-15,NA,6382
2006-10-15,3,9537
2006-10-15,5,1046
2006-10-15,7,23
2006-10-15,13,123
2006-10-15,15,1960
2006-10-15,21,239
2006-10-15,27,4
2006-10-15,NA,6353
2006-11-15,3,10672
2006-11-15,5,16
2006-11-15,7,28
2006-11-15,13,179
2006-11-15,15,1622
2006-11-15,21,435
2006-11-15,NA,6333
2006-12-15,3,1796
2006-12-15,7,4137
2006-12-15,15,6004
2006-12-15,16,232
2006-12-15,17,1
2006-12-15,21,779
2006-12-15,NA,6336
2007-01-15,3,2136
2007-01-15,7,3933
2007-01-15,14,13
2007-01-15,15,4398
2007-01-15,16,1818
2007-01-15,21,636
2007-01-15,27,2
2007-01-15,NA,6349
2007-02-15,3,4359
2007-02-15,7,4752
2007-02-15,13,2
2007-02-15,14,87
2007-02-15,15,901
2007-02-15,16,2245
2007-02-15,17,5
2007-02-15,21,594
2007-02-15,NA,6340
2007-03-15,3,3534
2007-03-15,7,3769
2007-03-15,13,6
2007-03-15,14,460
2007-03-15,15,977
2007-03-15,16,2070
2007-03-15,17,29
2007-03-15,18,3
2007-03-15,21,1742
2007-03-15,27,11
2007-03-15,NA,6684
